City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Ashland township,Kansas,130,77,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,42,48,68,19,58%,58%,43,65,99,59%,68%,54%,34.32,13.65,3.37,25.01%,29.56%,17.44%,19.4,8,8.0,55.1,70,1041,4.4,1.69,KS-02725,39.1037247,-96.5992764
Bala,Kansas,668,1553,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,N/A,0.0%,N/A,N/A,0.0%,0.0%,0.0%,Riley County,42.50%,46.00%,0.0%,0.0%,0.0%,0.0%,0.0%,Central Standard Time,92,39,53,68,18,57%,54%,41,62,100,68%,79%,61%,35.34,14.1,3.29,21.23%,28.35%,12.67%,19.4,8,8.0,56.8,74,1221,4.4,0.43,KS-03800,39.3108293,-96.9503922
Belvue,Kansas,168,1400,Manhattan,134198,$71875,17.27%,31,N/A,N/A,N/A,60,75.0%,$1163,27.93%,N/A,N/A,2.38%,4.55%,79.28%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,82.14%,17.86%,13.69%,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,35.66,13.69,3.35,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,74,1011,4.5,0.12,KS-05925,39.216297,-96.1790005
Belvue township,Kansas,168,1400,Manhattan,134198,$71875,17.27%,31,N/A,N/A,N/A,60,75.0%,$1163,27.93%,N/A,N/A,2.38%,4.55%,79.28%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,82.14%,17.86%,13.69%,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,35.66,13.69,3.35,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,74,1011,4.5,0.12,KS-05925,39.216297,-96.1790005
Blue,Kansas,3504,80,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,40,50,68,17,58%,58%,43,65,99,59%,68%,54%,35.76,14.08,3.33,28.3%,34.4%,18.78%,19.4,8,8.0,55.1,73,969,4.5,43.8,KS-07550,39.24853,-96.5324266
Blue Valley,Kansas,351,8,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,40,50,68,17,57%,54%,41,62,96,68%,79%,61%,33.8,12.77,3.07,28.3%,34.4%,18.78%,19.4,8,8.0,56.8,75,1116,4.5,43.88,KS-07725,39.4546652,-96.6440418
Center township (Pottawatomie Cnty),Kansas,89,3,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,35.28,13.59,3.41,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,73,1215,4.5,29.67,KS-12000,39.3477096,-96.2305624
Center township (Riley Cnty),Kansas,90,3,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,92,39,53,68,18,57%,54%,41,62,100,68%,79%,61%,32.82,12.06,3.26,21.23%,28.35%,12.67%,19.4,8,8.0,56.8,74,1290,4.4,30.0,KS-12100,39.4804974,-96.8852284
Clear Creek township (Pottawatomie Cnty),Kansas,195,5,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,88,37,51,65,16,58%,58%,43,65,94,59%,68%,54%,35.45,13.53,3.45,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,75,1383,4.5,39.0,KS-13800,39.5225363,-96.4073717
Emmett,Kansas,166,830,Manhattan,134198,$35417,2.8%,33,N/A,N/A,N/A,30,90.7%,N/A,57.36%,N/A,N/A,19.28%,1.2%,65.35%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,95.78%,0.0%,1.2%,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,36.13,13.37,3.68,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,74,1098,4.5,0.2,KS-21100,39.3073141,-96.0576094
Emmett township,Kansas,166,830,Manhattan,134198,$35417,2.8%,33,N/A,N/A,N/A,30,90.7%,N/A,57.36%,N/A,N/A,19.28%,1.2%,65.35%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,95.78%,0.0%,1.2%,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,36.13,13.37,3.68,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,74,1098,4.5,0.2,KS-21100,39.3073141,-96.0576094
Fancy Creek,Kansas,49,2,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,92,39,53,68,18,57%,54%,41,62,100,68%,79%,61%,35.34,14.1,3.29,21.23%,28.35%,12.67%,19.4,8,8.0,56.8,74,1221,4.4,24.5,KS-22950,39.4227367,-96.886022
Grant township (Pottawatomie Cnty),Kansas,253,9,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,88,38,50,67,16,58%,58%,43,65,94,59%,68%,54%,35.67,13.22,3.54,23.78%,28.68%,16.67%,19.4,8,8.0,55.1,75,1110,4.5,28.11,KS-27950,39.5222994,-96.081715
Grant township (Riley Cnty),Kansas,1076,30,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,40,50,68,17,57%,54%,41,62,96,68%,79%,61%,35.77,13.69,3.03,28.3%,34.4%,18.78%,19.4,8,8.0,56.8,74,1170,4.4,35.87,KS-28075,39.2977003,-96.7061254
Green township,Kansas,155,775,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,40,50,68,17,58%,58%,43,65,99,59%,68%,54%,35.76,14.08,3.33,28.3%,34.4%,18.78%,19.4,8,8.0,55.1,75,969,4.5,0.2,KS-28450,39.3546709,-96.6010062
Havensville,Kansas,168,1200,Manhattan,134198,$120580,30.88%,50,N/A,N/A,N/A,N/A,95.28%,$531,77.4%,0,0,14.29%,0.0%,57.64%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,92.26%,3.57%,1.19%,Central Standard Time,88,38,50,67,16,58%,58%,43,65,94,59%,68%,54%,35.67,13.22,3.54,23.78%,28.68%,16.67%,19.4,8,8.0,55.1,75,1110,4.5,0.14,KS-30775,39.5112282,-96.0763519
Jackson township (Riley Cnty),Kansas,342,11,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,90,40,50,68,17,57%,54%,41,62,96,68%,79%,61%,35.34,14.1,3.29,28.3%,34.4%,18.78%,19.4,8,8.0,56.8,74,1221,4.4,31.09,KS-34900,39.456871,-96.7604203
Leonardville,Kansas,628,2166,Manhattan,134198,$56875,12.5%,49,N/A,N/A,N/A,60,75.51%,$865,40.31%,N/A,N/A,9.01%,2.61%,53.39%,Riley County,42.50%,46.00%,0.64%,0.0%,85.35%,1.75%,0.32%,Central Standard Time,92,39,53,68,18,57%,54%,41,62,100,68%,79%,61%,35.34,14.1,3.29,21.23%,28.35%,12.67%,19.4,8,8.0,56.8,74,1221,4.4,0.29,KS-39500,39.3640839,-96.859679
Lincoln township (Pottawatomie Cnty),Kansas,108,4,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,88,38,50,67,16,58%,58%,43,65,94,59%,68%,54%,35.67,13.29,3.26,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,75,1140,4.5,27.0,KS-41000,39.4345342,-96.0816325
Lone Tree township (Pottawatomie Cnty),Kansas,188,5,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,88,37,51,65,16,58%,58%,43,65,94,59%,68%,54%,35.46,13.14,2.94,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,75,1218,4.5,37.6,KS-42550,39.5224193,-96.2953767
Louisville,Kansas,163,326,Manhattan,134198,N/A,7.33%,65,N/A,N/A,N/A,20,77.14%,$763,61.25%,N/A,N/A,3.07%,9.8%,32.08%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,96.32%,3.68%,0.0%,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,35.66,13.69,3.35,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,73,1011,4.5,0.5,KS-42925,39.2498649,-96.3144786
Louisville township,Kansas,163,326,Manhattan,134198,N/A,7.33%,65,N/A,N/A,N/A,20,77.14%,$763,61.25%,N/A,N/A,3.07%,9.8%,32.08%,Pottawatomie County,20.80%,71.20%,0.0%,0.0%,96.32%,3.68%,0.0%,Central Standard Time,90,40,50,68,18,58%,58%,43,65,99,59%,68%,54%,35.66,13.69,3.35,25.04%,29.89%,17.89%,19.4,8,8.0,55.1,73,1011,4.5,0.5,KS-42925,39.2498649,-96.3144786
Madison township (Riley Cnty),Kansas,10933,18850,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,92,42,50,69,18,57%,54%,41,62,100,68%,79%,61%,35.77,13.69,3.03,23.75%,30.0%,14.22%,19.4,8,8.0,56.8,71,1170,4.4,0.58,KS-44125,39.2096376,-96.8147066
Manhattan,Kansas,54794,2751,Manhattan,134198,$52747,52.81%,25,$248000,1968,$126,37,41.9%,$932,66.74%,N/A,N/A,25.93%,4.5%,70.37%,Riley County,42.50%,46.00%,5.41%,5.76%,76.49%,7.6%,7.85%,Central Standard Time,91,40,51,69,19,58%,58%,43,65,101,59%,68%,54%,36.55,14.58,3.19,28.3%,34.4%,18.78%,19.4,8,8.0,55.1,58,969,4.4,19.92,KS-44250,39.1885687,-96.6048036
Manhattan township,Kansas,54794,2751,Manhattan,134198,$52747,52.81%,25,$248000,1968,$126,37,41.9%,$932,66.74%,N/A,N/A,25.93%,4.5%,70.37%,Riley County,42.50%,46.00%,5.41%,5.76%,76.49%,7.6%,7.85%,Central Standard Time,91,40,51,69,19,58%,58%,43,65,101,59%,68%,54%,36.55,14.58,3.19,28.3%,34.4%,18.78%,19.4,8,8.0,55.1,68,969,4.4,19.92,KS-44250,39.1885687,-96.6048036
May Day,Kansas,105,3,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Riley County,42.50%,46.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,92,39,53,68,18,57%,54%,41,62,100,68%,79%,61%,32.82,12.06,3.26,21.23%,28.35%,12.67%,18.5,8,8.0,56.8,74,1290,4.4,35.0,KS-45225,39.5378325,-96.8842835
Mill Creek township (Pottawatomie Cnty),Kansas,1273,30,Manhattan,134198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pottawatomie County,20.80%,71.20%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,88,37,51,65,16,58%,58%,43,65,94,59%,68%,54%,35.67,13.22,3.54,23.78%,28.68%,16.67%,19.4,8,8.0,55.1,75,1110,4.5,42.43,KS-46700,39.5152824,-96.1836687
Ogden,Kansas,1651,989,Manhattan,134198,$51185,29.8%,30,$169000,1352,$125,26,46.58%,$1032,27.54%,N/A,N/A,11.63%,13.15%,64.81%,Riley County,42.50%,46.00%,0.91%,8.42%,75.17%,13.33%,2.6%,Central Standard Time,92,42,50,69,18,58%,58%,43,65,103,59%,68%,54%,31.81,12.57,2.71,23.75%,30.0%,14.22%,19.4,8,8.0,55.1,70,966,4.4,1.67,KS-52275,39.1127979,-96.7027069
Ogden township,Kansas,1651,989,Manhattan,134198,$51185,29.8%,30,$169000,1352,$125,26,46.58%,$1032,27.54%,N/A,N/A,11.63%,13.15%,64.81%,Riley County,42.50%,46.00%,0.91%,8.42%,75.17%,13.33%,2.6%,Central Standard Time,92,42,50,69,18,58%,58%,43,65,103,59%,68%,54%,31.81,12.57,2.71,23.75%,30.0%,14.22%,19.4,8,8.0,55.1,70,966,4.4,1.67,KS-52275,39.1127979,-96.7027069
