City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Alaiedon,Michigan,2914,82,Lansing-East Lansing,548248,82,31,51,34,131,175,44,N/A,N/A,N/A,8,18,N/A,45.53%,$82708,N/A,$1093,874,$224500,N/A,N/A,46,81.00%,6%,38%,19%,77,17 mins,4.90%,1.30%,-0.50%,Ingham County,59.90%,33.20%,0.6%,1.0%,91.0%,5.4%,N/A,Eastern Standard Time,841,3.2,32.00%,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,MI-00800,35.54,N/A
Aurelius,Michigan,4241,116,Lansing-East Lansing,548248,82,31,51,34,131,175,44,N/A,N/A,N/A,9,17,N/A,29.19%,$81563,N/A,$1143,1044,$206800,N/A,N/A,31,91.20%,6%,36%,19%,80,26 mins,4.90%,1.30%,20.90%,Ingham County,59.90%,33.20%,2.7%,2.5%,92.4%,2.2%,N/A,Eastern Standard Time,841,3.2,33.70%,3,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,MI-04240,36.56,N/A
Bath,Michigan,3110,531,Lansing-East Lansing,548248,82,30,52,32,128,175,44,57.7,39,8,10,22,42,29.43%,$47067,6.75%,$1051,1031,$213400,N/A,N/A,33,73.02%,5%,39%,32%,80,23 mins,4.65%,1.10%,-11.10%,Clinton County,40.30%,52.90%,0.0%,1.45%,95.82%,0.9%,3.12%,Eastern Standard Time,841,3.2,41.70%,20,N/A,N/A,18.6%,26.86,6,2,1,N/A,N/A,MI-05880,5.86,62.1%
Bath charter township,Michigan,3110,531,Lansing-East Lansing,548248,82,30,52,33,129,175,45,N/A,N/A,N/A,13,20,42,29.43%,$47067,6.75%,$1051,N/A,$176300,N/A,N/A,21,73.02%,7%,37%,23%,77,20 mins,4.65%,1.10%,12.40%,Clinton County,40.30%,52.90%,0.0%,1.45%,95.82%,0.9%,3.12%,Eastern Standard Time,841,3.2,52.20%,26,N/A,27,N/A,0.00,6,2,1,N/A,N/A,MI-05880,5.86,62.1%
Bellevue,Michigan,1152,1129,Lansing-East Lansing,548248,83,32,51,37,139,174,57,58.1,39.4,8,8,8,37,13.98%,$56058,8.99%,$825,N/A,$117300,N/A,$126,76,63.11%,10%,30%,17%,82,28 mins,4.25%,1.30%,11.90%,Eaton County,44.10%,48.80%,0.0%,0.26%,92.8%,2.0%,0.0%,Eastern Standard Time,841,3.4,54.80%,32,N/A,40,16.3%,382.38,7,1,2,0,0,MI-07060,1.02,58.01%
Bellevue township,Michigan,1152,1129,Lansing-East Lansing,548248,83,32,51,37,139,175,56,N/A,N/A,N/A,12,23,37,13.98%,$56058,8.99%,$825,N/A,$115300,N/A,$126,46,63.11%,5%,32%,18%,82,30 mins,4.25%,1.30%,-1.00%,Eaton County,44.10%,48.80%,0.0%,0.26%,92.8%,2.0%,0.0%,Eastern Standard Time,841,3.4,43.60%,0,N/A,23,N/A,0.00,N/A,1,2,N/A,N/A,MI-07060,1.02,58.01%
Bengal,Michigan,1290,35,Lansing-East Lansing,548248,82,30,52,33,129,175,43,N/A,N/A,N/A,9,19,N/A,N/A,$69375,N/A,$856,833,$175800,N/A,N/A,50,90.60%,7%,39%,23%,83,29 mins,3.80%,1.10%,7.90%,Clinton County,40.30%,52.90%,0.0%,0.1%,91.3%,8.6%,N/A,Eastern Standard Time,841,3.2,36.90%,0,N/A,25,N/A,N/A,N/A,2,N/A,N/A,N/A,MI-07240,36.86,N/A
Benton township (Eaton Cnty),Michigan,2814,84,Lansing-East Lansing,548248,82,30,52,35,132,175,43,N/A,N/A,N/A,10,22,N/A,N/A,$65663,N/A,N/A,N/A,$163100,N/A,N/A,39,85.50%,5%,34%,18%,82,22 mins,4.60%,1.30%,0.80%,Eaton County,44.10%,48.80%,0.2%,1.2%,92.0%,3.8%,N/A,Eastern Standard Time,841,3.4,40.50%,0,N/A,25,N/A,N/A,N/A,2,N/A,N/A,N/A,MI-07440,33.5,N/A
Brookfield township (Eaton Cnty),Michigan,1576,44,Lansing-East Lansing,548248,82,31,51,34,131,175,44,N/A,N/A,N/A,11,24,N/A,N/A,$54211,N/A,N/A,N/A,$116600,N/A,N/A,42,80.10%,5%,34%,18%,83,30 mins,4.60%,1.30%,-3.90%,Eaton County,44.10%,48.80%,0.0%,0.3%,95.9%,1.3%,N/A,Eastern Standard Time,841,3.4,42.10%,0,N/A,26,N/A,N/A,N/A,2,N/A,N/A,N/A,MI-10920,35.82,N/A
Bunker Hill,Michigan,1824,55,Lansing-East Lansing,548248,82,30,52,33,125,175,39,N/A,N/A,N/A,11,24,N/A,17.50%,$60139,N/A,N/A,N/A,$146500,N/A,N/A,41,86.00%,6%,39%,20%,78,30 mins,4.90%,1.30%,-11.00%,Ingham County,59.90%,33.20%,0.0%,0.0%,94.8%,3.7%,N/A,Eastern Standard Time,841,3.2,45.10%,0,N/A,24,N/A,N/A,N/A,2,N/A,N/A,N/A,MI-11640,33.16,N/A
