City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Bowling Green,Kentucky,64302,1660,Bowling Green,180751,89,45,44,50,114,207,6,64.6,47.3,6,20,64,27,32.56%,$34036,18.1%,N/A,N/A,$180900,N/A,N/A,34,34.90%,5%,29%,25%,50,17 mins,4.90%,2.60%,14.00%,Warren County,35.00%,59.20%,4.9%,13.6%,71.3%,6.9%,13.7%,Central Standard Time,496,4.4,63.20%,39,N/A,42,17.5%,25.12,17,1,0,291,4667,KY-08902
Brownsville,Kentucky,943,292,Bowling Green,180751,89,45,44,51,113,198,6,64.2,46.6,7,8,13,53,11.72%,$37000,20.83%,N/A,N/A,$80900,N/A,N/A,46,40.80%,2%,20%,23%,70,29 mins,5.70%,2.40%,-36.70%,Edmonson County,18.70%,78.90%,0.8%,0.8%,95.8%,1.7%,1.6%,Central Standard Time,496,4.2,55.00%,40,N/A,12,14.8%,106.29,19,1,0,0,0,KY-10324
Morgantown,Kentucky,2729,784,Bowling Green,180751,88,43,45,51,110,204,6,64.3,46.6,7,11,32,35,11.55%,$30234,32.26%,N/A,N/A,$85300,N/A,N/A,40,34.20%,2%,21%,22%,72,26 mins,5.90%,2.50%,7.00%,Butler County,17.00%,79.40%,0.0%,0.7%,83.1%,14.0%,7%,Central Standard Time,496,4.3,52.30%,41,N/A,32,13.6%,101.76,N/A,1,2,83,624,KY-53490
Oakland,Kentucky,254,158,Bowling Green,180751,90,46,44,51,114,205,8,64.6,47.1,7,7,17,52,15.27%,$32083,17.72%,N/A,N/A,$151200,N/A,N/A,42,78.40%,5%,30%,24%,69,20 mins,4.60%,2.60%,9.40%,Warren County,35.00%,59.20%,0.0%,5.4%,94.6%,0.0%,1.2%,Central Standard Time,496,4.4,45.50%,2,N/A,N/A,21.6%,49.75,19,1,0,N/A,N/A,KY-57144
Plano,Kentucky,1244,941,Bowling Green,180751,89,45,44,50,114,207,6,64.6,47.3,N/A,5,12,42,39.56%,$84741,0.0%,N/A,N/A,$179500,N/A,N/A,23,98.40%,4%,30%,25%,67,20 mins,4.60%,2.60%,-13.90%,Warren County,35.00%,59.20%,0.0%,3.4%,95.2%,0.0%,0%,Central Standard Time,496,4.4,30.90%,12,N/A,N/A,15.3%,8.65,16,2,0,N/A,N/A,KY-61536
Plum Springs,Kentucky,448,1595,Bowling Green,180751,89,45,44,50,115,211,6,64.6,47.3,7,8,19,36,15.05%,$51875,10.94%,N/A,N/A,$114700,N/A,N/A,33,71.70%,5%,28%,24%,63,20 mins,4.60%,2.60%,9.70%,Warren County,35.00%,59.20%,0.0%,13.4%,76.1%,10.1%,3.4%,Central Standard Time,496,4.4,48.40%,9,N/A,25,16.0%,0.00,18,1,0,N/A,N/A,KY-61860
Rochester,Kentucky,164,695,Bowling Green,180751,88,43,45,50,103,204,4,64.6,47,7,8,20,29,22.06%,$66000,8.64%,N/A,N/A,$120000,N/A,N/A,43,68.80%,2%,22%,24%,72,26 mins,5.90%,2.50%,87.30%,Butler County,17.00%,79.40%,0.0%,0.0%,99.1%,0.0%,0%,Central Standard Time,496,4.3,52.40%,0,N/A,25,9.0%,0.00,N/A,1,3,N/A,N/A,KY-65982
Scottsville,Kentucky,4489,770,Bowling Green,180751,89,46,43,52,108,204,5,65.4,48,6,11,39,44,11.13%,$32441,28.39%,N/A,N/A,$117500,N/A,N/A,44,40.60%,2%,20%,23%,71,20 mins,5.00%,1.70%,3.10%,Allen County,16.70%,79.90%,0.0%,2.1%,97.9%,0.0%,0%,Central Standard Time,496,4.5,48.50%,3,N/A,N/A,15.2%,142.96,17,2,0,176,3340,KY-69114
Smiths Grove,Kentucky,683,1024,Bowling Green,180751,90,46,44,51,111,203,7,64.5,47,7,6,16,40,14.15%,$54063,11.08%,N/A,N/A,$144400,N/A,N/A,58,76.40%,9%,31%,24%,69,20 mins,4.60%,2.60%,29.70%,Warren County,35.00%,59.20%,1.4%,13.6%,80.0%,0.0%,0.8%,Central Standard Time,496,4.4,40.40%,40,N/A,47,16.1%,234.38,19,1,0,0,249,KY-71454
Woodburn,Kentucky,373,710,Bowling Green,180751,89,45,44,50,114,211,6,64.8,47.5,7,6,9,54,10.1%,$73750,2.5%,N/A,N/A,$173400,N/A,N/A,39,79.50%,0%,29%,26%,67,20 mins,4.60%,2.60%,1.70%,Warren County,35.00%,59.20%,0.0%,0.7%,99.3%,0.0%,0.5%,Central Standard Time,496,4.4,40.30%,8,N/A,25,13.2%,23.09,17,2,0,0,2099,KY-84414
