City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Amelia Court House,Virginia,906,242,Richmond,1303469,89,47,42,44,109,206,9,64.4,46.1,6,13,33,50,14.63%,$25156,0%,N/A,N/A,$169200,N/A,N/A,46,49.60%,4%,27%,10%,69,38 mins,3.30%,N/A,-45.40%,Amelia County,30.20%,66.90%,0.0%,28.1%,71.4%,0.0%,0%,Eastern Standard Time,177,4.5,63.50%,31,N/A,33,20.7%,238.70,41,1,9,N/A,N/A,VA-01640
Ashland,Virginia,7554,1049,Richmond,1303469,89,47,42,44,107,207,13,64.7,46.4,6,24,46,32,30.28%,$41582,9.8%,$1219,941,$270800,N/A,N/A,34,47.30%,5%,25%,11%,51,20 mins,2.50%,N/A,4.60%,Hanover County,30.90%,63.20%,2.1%,22.6%,64.2%,8.2%,7.7%,Eastern Standard Time,177,4.4,64.60%,77,N/A,77,19.2%,48.35,38,1,49,240,1995,VA-03368
Bellwood,Virginia,6504,1122,Richmond,1303469,90,49,41,45,115,207,7,65.4,47.1,N/A,18,50,33,12.15%,$36983,20.6%,$1013,762,$137100,N/A,N/A,43,40.60%,3%,26%,9%,50,26 mins,2.90%,N/A,16.70%,Chesterfield County,46.00%,48.20%,2.8%,24.1%,49.3%,18.4%,14.1%,Eastern Standard Time,177,4.6,61.80%,50,N/A,52,19.4%,0.00,42,1,12,N/A,N/A,VA-06216
Bensley,Virginia,6363,2215,Richmond,1303469,90,48,42,44,115,207,7,65,46.8,N/A,20,55,32,8.30%,$33323,20.7%,$1098,870,$142600,N/A,N/A,50,38.10%,3%,25%,9%,47,26 mins,2.90%,N/A,22.90%,Chesterfield County,46.00%,48.20%,0.7%,23.4%,32.0%,39.4%,25.4%,Eastern Standard Time,177,4.6,66.10%,25,33,36,21.3%,0.00,41,1,13,N/A,N/A,VA-06728
Bon Air,Virginia,17428,2085,Richmond,1303469,89,47,42,44,112,204,11,64.6,46.3,6,13,32,41,49.44%,$68561,3.1%,N/A,N/A,$245300,N/A,N/A,42,67.30%,3%,25%,11%,49,23 mins,2.90%,N/A,9.90%,Chesterfield County,46.00%,48.20%,3.2%,9.9%,74.3%,10.4%,9.4%,Eastern Standard Time,177,4.6,52.00%,25,N/A,24,16.8%,0.60,40,1,19,N/A,N/A,VA-08472
Bowling Green,Virginia,1239,772,Richmond,1303469,88,45,43,43,113,205,13,64.6,46.3,6,6,5,39,17.79%,$51161,4.5%,N/A,N/A,$184900,N/A,N/A,52,45.90%,5%,26%,9%,66,35 mins,3.30%,N/A,24.90%,Caroline County,45.10%,50.20%,0.0%,29.4%,67.3%,2.1%,2.1%,Eastern Standard Time,177,4.3,49.30%,30,N/A,39,16.0%,161.73,36,1,16,0,0,VA-08888
Brandermill,Virginia,13996,2271,Richmond,1303469,90,48,42,45,109,206,9,64.9,46.7,N/A,11,28,41,52.79%,$75657,1.3%,N/A,N/A,$293800,N/A,N/A,32,67.50%,3%,25%,10%,61,26 mins,2.90%,N/A,11.40%,Chesterfield County,46.00%,48.20%,2.5%,12.5%,75.1%,5.9%,7.8%,Eastern Standard Time,177,4.6,41.70%,2,N/A,21,17.1%,0.00,41,1,17,N/A,N/A,VA-09248
Central Garage,Virginia,1211,271,Richmond,1303469,90,49,41,44,115,206,11,65.5,47.4,N/A,8,19,50,27.59%,$54135,0%,N/A,N/A,$189600,N/A,N/A,29,86.40%,5%,25%,8%,68,37 mins,2.60%,N/A,35.30%,King William County,30.20%,65.30%,0.0%,11.7%,85.1%,0.0%,2%,Eastern Standard Time,177,4.4,34.50%,35,N/A,33,18.8%,137.30,N/A,1,11,N/A,N/A,VA-14312
Chamberlayne,Virginia,5116,1850,Richmond,1303469,89,47,42,44,112,209,12,65,46.8,N/A,11,29,48,41.60%,$82591,1.5%,$1173,840,$224900,N/A,N/A,49,87.10%,7%,30%,10%,51,22 mins,2.80%,N/A,7.90%,Henrico County,57.40%,36.60%,4.6%,51.6%,37.9%,0.7%,8.9%,Eastern Standard Time,177,4.5,46.10%,15,0,23,18.8%,0.00,N/A,1,18,N/A,N/A,VA-14544
Charles City,Virginia,26,39,Richmond,1303469,90,48,42,45,115,206,6,66.3,48.2,6,10,25,67,N/A,$43393,0%,N/A,N/A,$214100,N/A,N/A,45,52.00%,4%,26%,10%,71,32 mins,3.40%,N/A,-25.00%,Charles City County,60.80%,35.90%,0.0%,40.0%,48.6%,0.0%,0%,Eastern Standard Time,177,4.6,64.80%,0,N/A,23,35.4%,740.74,46,1,2,N/A,N/A,VA-14904
