City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bald Hill,Illinois,932,26,Mount Vernon,117468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jefferson County,26.00%,68.80%,N/A,N/A,N/A,N/A,N/A,N/A,88,40,48,69,22,58%,55%,44,65,93,57%,67%,49%,49.65,13.85,9.16,27.18%,25.49%,26.56%,12.0,5,6.9,46.9,77,468,4.3,35.85,IL-03428,38.1688841,-89.0943718
Belle Rive,Illinois,378,367,Mount Vernon,117468,$45192,11.68%,39,N/A,N/A,N/A,44,76.98%,$429,53.05%,N/A,N/A,10.88%,6.84%,58.82%,Jefferson County,26.00%,68.80%,0.0%,0.0%,87.04%,11.64%,0.26%,N/A,85,39,46,67,22,58%,56%,45,65,88,58%,72%,46%,49.51,12.4,9.43,30.41%,28.46%,28.56%,12.0,5,6.9,42.8,77,420,4.3,1.03,IL-04806,38.2317255,-88.7404901
Blissville,Illinois,495,14,Mount Vernon,117468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jefferson County,26.00%,68.80%,N/A,N/A,N/A,N/A,N/A,N/A,85,39,46,67,22,58%,55%,44,65,88,57%,67%,49%,49.65,13.85,9.16,29.56%,28.79%,27.78%,12.0,5,6.9,46.9,77,468,4.3,35.36,IL-06496,38.2566734,-89.0937415
Bluford,Illinois,662,424,Mount Vernon,117468,$49911,7.62%,35,N/A,N/A,N/A,43,80.21%,$803,43.8%,N/A,N/A,14.2%,16.81%,65.95%,Jefferson County,26.00%,68.80%,0.0%,0.0%,91.24%,5.74%,0.0%,N/A,85,39,46,67,22,58%,56%,45,65,88,58%,72%,46%,49.51,12.4,9.43,30.41%,28.46%,28.56%,12.0,5,6.9,42.8,76,420,4.3,1.56,IL-06964,38.3258405,-88.7349754
Bonnie,Illinois,440,346,Mount Vernon,117468,$59000,15.81%,42,N/A,N/A,N/A,44,90.23%,$781,42.86%,N/A,N/A,11.47%,4.27%,61.16%,Jefferson County,26.00%,68.80%,0.0%,0.23%,92.73%,2.73%,0.91%,N/A,85,39,46,67,22,58%,56%,45,65,88,58%,72%,46%,49.65,13.85,9.16,30.41%,28.46%,28.56%,12.0,5,6.9,42.8,77,468,4.3,1.27,IL-07263,38.2030011,-88.9067716
Casner,Illinois,1232,34,Mount Vernon,117468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jefferson County,26.00%,68.80%,N/A,N/A,N/A,N/A,N/A,N/A,88,39,49,66,21,58%,55%,44,65,93,57%,67%,49%,48.82,12.86,9.01,30.41%,28.46%,28.56%,12.0,5,6.9,46.9,77,573,4.3,36.24,IL-11670,38.343555,-89.0902039
Dix,Illinois,534,258,Mount Vernon,117468,$30000,9.54%,42,N/A,N/A,N/A,43,74.34%,$308,70.81%,N/A,N/A,21.7%,1.93%,47.92%,Jefferson County,26.00%,68.80%,0.0%,1.31%,92.51%,1.5%,0.94%,N/A,88,39,49,66,21,58%,55%,44,65,93,57%,67%,49%,47.97,12.62,8.99,30.41%,28.46%,28.56%,12.0,5,6.9,46.9,76,540,4.3,2.07,IL-20123,38.4430509,-88.9422751
Dodds,Illinois,2609,71,Mount Vernon,117468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jefferson County,26.00%,68.80%,N/A,N/A,N/A,N/A,N/A,N/A,85,39,46,67,22,58%,56%,45,65,88,58%,72%,46%,49.63,13.17,9.32,30.41%,28.46%,28.56%,12.0,5,6.9,42.8,70,447,4.3,36.75,IL-20227,38.2569079,-88.8719999
Elk Prairie,Illinois,773,28,Mount Vernon,117468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jefferson County,26.00%,68.80%,N/A,N/A,N/A,N/A,N/A,N/A,88,40,48,69,22,58%,55%,44,65,93,57%,67%,49%,49.65,13.85,9.16,27.18%,25.49%,26.56%,12.0,5,6.9,46.9,77,468,4.3,27.61,IL-23334,38.1696799,-88.9852906
Farrington,Illinois,520,14,Mount Vernon,117468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jefferson County,26.00%,68.80%,N/A,N/A,N/A,N/A,N/A,N/A,85,39,46,67,22,58%,56%,45,65,88,58%,72%,46%,49.63,13.17,9.32,30.41%,28.46%,28.56%,12.0,5,6.9,42.8,76,447,4.3,37.14,IL-25648,38.4315838,-88.7551773
