City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Acampo,California,520,554,Stockton-Lodi,767967,93,55,38,19,61,261,0,52,46.2,5,16,32,53,N/A,$141250,0%,N/A,N/A,$787000,2002,$393,20,81.80%,9%,53%,63%,60,32 mins,6.30%,2.20%,1980.00%,San Joaquin County,53.40%,39.20%,0.0%,0.0%,100.0%,0.0%,0%,Pacific Standard Time,22,5,54.30%,17,N/A,53,N/A,476.19,0,0,38,N/A,N/A,CA-00156
August,California,7942,6359,Stockton-Lodi,767967,93,55,38,17,60,261,0,52,46.2,N/A,29,49,29,2.13%,$28518,28.6%,N/A,N/A,$275000,1018,$270,56,35.00%,8%,54%,73%,53,26 mins,6.30%,2.20%,-4.70%,San Joaquin County,53.40%,39.20%,5.0%,4.1%,18.6%,70.3%,30.5%,Pacific Standard Time,22,5,60.30%,67,22,N/A,20.1%,0.00,0,0,119,N/A,N/A,CA-03209
Collierville,California,2354,351,Stockton-Lodi,767967,93,55,38,19,61,261,0,52,46.2,N/A,20,39,42,13.48%,$71350,2.08%,N/A,N/A,$836000,2171,$385,50,77.10%,8%,55%,72%,60,32 mins,6.30%,2.20%,8.60%,San Joaquin County,53.40%,39.20%,2.4%,0.0%,47.6%,49.7%,14.44%,Pacific Standard Time,22,5,43.40%,6,N/A,N/A,20.5%,0.00,0,0,32,N/A,N/A,CA-14708
Country Club,California,9242,5172,Stockton-Lodi,767967,93,55,38,17,60,257,0,52,46.2,N/A,23,39,36,13.62%,$57391,15.57%,N/A,N/A,$330000,1153,$286,61,51.00%,7%,65%,85%,44,24 mins,6.30%,2.20%,12.40%,San Joaquin County,53.40%,39.20%,5.1%,4.1%,34.2%,51.6%,15.03%,Pacific Standard Time,22,5,56.90%,42,25,43,22.5%,0.00,0,0,289,N/A,N/A,CA-16651
Dogtown,California,3006,196,Stockton-Lodi,767967,93,55,38,19,61,261,0,52,46.2,7,17,33,49,19.02%,$99764,7.49%,N/A,N/A,$819500,2090,$392,34,73.10%,8%,54%,74%,65,35 mins,6.30%,2.20%,10.80%,San Joaquin County,53.40%,39.20%,4.6%,0.0%,72.5%,18.0%,17.93%,Pacific Standard Time,22,5,33.50%,0,N/A,N/A,18.8%,0.00,0,0,20,N/A,N/A,CA-19440
Escalon,California,7553,3237,Stockton-Lodi,767967,94,55,39,13,56,261,0,52,46.2,5,20,33,34,13.81%,$64844,9.56%,N/A,N/A,$499000,1732,$288,31,66.60%,4%,52%,67%,57,27 mins,6.30%,2.20%,5.60%,San Joaquin County,53.40%,39.20%,0.3%,0.0%,71.7%,26.4%,7.02%,Pacific Standard Time,22,5,46.50%,77,N/A,53,16.6%,16.79,0,0,52,209,1766,CA-22790
French Camp,California,3641,1199,Stockton-Lodi,767967,93,55,38,17,59,259,0,52,46.2,5,27,47,33,4.15%,$53966,22.58%,N/A,N/A,$368400,N/A,N/A,49,42.80%,17%,78%,89%,57,32 mins,6.30%,2.20%,-35.80%,San Joaquin County,53.40%,39.20%,4.0%,9.8%,21.8%,62.3%,33.56%,Pacific Standard Time,22,5,67.50%,32,N/A,42,19.7%,24.88,0,0,343,N/A,N/A,CA-26028
Garden Acres,California,10096,4230,Stockton-Lodi,767967,93,55,38,17,60,256,0,52,46.2,N/A,26,48,30,2.33%,$46276,18.39%,N/A,N/A,$275000,961,$286,55,51.40%,8%,55%,74%,48,28 mins,6.30%,2.20%,4.40%,San Joaquin County,53.40%,39.20%,0.9%,0.5%,17.8%,79.2%,35.73%,Pacific Standard Time,22,5,52.20%,43,22,N/A,20.9%,0.00,N/A,0,75,N/A,N/A,CA-28182
Kennedy,California,2877,2861,Stockton-Lodi,767967,93,55,38,17,60,261,0,52,46.2,N/A,26,43,29,4.27%,$34355,25.72%,N/A,N/A,$131300,N/A,N/A,48,54.90%,8%,53%,71%,51,32 mins,6.30%,2.20%,5.30%,San Joaquin County,53.40%,39.20%,11.4%,2.3%,4.3%,81.1%,31.87%,Pacific Standard Time,22,5,52.40%,37,N/A,N/A,14.7%,0.00,0,0,145,N/A,N/A,CA-38065
Lathrop,California,23863,1064,Stockton-Lodi,767967,93,55,38,15,58,257,0,52,46.2,5,20,37,33,18.77%,$90179,11.47%,N/A,N/A,$544500,1987,$274,19,69.80%,5%,55%,84%,52,43 mins,6.30%,2.20%,23.50%,San Joaquin County,53.40%,39.20%,25.8%,6.0%,23.4%,40.7%,32.37%,Pacific Standard Time,22,5,44.20%,27,N/A,41,23.0%,28.68,0,0,562,N/A,N/A,CA-40704
