City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Bendena,Kansas,126,82,St. Joseph,122556,$50938,42.7%,48,N/A,N/A,N/A,64,88.1%,N/A,45.83%,N/A,N/A,5.56%,8.33%,70.0%,Doniphan County,17.40%,77.10%,0.0%,0.0%,93.65%,6.35%,0.0%,Central Standard Time,87,37,50,36,92,18,8.0,79,894,4.1,1.53,KS-05975,39.7435413,-95.1810565,62%,70%,55%,60%,59%,51.4,42,64
Burr Oak township (Doniphan Cnty),Kansas,149,182,St. Joseph,122556,$63250,N/A,N/A,N/A,N/A,N/A,24,39.70%,N/A,5.50%,N/A,N/A,N/A,4.00%,N/A,Doniphan County,17.40%,77.10%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,88,38,50,36,98,18,8.0,76,894,4.1,0.82,KS-09500,39.8516152,-94.9677902,62%,70%,55%,60%,59%,51.4,42,64
Center township (Doniphan Cnty),Kansas,1686,27,St. Joseph,122556,$55517,N/A,N/A,N/A,N/A,N/A,52,65.70%,N/A,36.60%,N/A,N/A,N/A,4.00%,N/A,Doniphan County,17.40%,77.10%,0.4%,0.1%,93.8%,4.5%,N/A,Central Standard Time,87,37,50,35,92,18,8.0,79,894,4.1,62.44,KS-11700,39.8061093,-95.0890445,62%,70%,55%,60%,59%,51.4,42,64
Denton,Kansas,170,1214,St. Joseph,122556,$71719,19.4%,52,N/A,N/A,N/A,78,97.06%,$575,32.35%,N/A,N/A,14.12%,2.02%,72.79%,Doniphan County,17.40%,77.10%,0.0%,0.0%,97.65%,1.18%,0.0%,Central Standard Time,87,37,50,36,92,16,8.0,80,894,4.1,0.14,KS-17750,39.731933,-95.2695359,59%,68%,54%,58%,58%,55.1,43,65
Elwood,Kansas,955,328,St. Joseph,122556,$38015,2.03%,37,N/A,N/A,N/A,30,74.97%,$650,49.74%,N/A,N/A,19.79%,1.72%,54.28%,Doniphan County,17.40%,77.10%,0.0%,9.21%,84.61%,6.07%,0.73%,Central Standard Time,88,38,50,37,99,17,8.0,76,894,4.1,2.91,KS-20950,39.7517755,-94.8889382,62%,70%,55%,60%,59%,51.4,42,64
Highland,Kansas,1193,2251,St. Joseph,122556,$65208,31.28%,20,N/A,N/A,N/A,61,83.27%,$625,74.55%,400,400,16.34%,2.22%,46.48%,Doniphan County,17.40%,77.10%,0.84%,23.72%,67.73%,4.02%,2.26%,Central Standard Time,87,37,50,35,87,18,8.0,80,894,4.1,0.53,KS-31850,39.8603366,-95.2651353,59%,68%,54%,58%,58%,55.1,43,65
Independence township (Doniphan Cnty),Kansas,174,23,St. Joseph,122556,$52750,N/A,N/A,$85000,1328,$64,45,72.60%,N/A,28.80%,988,4695,N/A,4.00%,N/A,Doniphan County,17.40%,77.10%,0.0%,0.0%,94.8%,5.2%,N/A,Central Standard Time,87,37,50,36,92,18,8.0,79,894,4.1,7.67,KS-33850,39.7019179,-95.1774347,62%,70%,55%,60%,59%,51.4,42,64
Iowa,Kansas,1584,19,St. Joseph,122556,$43654,25.64%,N/A,N/A,N/A,N/A,74,47.40%,N/A,64.10%,N/A,N/A,N/A,4.00%,N/A,Doniphan County,17.40%,77.10%,0.3%,16.0%,73.7%,3.2%,N/A,Central Standard Time,87,35,52,35,86,18,8.0,80,894,4.1,83.37,KS-34400,39.8942543,-95.2612029,59%,68%,54%,58%,58%,55.1,43,65
Leona,Kansas,34,567,St. Joseph,122556,$18250,3.7%,52,N/A,N/A,N/A,57,91.18%,N/A,39.29%,N/A,N/A,73.53%,0.0%,28.57%,Doniphan County,17.40%,77.10%,0.0%,0.0%,100.0%,0.0%,0.0%,Central Standard Time,88,37,51,36,92,18,8.0,80,894,4.1,0.06,KS-39475,39.785986,-95.3213672,59%,68%,54%,58%,58%,55.1,43,65
Marion township (Doniphan Cnty),Kansas,223,81,St. Joseph,122556,$66167,N/A,N/A,N/A,N/A,N/A,44,56.30%,N/A,58.60%,56,1129,N/A,4.00%,N/A,Doniphan County,17.40%,77.10%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,88,38,50,36,99,18,8.0,76,894,4.1,2.76,KS-44675,39.7168787,-95.0011631,62%,70%,55%,60%,59%,51.4,42,64
