City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents
Beech Grove,Kentucky,541,293,Owensboro,119795,89,44,45,46,105,202,7,65.1,47.4,7,9,21,36,N/A,$63818,22.9%,N/A,N/A,$50100,N/A,N/A,49,84.30%,10%,29%,33%,73,27 mins,5.00%,0.90%,150.50%,McLean County,21.60%,74.00%,0.0%,2.8%,97.2%,0.0%,4.1%,Eastern Standard Time,406,4.3,48.90%,24,N/A,N/A,23.1%,0.00,17,2,6,N/A,N/A
Calhoun,Kentucky,732,1119,Owensboro,119795,90,44,46,46,105,201,8,65,47.3,7,10,7,49,9.89%,$30815,21.8%,N/A,N/A,$87800,N/A,N/A,47,59.10%,10%,29%,31%,73,27 mins,5.00%,0.90%,-35.40%,McLean County,21.60%,74.00%,1.4%,0.0%,96.7%,1.9%,1%,Eastern Standard Time,406,4.3,50.80%,27,N/A,35,15.1%,71.43,17,1,4,N/A,N/A
Hawesville,Kentucky,994,615,Owensboro,119795,89,43,46,48,107,205,8,64.5,46.7,6,0,13,39,11.03%,$35250,12.1%,N/A,N/A,$134500,N/A,N/A,46,56.50%,10%,28%,31%,70,22 mins,4.40%,1.40%,-6.60%,Hancock County,29.00%,64.90%,1.2%,2.8%,93.9%,0.0%,0.5%,Eastern Standard Time,406,4.3,41.10%,20,N/A,N/A,16.1%,276.07,16,1,4,0,0
Island,Kentucky,428,1270,Owensboro,119795,88,43,45,46,102,205,6,64.6,47,7,7,18,43,6.04%,$29635,14.2%,N/A,N/A,$65100,N/A,N/A,36,62.90%,10%,28%,33%,73,27 mins,5.00%,0.90%,-13.20%,McLean County,21.60%,74.00%,0.0%,0.0%,92.8%,5.8%,8.2%,Eastern Standard Time,406,4.3,36.70%,14,N/A,32,15.7%,113.21,16,1,5,N/A,N/A
Lewisport,Kentucky,1829,1919,Owensboro,119795,89,44,45,48,107,204,8,64.4,46.4,6,0,9,37,15.17%,$45862,12.6%,N/A,N/A,$91300,N/A,N/A,44,56.90%,10%,29%,31%,72,22 mins,4.40%,1.40%,0.50%,Hancock County,29.00%,64.90%,2.4%,3.0%,89.8%,3.4%,2.7%,Eastern Standard Time,406,4.3,49.70%,7,N/A,37,13.4%,92.48,16,2,6,0,0
Livermore,Kentucky,1384,1340,Owensboro,119795,89,44,45,47,103,201,6,64.8,47.1,7,6,9,42,7.38%,$28438,21.7%,N/A,N/A,$86800,N/A,N/A,51,47.80%,10%,29%,33%,71,21 mins,5.00%,0.90%,6.10%,McLean County,21.60%,74.00%,0.0%,0.0%,95.7%,0.6%,0.3%,Eastern Standard Time,406,4.3,40.40%,32,N/A,34,17.1%,58.87,16,1,5,N/A,N/A
Maceo,Kentucky,241,162,Owensboro,119795,90,43,47,46,102,202,6,64.6,46.7,6,5,12,48,N/A,$55645,0%,N/A,N/A,$101200,N/A,N/A,43,81.60%,7%,23%,30%,72,19 mins,4.40%,1.50%,-57.00%,Daviess County,30.90%,63.10%,0.0%,0.0%,100.0%,0.0%,0%,Eastern Standard Time,406,4,21.60%,10,N/A,35,20.0%,311.36,16,1,3,N/A,N/A
Masonville,Kentucky,1324,128,Owensboro,119795,89,44,45,46,102,203,6,64.9,47,N/A,5,12,32,25.77%,$34833,10%,N/A,N/A,$157700,N/A,N/A,45,88.70%,9%,26%,32%,73,20 mins,4.40%,1.50%,27.20%,Daviess County,30.90%,63.10%,0.0%,0.0%,95.0%,5.0%,0%,Eastern Standard Time,406,4,30.70%,0,N/A,N/A,13.8%,152.38,17,1,5,N/A,N/A
Owensboro,Kentucky,58791,2874,Owensboro,119795,90,43,47,45,102,202,7,65.5,47.5,7,224,56,37,23.01%,$38213,16.5%,N/A,N/A,$131800,N/A,N/A,47,52.70%,11%,29%,34%,56,16 mins,4.50%,1.50%,4.00%,Daviess County,30.90%,63.10%,1.8%,6.7%,84.3%,3.7%,3.5%,Eastern Standard Time,406,4,53.10%,36,N/A,50,16.6%,54.71,16,1,6,0,0
Sacramento,Kentucky,418,972,Owensboro,119795,89,43,46,46,111,205,6,64.9,47.3,7,10,25,43,12.28%,$29500,26.4%,N/A,N/A,$80200,N/A,N/A,50,47.80%,10%,28%,31%,73,27 mins,5.00%,0.90%,-24.80%,McLean County,21.60%,74.00%,0.7%,3.8%,93.1%,0.7%,0.4%,Eastern Standard Time,406,4.3,48.00%,12,N/A,48,13.8%,111.52,16,1,4,N/A,N/A
Whitesville,Kentucky,496,1156,Owensboro,119795,90,44,46,48,103,204,9,64.7,46.9,7,7,19,40,12.60%,$33875,15.5%,N/A,N/A,$111900,N/A,N/A,54,52.80%,12%,28%,35%,72,19 mins,4.40%,1.50%,-14.00%,Daviess County,30.90%,63.10%,0.0%,0.0%,95.0%,0.0%,0%,Eastern Standard Time,406,4,43.10%,26,N/A,29,16.0%,141.59,17,1,4,N/A,N/A
