City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents
Altamont,Pennsylvania,639,692,Pottsville,140709,81,33,48,50,125,193,39,59,39.6,6,9,17,49,N/A,$48705,4.9%,N/A,N/A,$53600,N/A,N/A,71,73.10%,3%,10%,11%,79,25 mins,5.40%,-1.10%,-13.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.2%,0.0%,4%,N/A,N/A,3.7,46.70%,46,N/A,21,16.6%,0.00,18,1,2,N/A,N/A
Ashland borough,Pennsylvania,2731,1647,Pottsville,140709,82,34,48,50,124,190,37,N/A,N/A,N/A,14,25,46,N/A,$34153,N/A,N/A,N/A,$39800,N/A,N/A,78,42.60%,3%,10%,10%,74,30 mins,5.40%,-1.10%,-5.50%,Schuylkill County,26.50%,69.40%,0.0%,1.7%,93.7%,1.4%,N/A,N/A,N/A,3.7,57.20%,55,N/A,22,N/A,N/A,N/A,1,N/A,N/A,N/A
Auburn borough,Pennsylvania,795,490,Pottsville,140709,85,37,48,49,123,193,32,N/A,N/A,N/A,10,19,39,N/A,$41250,N/A,N/A,N/A,$67600,N/A,N/A,78,60.40%,3%,9%,11%,78,27 mins,5.40%,-1.10%,19.20%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,99.6%,0.0%,N/A,N/A,N/A,3.7,36.10%,19,N/A,26,N/A,N/A,N/A,1,N/A,N/A,N/A
Barry,Pennsylvania,778,46,Pottsville,140709,82,34,48,49,125,193,36,N/A,N/A,7,8,15,53,N/A,$52841,N/A,N/A,N/A,$107000,N/A,N/A,44,70.70%,3%,9%,10%,81,30 mins,5.40%,-1.10%,-27.00%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,N/A,N/A,N/A,3.7,32.70%,0,N/A,4,N/A,N/A,N/A,1,N/A,N/A,N/A
Beurys Lake,Pennsylvania,82,210,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,N/A,8,15,59,N/A,$47500,0%,N/A,N/A,$70900,N/A,N/A,63,39.10%,3%,10%,10%,81,25 mins,5.40%,-1.10%,-54.40%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0%,N/A,N/A,3.7,34.20%,0,N/A,21,12.3%,0.00,17,1,2,N/A,N/A
Blythe,Pennsylvania,968,35,Pottsville,140709,84,36,48,51,127,193,34,N/A,N/A,N/A,5,7,43,10.31%,$51635,N/A,N/A,N/A,$58300,N/A,N/A,78,69.00%,3%,10%,10%,81,24 mins,5.40%,-1.10%,15.50%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,95.5%,3.1%,N/A,N/A,N/A,3.7,45.30%,0,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A
Branch,Pennsylvania,1778,155,Pottsville,140709,84,36,48,50,126,193,37,N/A,N/A,N/A,6,12,47,19.03%,$52337,N/A,N/A,N/A,$114800,N/A,N/A,60,86.30%,3%,11%,7%,76,25 mins,5.40%,-1.10%,-5.90%,Schuylkill County,26.50%,69.40%,0.0%,0.8%,98.0%,1.2%,N/A,N/A,N/A,3.7,43.50%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
Branchdale,Pennsylvania,495,693,Pottsville,140709,83,35,48,50,125,197,37,59,39.6,6,12,23,30,5.68%,$38854,17.9%,N/A,N/A,$55600,N/A,N/A,78,46.00%,3%,9%,10%,78,25 mins,5.40%,-1.10%,88.90%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,100.0%,0.0%,0%,N/A,N/A,3.7,55.80%,13,N/A,N/A,17.9%,0.00,17,1,15,N/A,N/A
Brandonville,Pennsylvania,277,198,Pottsville,140709,82,34,48,50,124,193,37,59,39.6,6,11,20,43,1.81%,$50938,7.6%,N/A,N/A,$73200,N/A,N/A,64,61.20%,3%,10%,10%,84,25 mins,5.40%,-1.10%,61.10%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,97.8%,2.2%,0%,N/A,N/A,3.7,47.10%,0,N/A,22,17.3%,0.00,18,1,1,N/A,N/A
Buck Run,Pennsylvania,234,467,Pottsville,140709,84,36,48,50,125,193,37,59,39.6,7,10,18,38,11.54%,$31250,6.2%,N/A,N/A,$53400,N/A,N/A,78,79.20%,3%,10%,10%,78,25 mins,5.40%,-1.10%,78.60%,Schuylkill County,26.50%,69.40%,0.0%,0.0%,98.3%,1.7%,0%,N/A,N/A,3.7,43.90%,3,N/A,N/A,16.8%,0.00,17,1,9,N/A,N/A
Butler township (Schuylkill Cnty),Pennsylvania,4947,190,Pottsville,140709,82,34,48,50,124,193,37,N/A,N/A,N/A,8,11,43,N/A,$56378,N/A,N/A,N/A,$104200,N/A,N/A,58,85.30%,5%,11%,13%,83,26 mins,5.40%,-1.10%,-5.30%,Schuylkill County,26.50%,69.40%,0.0%,16.5%,75.9%,6.4%,N/A,N/A,N/A,3.7,51.30%,3,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
Cass township (Schuylkill Cnty),Pennsylvania,1889,131,Pottsville,140709,84,36,48,50,125,193,37,N/A,N/A,N/A,10,15,43,N/A,$43480,N/A,N/A,N/A,$54500,N/A,N/A,78,77.70%,3%,10%,10%,81,23 mins,5.40%,-1.10%,-4.90%,Schuylkill County,26.50%,69.40%,1.1%,1.4%,95.6%,1.5%,N/A,N/A,N/A,3.7,44.10%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A
