City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Bluefield,Virginia,4832,509,Bluefield,105026,$45969,21.57%,46,N/A,N/A,N/A,61,74.94%,$679,51.85%,186,5682,11.58%,2.24%,52.3%,Tazewell County,15.60%,81.70%,1.08%,11.8%,85.58%,3.1%,1.22%,N/A,82,40,42,40,147,30,7.1,81,N/A,4,9.49,VA-08152,37.2351002,-81.2750196,59%,64%,54%,60%,61%,43.9,41,60
Cedar Bluff,Virginia,1138,544,Bluefield,105026,$41250,14.3%,46,N/A,N/A,N/A,48,59.75%,$684,46.37%,99,697,15.55%,4.67%,52.57%,Tazewell County,15.60%,81.70%,0.0%,0.26%,99.74%,0.0%,0.7%,N/A,83,44,39,44,130,14,7.1,77,N/A,4,2.09,VA-13784,37.0875627,-81.7632828,59%,59%,57%,60%,61%,40.6,45,63
Claypool Hill,Virginia,1424,259,Bluefield,105026,$38310,14.15%,40,N/A,N/A,N/A,42,77.32%,$693,30.66%,N/A,N/A,13.17%,14.93%,47.77%,Tazewell County,15.60%,81.70%,0.0%,2.04%,95.01%,2.95%,0.0%,N/A,83,44,39,44,129,14,7.1,77,N/A,4,5.5,VA-17120,37.0633541,-81.7505718,59%,59%,57%,60%,61%,40.6,45,63
Gratton,Virginia,1003,185,Bluefield,105026,$63641,6.1%,41,N/A,N/A,N/A,42,94.32%,N/A,35.14%,N/A,N/A,6.78%,0.0%,53.41%,Tazewell County,15.60%,81.70%,0.0%,0.0%,93.12%,6.38%,0.0%,N/A,79,39,40,43,143,34,7.1,83,N/A,4,5.43,VA-32320,37.1351489,-81.4212179,59%,64%,54%,60%,61%,43.9,41,60
Pocahontas,Virginia,242,425,Bluefield,105026,$24318,9.71%,53,N/A,N/A,N/A,78,55.79%,$246,57.59%,0,282,35.12%,9.33%,33.78%,Tazewell County,15.60%,81.70%,2.07%,8.68%,89.26%,0.0%,0.0%,N/A,82,40,42,40,146,30,7.1,82,N/A,4,0.57,VA-63288,37.3070185,-81.343672,59%,64%,54%,60%,61%,43.9,41,60
Richlands,Virginia,5311,940,Bluefield,105026,$28970,14.98%,48,N/A,N/A,N/A,55,58.88%,$730,50.4%,307,1923,28.14%,9.32%,40.92%,Tazewell County,15.60%,81.70%,0.0%,1.64%,96.42%,0.13%,0.28%,N/A,83,44,39,43,129,14,7.1,75,N/A,4,5.65,VA-66928,37.0877627,-81.8080586,59%,59%,57%,60%,61%,40.6,45,63
Springville,Virginia,1198,160,Bluefield,105026,$45313,11.78%,44,N/A,N/A,N/A,38,71.87%,$615,51.21%,N/A,N/A,19.95%,1.02%,58.65%,Tazewell County,15.60%,81.70%,2.92%,3.42%,93.66%,0.0%,2.92%,N/A,79,39,40,42,144,36,7.1,83,N/A,4,7.47,VA-74848,37.1940223,-81.399913,59%,64%,54%,60%,61%,43.9,41,60
Tazewell,Virginia,4203,612,Bluefield,105026,$37048,21.96%,45,N/A,N/A,N/A,57,70.99%,$665,46.76%,217,1400,14.78%,6.39%,52.08%,Tazewell County,15.60%,81.70%,0.24%,9.71%,87.27%,0.24%,0.24%,N/A,79,39,40,43,144,35,7.1,83,N/A,4,6.87,VA-77792,37.1267939,-81.5133754,59%,59%,57%,60%,61%,43.9,41,60
Athens,West Virginia,991,2478,Bluefield,105026,$52760,50.0%,24,N/A,N/A,N/A,55,76.59%,$700,66.25%,N/A,N/A,9.68%,13.27%,48.45%,Mercer County,20.30%,75.00%,0.0%,10.19%,88.5%,1.31%,4.94%,N/A,79,40,39,39,144,33,7.1,82,N/A,4,0.4,WV-03292,37.4231306,-81.0150712,59%,64%,54%,60%,61%,43.9,41,60
Bluefield,West Virginia,9776,1083,Bluefield,105026,$35650,27.49%,44,N/A,N/A,N/A,68,63.83%,$695,52.45%,N/A,N/A,18.7%,10.15%,47.84%,Mercer County,20.30%,75.00%,0.88%,23.89%,67.81%,2.87%,2.51%,N/A,82,40,42,40,146,30,7.1,73,N/A,4,9.03,WV-08524,37.2607728,-81.2142497,59%,64%,54%,60%,61%,43.9,41,60
