City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Banner Hill,Tennessee,1396,997,Johnson City,204540,86,46,40,44,135,200,10,61.5,44.1,N/A,21,36,52,10.68%,$47938,14.77%,N/A,N/A,N/A,N/A,N/A,61,85.55%,6%,26%,22%,79,20 mins,10.22%,0.30%,-22.50%,Unicoi County,17.50%,78.80%,0.0%,0.0%,98.28%,0.0%,0.0%,Eastern Standard Time,1662,4.4,55.00%,4,N/A,N/A,12.8%,0.00,17,1,12,N/A,N/A,TN-03120,1.4,52.95%
Central,Tennessee,1926,547,Johnson City,204540,86,46,40,44,135,202,11,62,44.8,N/A,22,38,56,13.35%,$23000,25.44%,$570,N/A,$145000,1082,$134,44,71.03%,5%,22%,17%,73,23 mins,0.0%,0.50%,15.50%,Carter County,16.40%,80.10%,0.0%,0.0%,97.77%,0.0%,0.88%,Eastern Standard Time,1662,4.8,48.90%,9,N/A,1,17.6%,0.00,17,1,4,N/A,N/A,TN-12460,3.52,42.28%
Elizabethton,Tennessee,13568,1421,Johnson City,204540,86,46,40,44,135,198,11,62.8,45.6,5,21,75,37,19.74%,$38007,23.23%,$635,N/A,N/A,N/A,N/A,52,56.95%,4%,23%,18%,68,20 mins,5.56%,0.50%,-3.60%,Carter County,16.40%,80.10%,1.39%,5.13%,89.1%,3.13%,2.83%,Eastern Standard Time,1662,4.8,55.50%,N/A,N/A,N/A,16.6%,49.90,18,1,5,604,4765,TN-23500,9.55,49.64%
Erwin,Tennessee,5910,1431,Johnson City,204540,86,46,40,44,135,197,10,62.7,45.3,5,24,21,47,17.04%,$35731,22.44%,$616,N/A,N/A,N/A,N/A,56,74.18%,7%,25%,17%,75,17 mins,4.59%,0.30%,-2.80%,Unicoi County,17.50%,78.80%,0.0%,0.3%,90.81%,6.58%,2.25%,Eastern Standard Time,1662,4.4,49.60%,45,N/A,51,17.3%,47.70,15,1,13,514,1527,TN-24360,4.13,48.15%
Gray,Tennessee,1342,901,Johnson City,204540,86,46,40,43,136,199,11,63,45.8,5,17,30,63,23.73%,$55271,12.97%,$920,N/A,N/A,N/A,N/A,21,64.01%,6%,21%,22%,71,20 mins,0.0%,0.40%,54.30%,Washington County,26.20%,68.80%,0.0%,0.0%,97.76%,0.0%,0.0%,Eastern Standard Time,1662,4.8,56.50%,47,N/A,27,18.6%,21.83,15,1,5,N/A,N/A,TN-30700,1.49,25.63%
Hunter,Tennessee,2075,324,Johnson City,204540,86,46,40,44,135,202,11,62,44.8,6,17,30,41,17.71%,$34965,8.72%,$565,N/A,N/A,N/A,N/A,30,82.7%,5%,23%,18%,80,23 mins,0.8%,0.50%,40.10%,Carter County,16.40%,80.10%,0.0%,0.0%,99.04%,0.96%,0.0%,Eastern Standard Time,1662,4.8,45.40%,8,N/A,37,15.2%,0.00,18,1,8,N/A,N/A,TN-36500,6.4,62.09%
Johnson City,Tennessee,66934,1546,Johnson City,204540,86,46,40,44,135,201,11,62.9,45.6,5,27,54,36,39.05%,$42174,21.06%,$775,N/A,N/A,N/A,N/A,37,53.83%,5%,18%,16%,64,18 mins,5.95%,0.40%,6.20%,Washington County,26.20%,68.80%,2.8%,7.08%,81.09%,5.87%,6.38%,Eastern Standard Time,1662,4.8,55.10%,26,N/A,26,16.5%,N/A,N/A,1,N/A,425,3556,TN-38320,43.29,61.83%
Jonesborough,Tennessee,5539,1076,Johnson City,204540,86,46,40,44,135,201,11,62.8,45.7,5,13,26,45,34.02%,$60638,8.23%,$872,N/A,N/A,N/A,N/A,38,65.97%,5%,19%,20%,76,25 mins,1.04%,0.40%,8.20%,Washington County,26.20%,68.80%,3.36%,3.61%,91.08%,1.46%,2.56%,Eastern Standard Time,1662,4.8,50.20%,60,N/A,48,17.5%,113.55,15,1,8,364,1913,TN-38540,5.15,55.55%
Oak Grove (Washington Cnty),Tennessee,4353,972,Johnson City,204540,86,46,40,43,136,201,11,N/A,N/A,N/A,29,54,46,30.34%,$45324,13.37%,$735,N/A,$325000,2708,$120,35,64.15%,5%,20%,22%,70,20 mins,6.29%,0.40%,50.60%,Washington County,26.20%,68.80%,0.0%,1.22%,94.69%,0.64%,0.71%,Eastern Standard Time,1662,4.8,52.00%,12,N/A,11,N/A,N/A,N/A,1,N/A,N/A,N/A,TN-54700,4.48,51.37%
Pine Crest,Tennessee,2318,1201,Johnson City,204540,86,46,40,44,135,203,11,62,44.8,N/A,18,32,44,32.37%,$48973,6.6%,$885,N/A,N/A,N/A,N/A,47,69.8%,6%,22%,18%,73,23 mins,7.59%,0.50%,-0.60%,Carter County,16.40%,80.10%,0.0%,6.0%,91.42%,2.59%,3.45%,Eastern Standard Time,1662,4.8,50.60%,18,N/A,4,17.1%,0.00,17,1,5,N/A,N/A,TN-58240,1.93,60.23%
Roan Mountain,Tennessee,1064,160,Johnson City,204540,80,44,36,52,130,196,21,59.9,42.5,5,19,32,40,20.95%,$62692,10.47%,$753,N/A,N/A,N/A,N/A,39,91.18%,9%,23%,23%,85,23 mins,4.04%,0.50%,17.90%,Carter County,16.40%,80.10%,0.0%,3.85%,95.21%,0.85%,0.47%,Eastern Standard Time,1662,4.8,45.90%,18,N/A,38,18.4%,14.53,21,0,13,N/A,N/A,TN-63840,6.63,46.26%
Telford,Tennessee,990,401,Johnson City,204540,86,46,40,44,135,200,11,63.2,46,5,15,25,45,7.28%,$39700,13.94%,N/A,N/A,N/A,N/A,N/A,27,84.95%,7%,24%,29%,78,20 mins,4.4%,0.40%,-1.00%,Washington County,26.20%,68.80%,0.0%,2.73%,90.71%,0.0%,0.0%,Eastern Standard Time,1662,4.8,30.60%,9,N/A,2,16.7%,159.84,15,1,11,N/A,N/A,TN-73220,2.47,60.83%
Unicoi,Tennessee,3572,221,Johnson City,204540,85,46,39,45,131,200,11,61,43.6,5,27,50,50,20.72%,$42642,15.9%,$801,N/A,$280000,2276,$123,36,75.41%,6%,28%,27%,79,23 mins,7.23%,0.30%,-2.30%,Unicoi County,17.50%,78.80%,0.45%,0.0%,88.97%,8.29%,7.59%,Eastern Standard Time,1662,4.4,47.70%,24,N/A,18,17.2%,38.42,17,1,10,N/A,N/A,TN-75820,16.19,56.26%
Watauga,Tennessee,781,888,Johnson City,204540,86,46,40,44,135,203,11,62.9,45.7,5,5,10,43,22.67%,$45500,26.76%,$823,N/A,N/A,N/A,N/A,44,79.39%,2%,23%,13%,73,23 mins,3.4%,0.50%,-39.00%,Carter County,16.40%,80.10%,0.0%,2.69%,93.47%,3.33%,3.07%,Eastern Standard Time,1662,4.8,50.20%,11,N/A,9,15.2%,N/A,N/A,0,N/A,N/A,N/A,TN-78240,0.88,41.86%
