City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Adrian,Texas,129,274,Amarillo,265761,$91250,37.25%,60,$60000,1395,$43,60,79.07%,N/A,38.05%,N/A,N/A,4.65%,0.0%,54.87%,Oldham County,8.20%,89.20%,0.0%,0.0%,78.29%,21.71%,4.65%,Central Standard Time,91,50,41,19,54,256,10,54.4,37.2,11,85,3604,5.6,0.47,TX-01324
Amarillo,Texas,199225,1947,Amarillo,265761,$52941,23.28%,34,$223000,1677,$133,50,61.87%,$876,47.07%,719,3897,15.43%,3.79%,65.71%,Potter County,26.60%,68.10%,4.13%,6.77%,53.49%,33.21%,11.85%,Central Standard Time,91,50,41,21,60,259,15,56,38.8,N/A,74,3604,5.6,102.3,TX-03000
Bishop Hills,Texas,231,745,Amarillo,265761,$115781,38.22%,46,N/A,N/A,N/A,49,100.0%,$867,20.24%,N/A,N/A,1.3%,4.0%,61.45%,Potter County,26.60%,68.10%,0.0%,0.0%,89.18%,10.82%,0.87%,Central Standard Time,91,50,41,21,60,266,15,56.1,38.9,N/A,83,3604,5.6,0.31,TX-08398
Boys Ranch,Texas,250,156,Amarillo,265761,$52386,89.06%,15,N/A,N/A,N/A,57,0.0%,N/A,57.38%,N/A,N/A,1.03%,0.0%,66.33%,Oldham County,8.20%,89.20%,0.0%,6.8%,81.2%,8.8%,3.2%,Central Standard Time,92,50,42,21,48,261,11,57,39.4,12,85,3604,5.6,1.6,TX-09796
Canyon,Texas,15648,1993,Amarillo,265761,$60119,43.96%,26,$268000,1763,$152,44,58.33%,$821,54.72%,85,937,15.96%,3.3%,70.76%,Randall County,15.40%,80.00%,1.66%,2.69%,76.25%,17.43%,4.48%,Central Standard Time,91,50,41,20,58,263,15,56.5,39.5,11,74,3604,5.3,7.85,TX-12532
Claude,Texas,1358,790,Amarillo,265761,$68772,24.5%,41,$99000,1303,$76,63,76.15%,$938,36.68%,N/A,N/A,7.35%,0.0%,60.88%,Armstrong County,6.90%,90.50%,0.0%,1.03%,84.39%,11.56%,4.05%,Central Standard Time,91,49,42,22,60,262,16,56.6,39.5,11,80,3604,5.8,1.72,TX-15196
Groom,Texas,499,674,Amarillo,265761,$71696,17.6%,50,N/A,N/A,N/A,57,88.38%,$921,38.07%,N/A,N/A,12.02%,0.0%,62.16%,Carson County,8.40%,88.40%,1.2%,2.2%,91.18%,5.41%,2.61%,Central Standard Time,91,49,42,22,62,257,16,57,40.2,11,81,3604,5.9,0.74,TX-31292
Happy,Texas,636,600,Amarillo,265761,$40476,25.65%,31,N/A,N/A,N/A,58,89.15%,$828,63.28%,N/A,N/A,15.57%,3.59%,69.29%,Swisher County,21.00%,75.80%,0.0%,0.79%,67.77%,28.62%,9.91%,Central Standard Time,92,51,41,21,57,258,14,55.9,38.9,11,84,3604,5.4,1.06,TX-32156
Lake Tanglewood,Texas,721,644,Amarillo,265761,$131563,44.23%,60,N/A,N/A,N/A,37,96.26%,$891,23.2%,N/A,N/A,1.25%,4.46%,62.06%,Randall County,15.40%,80.00%,3.33%,0.14%,86.13%,8.04%,0.97%,Central Standard Time,91,50,41,21,59,263,15,55.9,38.8,12,82,3604,5.3,1.12,TX-40804
Palisades,Texas,367,655,Amarillo,265761,$61250,9.64%,44,N/A,N/A,N/A,45,97.82%,$1188,38.08%,N/A,N/A,1.36%,4.12%,56.67%,Randall County,15.40%,80.00%,0.0%,1.63%,68.12%,28.61%,4.63%,Central Standard Time,91,50,41,21,59,259,15,55.9,38.8,N/A,82,3604,5.3,0.56,TX-54726
Panhandle,Texas,2714,1280,Amarillo,265761,$74564,36.59%,40,$160000,1538,$104,60,79.25%,$870,46.35%,N/A,N/A,7.26%,1.86%,70.76%,Carson County,8.40%,88.40%,0.18%,1.99%,81.95%,12.64%,3.5%,Central Standard Time,91,49,42,22,61,261,16,56.4,39.4,12,81,3604,5.9,2.12,TX-54960
Skellytown,Texas,406,766,Amarillo,265761,$46667,11.49%,61,N/A,N/A,N/A,63,93.1%,N/A,51.56%,N/A,N/A,11.33%,0.0%,35.69%,Carson County,8.40%,88.40%,1.72%,0.0%,93.1%,5.17%,4.43%,Central Standard Time,93,50,43,23,69,260,18,57,40.1,13,81,3604,5.9,0.53,TX-68120
Timbercreek Canyon,Texas,549,287,Amarillo,265761,$103750,47.26%,56,N/A,N/A,N/A,39,98.18%,$891,30.32%,N/A,N/A,2.55%,2.07%,49.69%,Randall County,15.40%,80.00%,2.19%,0.0%,86.7%,6.38%,2.0%,Central Standard Time,91,50,41,21,59,260,15,55.9,38.8,N/A,82,3604,5.3,1.91,TX-73030
Vega,Texas,975,728,Amarillo,265761,$66765,14.27%,41,$172000,1755,$98,53,85.57%,$783,39.19%,N/A,N/A,7.84%,0.37%,68.55%,Oldham County,8.20%,89.20%,1.23%,0.51%,74.56%,22.56%,3.79%,Central Standard Time,91,50,41,20,54,262,16,54.2,37.1,11,85,3604,5.6,1.34,TX-75188
White Deer,Texas,860,494,Amarillo,265761,$100313,20.14%,40,$185000,1713,$108,58,80.81%,$747,30.85%,N/A,N/A,9.77%,4.48%,64.44%,Carson County,8.40%,88.40%,0.0%,0.0%,90.23%,9.19%,0.0%,Central Standard Time,92,49,43,22,63,259,16,56.6,39.7,13,81,3604,5.9,1.74,TX-78316
