City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Antrim,Pennsylvania,15370,219,Chambersburg-Waynesboro,168421,$68966,19.85%,N/A,N/A,N/A,N/A,38,79.20%,N/A,39.80%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,N/A,N/A,N/A,6.80%,N/A,Eastern Standard Time,88,41,47,35.87,119,25.4,7.2,71,639,3.9,70.18,PA-02696,39.7503086,-77.7258865,55%,61%,52%,53%,53%,30.2,41,62,68,25,10.21,7.3,34.08%,36.15%,31.78%,9
Blue Ridge Summit,Pennsylvania,828,1153,Chambersburg-Waynesboro,168421,$34408,23.07%,51,N/A,N/A,N/A,76,71.91%,$725,57.22%,N/A,N/A,1.76%,0.0%,53.3%,Franklin County,24.80%,70.60%,0.0%,4.12%,95.88%,0.0%,0.0%,Eastern Standard Time,85,39,46,49.97,125,35.0,7.2,76,1047,3.9,0.74,PA-07312,39.7255991,-77.4687495,55%,61%,52%,53%,53%,30.2,41,62,63,22,14.52,10.36,36.6%,37.91%,34.11%,10
Chambersburg,Pennsylvania,20640,2981,Chambersburg-Waynesboro,168421,$46924,23.53%,40,$230000,1933,$119,61,45.22%,$845,58.73%,N/A,N/A,12.5%,3.76%,60.56%,Franklin County,24.80%,70.60%,1.26%,12.41%,66.06%,18.42%,12.76%,Eastern Standard Time,86,38,48,43.41,120,25.4,7.2,41,585,3.9,6.93,PA-12536,39.9314343,-77.6556397,55%,61%,52%,53%,53%,30.2,41,62,65,23,11.85,9.29,33.04%,35.27%,31.78%,9
Fannett,Pennsylvania,2584,38,Chambersburg-Waynesboro,168421,$48618,13.76%,N/A,N/A,N/A,N/A,46,58.90%,N/A,38.60%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,89,39,50,43.24,125,29.2,6.5,82,621,3.9,68.0,PA-25176,40.1878425,-77.7096648,55%,61%,52%,56%,55%,30.2,41,62,65,22,11.8,9.35,36.6%,39.34%,35.44%,13
Fayetteville,Pennsylvania,3179,974,Chambersburg-Waynesboro,168421,$53932,16.62%,50,$197000,1449,$136,60,69.16%,$984,46.67%,N/A,N/A,1.73%,7.78%,60.07%,Franklin County,24.80%,70.60%,0.0%,0.49%,90.37%,5.22%,0.42%,Eastern Standard Time,86,38,48,43.41,120,25.4,7.2,72,585,3.9,3.26,PA-25464,39.9114325,-77.5651007,55%,61%,52%,53%,53%,30.2,41,62,65,23,11.85,9.29,33.04%,35.27%,31.78%,9
Fort Loudon,Pennsylvania,801,188,Chambersburg-Waynesboro,168421,$98264,N/A,26,$80000,1290,$62,29,90.24%,N/A,21.88%,N/A,N/A,4.54%,0.0%,61.05%,Franklin County,24.80%,70.60%,0.0%,0.0%,95.89%,0.0%,0.0%,Eastern Standard Time,86,38,48,43.41,119,25.4,7.2,77,585,3.9,4.26,PA-26824,39.921907,-77.9072374,55%,61%,52%,53%,53%,30.2,41,62,65,23,11.85,9.29,33.04%,35.27%,31.78%,9
Greencastle,Pennsylvania,4034,2540,Chambersburg-Waynesboro,168421,$63936,29.23%,41,$278000,2014,$138,54,68.85%,$894,39.2%,N/A,N/A,4.04%,1.55%,62.13%,Franklin County,24.80%,70.60%,0.6%,5.01%,88.9%,1.05%,4.74%,Eastern Standard Time,88,41,47,35.87,119,25.4,7.2,53,639,3.9,1.59,PA-30896,39.79067,-77.7266739,55%,61%,52%,53%,53%,30.2,41,62,68,25,10.21,7.3,34.08%,36.15%,31.78%,9
Greene township (Franklin Cnty),Pennsylvania,17465,305,Chambersburg-Waynesboro,168421,$56301,N/A,N/A,N/A,N/A,N/A,35,66.40%,N/A,41.80%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,N/A,N/A,N/A,6.60%,N/A,Eastern Standard Time,86,38,48,43.41,120,25.4,7.2,74,585,3.9,57.26,PA-30944,39.9543232,-77.5668454,55%,61%,52%,53%,53%,30.2,41,62,65,23,11.85,9.29,33.04%,35.27%,31.78%,9
Guilford,Pennsylvania,2883,1861,Chambersburg-Waynesboro,168421,$105341,31.50%,48,$312000,2182,$143,28,97.34%,N/A,25.19%,N/A,N/A,4.2%,1.64%,70.66%,Franklin County,24.80%,70.60%,3.58%,3.67%,89.95%,2.44%,2.63%,Eastern Standard Time,86,38,48,43.41,120,25.4,7.2,69,585,3.9,1.55,PA-31716,39.9173141,-77.5994844,55%,61%,52%,53%,53%,30.2,41,62,65,23,11.85,9.29,33.04%,35.27%,31.78%,9
Guilford township,Pennsylvania,14675,288,Chambersburg-Waynesboro,168421,$105341,N/A,48,$312000,2182,$143,28,97.34%,N/A,25.19%,N/A,N/A,4.2%,1.64%,70.66%,Franklin County,24.80%,70.60%,3.58%,3.67%,89.95%,2.44%,2.63%,Eastern Standard Time,86,38,48,43.41,120,25.4,7.2,73,585,3.9,1.55,PA-31716,39.9173141,-77.5994844,55%,61%,52%,53%,53%,30.2,41,62,65,23,11.85,9.29,33.04%,35.27%,31.78%,9
