City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Aboite,Indiana,37133,1114,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.71,12.56,7.76,37.59%,33.74%,42.44%,33.8,32,8.3,36.1,72,723,3.6,33.33,IN-00208,41.0470894,-85.2832859
Adams township (Allen Cnty),Indiana,32944,1006,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.14,12.66,7.77,37.59%,33.74%,42.44%,33.8,32,7.6,36.1,69,744,3.6,32.75,IN-00298,41.0466027,-85.0535495
Bluffton,Indiana,10298,1239,Fort Wayne,415887,$46663,16.64%,38,$212000,2099,$101,54,70.06%,$584,46.28%,88,1608,13.26%,4.69%,64.25%,Wells County,19.50%,75.30%,0.18%,2.14%,92.42%,3.75%,0.64%,Eastern Standard Time,83,33,50,63,18,61%,55%,40,60,85,60%,75%,47%,43.27,13.25,8.44,37.78%,33.63%,41.56%,24.6,18,8.3,36.1,74,756,3.3,8.31,IN-06220,40.7423564,-85.1729912
Cedar Creek township (Allen Cnty),Indiana,13046,378,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,31,50,61,17,61%,55%,40,60,82,60%,75%,47%,40.65,12.13,7.91,38.44%,36.15%,42.33%,35.3,28,7.6,36.1,77,735,3.6,34.51,IN-10990,41.2236974,-85.0189323
Chester township (Wells Cnty),Indiana,943,26,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wells County,19.50%,75.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,34,49,64,19,61%,55%,40,60,85,60%,75%,47%,43.27,13.25,8.44,36.93%,34.62%,40.89%,31.9,29,8.3,36.1,82,756,3.3,36.27,IN-12358,40.6109151,-85.2775146
Churubusco,Indiana,1901,1810,Fort Wayne,415887,$43596,9.6%,39,$168000,1514,$111,50,78.54%,$725,49.97%,N/A,N/A,15.47%,3.69%,74.12%,Whitley County,21.40%,72.10%,1.84%,0.0%,93.0%,2.26%,4.21%,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,38.93,11.33,7.17,38.11%,33.96%,41.89%,29.5,20,7.6,36.1,81,906,3.4,1.05,IN-12610,41.2309643,-85.3196722
Cleveland township (Whitley Cnty),Indiana,3378,69,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Whitley County,21.40%,72.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,33,50,62,17,61%,55%,40,60,85,60%,75%,47%,40.97,12.88,7.82,37.62%,33.41%,42.11%,30.3,18,8.3,36.1,81,771,3.4,48.96,IN-13564,41.0606424,-85.6260688
Columbia City,Indiana,9115,1672,Fort Wayne,415887,$48690,28.74%,39,$250000,1786,$140,35,71.21%,$719,53.87%,130,1488,12.98%,4.16%,61.53%,Whitley County,21.40%,72.10%,0.27%,0.79%,94.82%,1.01%,1.58%,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,39.28,12.55,7.38,31.18%,31.65%,30.67%,47.3,38,8.3,36.1,77,762,3.4,5.45,IN-14716,41.1612388,-85.4855177
Columbia township (Whitley Cnty),Indiana,9115,1672,Fort Wayne,415887,$48690,28.74%,39,$250000,1786,$140,35,71.21%,$719,53.87%,130,1488,12.98%,4.16%,61.53%,Whitley County,21.40%,72.10%,0.27%,0.79%,94.82%,1.01%,1.58%,Eastern Standard Time,83,32,51,62,17,61%,55%,40,60,85,60%,75%,47%,39.28,12.55,7.38,31.18%,31.65%,30.67%,47.3,38,8.3,36.1,77,762,3.4,5.45,IN-14716,41.1612388,-85.4855177
Eel River township (Allen Cnty),Indiana,3748,103,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,32,52,63,17,61%,55%,40,60,86,60%,75%,47%,39.16,11.61,7.62,38.44%,36.15%,42.33%,29.5,20,7.6,36.1,80,774,3.6,36.39,IN-20512,41.2208647,-85.2501069
