City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bloomfield,California,243,30,Santa Rosa,489819,$108958,60.89%,47,N/A,N/A,N/A,44,75.31%,$2456,53.99%,N/A,N/A,8.64%,0.0%,74.65%,Sonoma County,68.80%,22.00%,0.0%,0.0%,82.3%,6.17%,8.64%,Pacific Standard Time,84,57,27,30,75,260,0,51.1,45.8,5,77,167,4.9,8.14,CA-07036,38.3182829,-122.8502371
Bodega,California,590,203,Santa Rosa,489819,$110483,29.8%,45,N/A,N/A,N/A,38,89.66%,N/A,63.12%,N/A,N/A,17.15%,28.75%,63.12%,Sonoma County,68.80%,22.00%,0.0%,4.58%,57.29%,2.03%,6.27%,Pacific Standard Time,76,56,20,45,77,260,0,51.1,45.8,5,82,167,4.9,2.9,CA-07246,38.3488418,-122.9711646
Bodega Bay,California,1069,128,Santa Rosa,489819,$67433,43.24%,57,$1425000,2383,$598,36,62.75%,$1355,53.79%,N/A,N/A,1.1%,21.84%,65.48%,Sonoma County,68.80%,22.00%,0.0%,4.96%,63.8%,31.24%,13.28%,Pacific Standard Time,71,57,14,40,78,261,0,51.1,45.8,8,83,167,4.9,8.35,CA-07260,38.3202278,-123.0324159
Boyes Hot Springs,California,8006,7553,Santa Rosa,489819,$62261,26.74%,36,$735000,1512,$486,48,38.83%,$1612,49.23%,N/A,N/A,9.3%,1.73%,64.89%,Sonoma County,68.80%,22.00%,1.29%,0.77%,41.07%,52.26%,26.47%,Pacific Standard Time,85,57,28,31,72,261,0,51.1,45.8,5,76,167,4.9,1.06,CA-07848,38.3126329,-122.4887385
Cazadero,California,340,48,Santa Rosa,489819,$95455,26.72%,48,$492000,560,$879,68,82.5%,$1019,43.45%,N/A,N/A,2.19%,2.87%,64.54%,Sonoma County,68.80%,22.00%,0.0%,0.0%,90.59%,9.41%,5.59%,Pacific Standard Time,78,56,22,51,75,260,0,51.1,45.8,5,87,167,4.9,7.12,CA-12146,38.5264949,-123.0978364
Cloverdale,California,8854,2820,Santa Rosa,489819,$80896,24.69%,43,$502000,1353,$371,42,67.99%,$1324,42.31%,179,1301,8.69%,1.55%,63.37%,Sonoma County,68.80%,22.00%,1.57%,1.2%,64.93%,27.86%,18.14%,Pacific Standard Time,91,57,34,44,76,264,0,51.1,45.8,5,84,167,4.9,3.14,CA-14190,38.7961193,-123.0150518
Cotati,California,7487,4004,Santa Rosa,489819,$86982,33.62%,39,$750000,1678,$447,36,57.83%,$1643,50.55%,523,1243,9.55%,2.99%,70.13%,Sonoma County,68.80%,22.00%,2.35%,1.12%,70.16%,22.29%,12.22%,Pacific Standard Time,83,58,25,34,78,257,0,51.1,45.8,5,68,167,4.9,1.87,CA-16560,38.3278799,-122.7091724
El Verano,California,3256,2831,Santa Rosa,489819,$101813,28.93%,51,$900000,1607,$560,47,57.01%,$1734,61.94%,N/A,N/A,2.36%,8.36%,63.37%,Sonoma County,68.80%,22.00%,0.15%,1.2%,72.02%,24.66%,11.58%,Pacific Standard Time,85,57,28,31,72,261,0,51.1,45.8,5,77,167,4.9,1.15,CA-22510,38.2974647,-122.4915443
Eldridge,California,960,1477,Santa Rosa,489819,$144241,46.43%,45,N/A,N/A,N/A,42,52.31%,$1456,47.04%,N/A,N/A,8.25%,9.95%,79.52%,Sonoma County,68.80%,22.00%,0.42%,0.0%,70.52%,12.4%,9.06%,Pacific Standard Time,86,57,29,33,72,260,0,51.1,45.8,5,81,167,4.9,0.65,CA-21894,38.3338873,-122.5065193
Fetters Hot Springs-Agua Caliente,California,3554,2434,Santa Rosa,489819,$82260,29.98%,43,$600000,1288,$466,39,55.33%,$1424,48.38%,N/A,N/A,2.84%,3.47%,68.56%,Sonoma County,68.80%,22.00%,1.55%,0.0%,52.22%,40.32%,31.43%,Pacific Standard Time,85,57,28,31,72,259,0,51.1,45.8,N/A,76,167,4.9,1.46,CA-23973,38.3275043,-122.4871375
