City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Bloomfield,California,243,30,Santa Rosa,492498,$108958,60.89%,47,N/A,N/A,N/A,44,75.31%,N/A,53.99%,N/A,N/A,8.64%,0.0%,74.65%,Sonoma County,68.80%,22.00%,0.0%,0.0%,82.3%,6.17%,8.64%,Pacific Standard Time,85,58,27,48,37,69%,69%,47,51,91,67%,69%,60%,33.45,0.41,18.79,27.04%,14.73%,41.11%,0.3,0,6.3,2.9,77,153,4.9,8.14,CA-07036,38.3182829,-122.8502371
Bodega,California,590,203,Santa Rosa,492498,$110483,29.8%,45,N/A,N/A,N/A,38,89.66%,N/A,63.12%,N/A,N/A,17.15%,28.75%,63.12%,Sonoma County,68.80%,22.00%,0.0%,4.58%,57.29%,2.03%,6.27%,Pacific Standard Time,79,55,24,52,41,69%,69%,47,51,81,67%,69%,60%,37.09,0.65,20.1,27.04%,14.73%,41.11%,0.3,0,6.3,2.9,82,561,4.9,2.9,CA-07246,38.3488418,-122.9711646
Bodega Bay,California,1069,128,Santa Rosa,492498,$67433,43.24%,57,$1075000,1510,$712,36,62.75%,$1355,53.79%,N/A,N/A,1.1%,21.84%,65.48%,Sonoma County,68.80%,22.00%,0.0%,4.96%,63.8%,31.24%,13.28%,Pacific Standard Time,64,56,8,52,45,69%,69%,47,51,63,67%,69%,60%,27.27,0.54,14.72,24.71%,13.85%,36.78%,0.3,0,6.3,2.9,83,57,4.9,8.35,CA-07260,38.3202278,-123.0324159
Boyes Hot Springs,California,8006,7553,Santa Rosa,492498,$62261,26.74%,36,$775000,1167,$664,48,38.83%,$1612,49.23%,N/A,N/A,9.3%,1.73%,64.89%,Sonoma County,68.80%,22.00%,1.29%,0.77%,41.07%,52.26%,26.47%,Pacific Standard Time,86,57,29,54,38,69%,69%,47,51,96,67%,69%,60%,25.59,0.34,13.99,19.45%,2.75%,34.67%,0.3,0,6.3,2.9,76,90,4.9,1.06,CA-07848,38.3126329,-122.4887385
Cazadero,California,340,48,Santa Rosa,492498,$95455,26.72%,48,$430000,1218,$353,68,82.5%,$1019,43.45%,N/A,N/A,2.19%,2.87%,64.54%,Sonoma County,68.80%,22.00%,0.0%,0.0%,90.59%,9.41%,5.59%,Pacific Standard Time,69,58,11,46,39,69%,69%,47,51,69,67%,69%,60%,59.57,0.62,31.89,20.71%,3.3%,38.44%,0.3,0,6.3,2.9,87,1107,4.9,7.12,CA-12146,38.5264949,-123.0978364
Cloverdale,California,8854,2820,Santa Rosa,492498,$80896,24.69%,43,$683000,2003,$341,42,67.99%,$1324,42.31%,179,1301,8.69%,1.55%,63.37%,Sonoma County,68.80%,22.00%,1.57%,1.2%,64.93%,27.86%,18.14%,Pacific Standard Time,93,59,34,55,38,69%,69%,47,51,116,67%,69%,60%,36.11,0.36,20.36,17.62%,0.99%,35.89%,0.3,0,6.3,2.9,84,366,4.9,3.14,CA-14190,38.7961193,-123.0150518
Cotati,California,7487,4004,Santa Rosa,492498,$86982,33.62%,39,$689000,1531,$450,36,57.83%,$1643,50.55%,523,1243,9.55%,2.99%,70.13%,Sonoma County,68.80%,22.00%,2.35%,1.12%,70.16%,22.29%,12.22%,Pacific Standard Time,82,58,24,52,38,69%,69%,47,51,85,67%,69%,60%,29.86,0.37,16.79,17.12%,1.76%,33.44%,0.3,0,6.3,2.9,68,87,4.9,1.87,CA-16560,38.3278799,-122.7091724
El Verano,California,3256,2831,Santa Rosa,492498,$101813,28.93%,51,$835000,1673,$499,47,57.01%,$1734,61.94%,N/A,N/A,2.36%,8.36%,63.37%,Sonoma County,68.80%,22.00%,0.15%,1.2%,72.02%,24.66%,11.58%,Pacific Standard Time,86,57,29,54,38,69%,69%,47,51,96,67%,69%,60%,25.59,0.34,13.99,19.45%,2.75%,34.67%,0.3,0,6.3,2.9,77,90,4.9,1.15,CA-22510,38.2974647,-122.4915443
Eldridge,California,960,1477,Santa Rosa,492498,$144241,46.43%,45,N/A,N/A,N/A,42,52.31%,$1456,47.04%,N/A,N/A,8.25%,9.95%,79.52%,Sonoma County,68.80%,22.00%,0.42%,0.0%,70.52%,12.4%,9.06%,Pacific Standard Time,86,57,29,54,38,69%,69%,47,51,96,67%,69%,60%,25.59,0.34,13.99,19.45%,2.75%,34.67%,0.3,0,6.3,2.9,81,90,4.9,0.65,CA-21894,38.3338873,-122.5065193
Fetters Hot Springs-Agua Caliente,California,3554,2434,Santa Rosa,492498,$82260,29.98%,43,$968000,1447,$669,39,55.33%,$1424,48.38%,N/A,N/A,2.84%,3.47%,68.56%,Sonoma County,68.80%,22.00%,1.55%,0.0%,52.22%,40.32%,31.43%,Pacific Standard Time,86,57,29,54,38,69%,69%,47,51,96,67%,69%,60%,25.59,0.34,13.99,19.45%,2.75%,34.67%,0.3,0,6.3,2.9,76,90,4.9,1.46,CA-23973,38.3275043,-122.4871375
Forestville,California,3788,720,Santa Rosa,492498,$79922,42.69%,47,$950000,1218,$780,52,74.28%,$1306,49.32%,N/A,N/A,5.6%,3.55%,66.8%,Sonoma County,68.80%,22.00%,4.73%,0.9%,81.63%,7.39%,6.41%,Pacific Standard Time,85,58,27,48,37,69%,69%,47,51,91,67%,69%,60%,37.92,0.39,22.16,20.71%,3.3%,38.44%,0.3,0,6.3,2.9,77,183,4.9,5.26,CA-24960,38.4824912,-122.8898845
