City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Bay Minette,Alabama,9297,539,Daphne-Fairhope-Foley,110772,$39588,12.35%,33,$203000,1493,$136,42,57.78%,$666,58.85%,N/A,N/A,16.25%,10.09%,52.0%,Baldwin County,19.40%,76.50%,0.06%,39.35%,55.32%,3.62%,2.41%,Central Standard Time,90,61,29,71.96,0.2,7.4,55,249,5.6,17.26,AL-04660,30.8929381,-87.7912206,60%,60%,52%,57%,59%,75.5,56,71,74,41,21.94,18.25,30.71%,42.75%,33.56%,0,99
Daphne,Alabama,26578,1399,Daphne-Fairhope-Foley,110772,$71105,39.35%,40,$366000,2259,$162,28,72.6%,$1126,43.09%,N/A,N/A,8.64%,4.42%,62.44%,Baldwin County,19.40%,76.50%,1.73%,17.02%,75.12%,2.89%,3.48%,Central Standard Time,89,61,28,69.09,0.2,7.4,65,132,5.6,19.0,AL-19648,30.6263342,-87.8815964,60%,60%,52%,57%,59%,75.5,56,71,72,40,22.75,15.35,33.56%,45.27%,36.0%,0,97
Elberta,Alabama,1958,281,Daphne-Fairhope-Foley,110772,$47473,17.78%,52,$1170000,6802,$172,30,70.33%,$686,59.51%,N/A,N/A,19.25%,3.87%,58.16%,Baldwin County,19.40%,76.50%,0.0%,1.33%,96.99%,0.61%,1.02%,Central Standard Time,90,61,29,70.23,0.2,7.9,68,81,5.6,6.98,AL-23320,30.3449287,-87.5989278,60%,60%,52%,60%,63%,68.4,58,72,72,39,24.06,15.88,25.42%,36.7%,26.89%,0,101
Fairhope,Alabama,22035,1522,Daphne-Fairhope-Foley,110772,$80106,53.09%,42,$457000,2308,$198,23,85.23%,$1312,34.3%,N/A,N/A,6.34%,5.04%,54.33%,Baldwin County,19.40%,76.50%,2.9%,2.69%,88.52%,5.2%,5.74%,Central Standard Time,91,62,29,67.68,0.2,7.4,67,21,5.6,14.48,AL-25240,30.5209637,-87.8813881,60%,60%,52%,57%,59%,75.5,56,71,68,37,22.16,15.13,33.56%,45.27%,36.0%,0,102
Foley,Alabama,19337,595,Daphne-Fairhope-Foley,110772,$48373,23.72%,52,$335000,2018,$166,21,75.23%,$785,53.44%,N/A,N/A,11.39%,4.94%,48.54%,Baldwin County,19.40%,76.50%,1.33%,7.23%,79.78%,8.86%,5.41%,Central Standard Time,90,61,29,70.23,0.2,7.9,63,81,5.6,32.49,AL-26992,30.3983339,-87.6649628,60%,60%,52%,60%,63%,68.4,58,72,72,39,24.06,15.88,25.42%,36.7%,26.89%,0,101
Gulf Shores,Alabama,12550,443,Daphne-Fairhope-Foley,110772,$53209,34.48%,51,$460000,1749,$263,25,62.28%,$1102,51.27%,N/A,N/A,9.01%,3.55%,59.8%,Baldwin County,19.40%,76.50%,1.77%,0.33%,93.46%,4.27%,6.8%,Central Standard Time,90,61,29,66.52,0.2,7.9,76,39,5.6,28.36,AL-32272,30.2764403,-87.701228,60%,60%,52%,60%,63%,68.4,58,72,72,39,22.14,15.75,25.42%,36.7%,26.89%,0,101
Loxley,Alabama,2767,87,Daphne-Fairhope-Foley,110772,$62292,29.95%,36,$327000,1924,$170,28,76.3%,$675,43.33%,N/A,N/A,11.33%,2.98%,61.79%,Baldwin County,19.40%,76.50%,0.0%,6.04%,86.48%,0.61%,1.48%,Central Standard Time,90,61,29,67.28,0.2,7.4,64,180,5.6,31.97,AL-44608,30.6812204,-87.7415488,60%,60%,52%,57%,59%,75.5,56,71,72,39,22.79,15.81,25.42%,36.7%,26.89%,0,99
Magnolia Springs,Alabama,1129,1254,Daphne-Fairhope-Foley,110772,$78897,47.71%,49,N/A,N/A,N/A,42,88.31%,$900,36.24%,N/A,N/A,4.38%,2.3%,57.4%,Baldwin County,19.40%,76.50%,0.35%,0.8%,91.41%,6.29%,1.15%,Central Standard Time,89,61,28,66.52,0.2,7.4,68,39,5.6,0.9,AL-46072,30.4002639,-87.7748812,60%,60%,52%,57%,59%,75.5,56,71,72,40,22.14,15.75,33.56%,45.27%,36.0%,0,97
Orange Beach,Alabama,6130,417,Daphne-Fairhope-Foley,110772,$81295,46.73%,52,$700000,1449,$483,21,71.76%,$1248,42.75%,N/A,N/A,6.16%,3.77%,60.27%,Baldwin County,19.40%,76.50%,1.16%,0.1%,97.62%,0.24%,1.91%,Central Standard Time,90,62,28,64.01,0.2,7.9,73,12,5.6,14.71,AL-57144,30.2940661,-87.5852143,60%,60%,52%,60%,63%,68.4,58,72,74,42,20.66,15.83,25.42%,36.7%,26.89%,0,101
Perdido Beach,Alabama,440,370,Daphne-Fairhope-Foley,110772,$69583,39.44%,65,N/A,N/A,N/A,35,94.09%,$542,47.15%,N/A,N/A,5.23%,3.16%,47.15%,Baldwin County,19.40%,76.50%,0.0%,0.0%,98.18%,1.82%,1.59%,Central Standard Time,90,62,28,64.01,0.2,7.9,66,12,5.6,1.19,AL-59088,30.3554292,-87.5036231,60%,60%,52%,60%,63%,68.4,58,72,74,42,20.66,15.83,25.42%,36.7%,26.89%,0,101
