City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Ava,Illinois,553,523,Carbondale-Marion,135448,88,41,47,45,91,213,8,64.8,46.7,7,16,27,37,6.69%,$45625,18.5%,N/A,N/A,$61300,N/A,N/A,49,63.20%,3%,13%,9%,75,19 mins,4.10%,0.00%,-13.50%,Jackson County,47.30%,44.00%,0.0%,0.0%,91.7%,3.3%,0.5%,Central Standard Time,413,4.3,56.20%,26,N/A,49,16.6%,0.00,N/A,2,13,N/A,N/A,IL-03103
Bradley township,Illinois,1688,38,Carbondale-Marion,135448,88,41,47,45,94,213,9,N/A,N/A,N/A,12,20,41,N/A,$49022,N/A,N/A,N/A,$93100,N/A,N/A,44,67.60%,3%,12%,9%,75,28 mins,4.10%,0.00%,-10.80%,Jackson County,47.30%,44.00%,0.0%,0.0%,96.2%,1.1%,N/A,Central Standard Time,413,4.3,36.90%,0,N/A,23,N/A,0.00,17,2,14,N/A,N/A,N/A
Bush,Illinois,303,596,Carbondale-Marion,135448,89,41,48,46,104,208,11,64.5,46.6,8,13,22,49,6.78%,$34464,6.2%,N/A,N/A,$30300,N/A,N/A,59,69.70%,3%,17%,8%,74,21 mins,4.40%,0.00%,9.70%,Williamson County,26.90%,67.70%,0.0%,0.0%,98.9%,0.0%,0.4%,Central Standard Time,413,4.1,42.70%,0,N/A,22,13.5%,0.00,N/A,2,13,N/A,N/A,IL-10084
Cambria,Illinois,1071,902,Carbondale-Marion,135448,88,41,47,47,108,208,12,64.6,46.6,8,13,15,33,13.92%,$35903,14.6%,N/A,N/A,$60800,N/A,N/A,43,45.30%,3%,17%,8%,74,23 mins,4.40%,0.00%,6.80%,Williamson County,26.90%,67.70%,1.8%,0.0%,88.6%,4.0%,2.7%,Central Standard Time,413,4.1,56.50%,15,N/A,30,14.8%,0.00,19,2,14,78,390,IL-10630
Campbell Hill,Illinois,292,722,Carbondale-Marion,135448,88,41,47,45,98,210,11,64.8,46.7,7,11,19,40,22.49%,$39167,8.2%,N/A,N/A,$74500,N/A,N/A,56,72.80%,3%,12%,9%,75,28 mins,4.10%,0.00%,-2.70%,Jackson County,47.30%,44.00%,0.0%,0.0%,93.9%,0.0%,0%,Central Standard Time,413,4.3,41.50%,17,N/A,44,13.4%,0.00,N/A,2,14,N/A,N/A,IL-10773
Carbondale,Illinois,25400,1516,Carbondale-Marion,135448,89,41,48,46,102,216,10,64.8,46.7,7,24,49,23,44.79%,$17677,26.7%,N/A,N/A,$121600,N/A,N/A,42,22.70%,3%,13%,10%,65,13 mins,4.80%,0.00%,1.80%,Jackson County,47.30%,44.00%,5.8%,25.3%,57.4%,6.9%,9.7%,Central Standard Time,413,4.3,74.70%,41,N/A,53,17.1%,N/A,N/A,2,N/A,824,3692,IL-11163
Carbondale township,Illinois,29240,782,Carbondale-Marion,135448,89,41,48,46,102,213,10,N/A,N/A,N/A,17,31,24,N/A,$19383,N/A,N/A,N/A,$152100,N/A,N/A,41,25.50%,3%,13%,9%,66,14 mins,4.10%,0.00%,-0.30%,Jackson County,47.30%,44.00%,5.4%,23.2%,60.0%,6.7%,N/A,Central Standard Time,413,4.3,71.70%,5,N/A,39,N/A,0.00,20,2,15,N/A,N/A,N/A
Carterville,Illinois,5861,1095,Carbondale-Marion,135448,88,41,47,47,108,203,12,64.6,46.6,8,10,17,33,48.18%,$49099,5.3%,N/A,N/A,$110300,N/A,N/A,39,61.80%,5%,20%,6%,72,19 mins,4.40%,0.00%,8.20%,Williamson County,26.90%,67.70%,1.7%,4.0%,84.8%,6.3%,2.7%,Central Standard Time,413,4.1,44.40%,54,N/A,50,17.0%,0.00,18,2,14,N/A,N/A,IL-11514
Colp,Illinois,234,1799,Carbondale-Marion,135448,88,41,47,47,107,208,12,64.4,46.5,8,14,24,37,N/A,$30000,54.2%,N/A,N/A,$45200,N/A,N/A,32,64.80%,3%,16%,8%,74,21 mins,4.40%,0.00%,7.80%,Williamson County,26.90%,67.70%,0.0%,23.6%,56.0%,11.2%,0%,Central Standard Time,413,4.1,48.90%,14,N/A,30,27.5%,0.00,N/A,2,13,N/A,N/A,IL-15807
Crab Orchard,Illinois,222,196,Carbondale-Marion,135448,88,40,48,47,104,207,12,64.5,46.6,N/A,11,19,35,N/A,$40000,4.3%,N/A,N/A,$105000,N/A,N/A,44,52.90%,3%,16%,8%,75,21 mins,4.40%,0.00%,-8.40%,Williamson County,26.90%,67.70%,0.0%,0.0%,98.2%,0.0%,0%,Central Standard Time,413,4.1,33.60%,8,N/A,19,23.1%,0.00,20,2,13,N/A,N/A,IL-17094
