"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TXAG0001","01"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","01","99","99","    4.33"," ","E","10"
"US1TXAG0001","02"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","02","99","99","    3.61"," ","E","11"
"US1TXAG0001","03"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","03","99","99","    4.57"," ","E"," 9"
"US1TXAG0001","04"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","04","99","99","    4.24"," ","E","10"
"US1TXAG0001","05"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","05","99","99","    5.35"," ","E","11"
"US1TXAG0001","06"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","06","99","99","    4.10"," ","E","10"
"US1TXAG0001","07"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","07","99","99","    3.82"," ","E","10"
"US1TXAG0001","08"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","08","99","99","    3.39"," ","E"," 9"
"US1TXAG0001","09"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","09","99","99","    3.76"," ","E","11"
"US1TXAG0001","10"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","10","99","99","    5.01"," ","E","11"
"US1TXAG0001","11"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","11","99","99","    3.74"," ","E","11"
"US1TXAG0001","12"," 31.3213"," -94.8445","  91.1","LUFKIN 7.0 W, TX US","12","99","99","    4.72"," ","E","10"
