"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLLN0010","01"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","01","99","99","    3.86"," ","E"," 5"
"US1FLLN0010","02"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","02","99","99","    4.64"," ","E"," 3"
"US1FLLN0010","03"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","03","99","99","    3.92"," ","E"," 3"
"US1FLLN0010","04"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","04","99","99","    4.54"," ","E"," 4"
"US1FLLN0010","05"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","05","99","99","    3.39"," ","E"," 2"
"US1FLLN0010","06"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","06","99","99","    7.55"," ","E"," 5"
"US1FLLN0010","07"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","07","99","99","    5.90"," ","E"," 5"
"US1FLLN0010","08"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","08","99","99","    7.08"," ","E"," 5"
"US1FLLN0010","09"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","09","99","99","    3.84"," ","E"," 3"
"US1FLLN0010","10"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","10","99","99","    2.74"," ","E"," 4"
"US1FLLN0010","11"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","11","99","99","    3.41"," ","E"," 3"
"US1FLLN0010","12"," 30.4463"," -84.2997","  52.1","TALLAHASSEE 1.3 SW, FL US","12","99","99","    5.36"," ","E"," 2"
