"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1COAD0022","01"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","01","99","99","    0.60"," ","E","11"
"US1COAD0022","02"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","02","99","99","    0.84"," ","E","15"
"US1COAD0022","03"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","03","99","99","    1.34"," ","E","12"
"US1COAD0022","04"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","04","99","99","    1.94"," ","E","10"
"US1COAD0022","05"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","05","99","99","    2.80"," ","E"," 8"
"US1COAD0022","06"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","06","99","99","    1.42"," ","E"," 7"
"US1COAD0022","07"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","07","99","99","    2.14"," ","E"," 7"
"US1COAD0022","08"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","08","99","99","    1.24"," ","E"," 4"
"US1COAD0022","09"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","09","99","99","    1.44"," ","E"," 9"
"US1COAD0022","10"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","10","99","99","    1.30"," ","E"," 7"
"US1COAD0022","11"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","11","99","99","    0.67"," ","E","13"
"US1COAD0022","12"," 39.8612","-104.9382","1554.8","THORNTON 2.3 SSE, CO US","12","99","99","    0.84"," ","E","13"
