"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1ILVR0016","01"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","01","99","99","    2.42"," ","E"," 8"
"US1ILVR0016","02"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","02","99","99","    2.35"," ","E"," 7"
"US1ILVR0016","03"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","03","99","99","    3.07"," ","E"," 4"
"US1ILVR0016","04"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","04","99","99","    4.45"," ","E"," 9"
"US1ILVR0016","05"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","05","99","99","    4.59"," ","E"," 8"
"US1ILVR0016","06"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","06","99","99","    5.26"," ","E"," 7"
"US1ILVR0016","07"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","07","99","99","    4.01"," ","E"," 7"
"US1ILVR0016","08"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","08","99","99","    3.23"," ","E"," 7"
"US1ILVR0016","09"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","09","99","99","    3.38"," ","E"," 6"
"US1ILVR0016","10"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","10","99","99","    3.63"," ","E"," 8"
"US1ILVR0016","11"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","11","99","99","    3.05"," ","E"," 6"
"US1ILVR0016","12"," 40.1491"," -87.6431"," 194.2","DANVILLE 1.3 WNW, IL US","12","99","99","    3.01"," ","E"," 3"
