"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1VAFX0072","01"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","01","99","99","    2.88"," ","E"," 5"
"US1VAFX0072","02"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","02","99","99","    2.84"," ","E"," 5"
"US1VAFX0072","03"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","03","99","99","    3.16"," ","E"," 5"
"US1VAFX0072","04"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","04","99","99","    4.01"," ","E"," 5"
"US1VAFX0072","05"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","05","99","99","    5.20"," ","E"," 5"
"US1VAFX0072","06"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","06","99","99","    4.74"," ","E"," 6"
"US1VAFX0072","07"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","07","99","99","    4.96"," ","E"," 6"
"US1VAFX0072","08"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","08","99","99","    4.32"," ","E"," 6"
"US1VAFX0072","09"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","09","99","99","    4.14"," ","E"," 6"
"US1VAFX0072","10"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","10","99","99","    4.52"," ","E"," 6"
"US1VAFX0072","11"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","11","99","99","    3.06"," ","E"," 6"
"US1VAFX0072","12"," 38.9118"," -77.4141"," 109.1","OAK HILL 0.3 WSW, VA US","12","99","99","    3.75"," ","E"," 6"
