"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1WASG0047","01"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","01","99","99","   11.73"," ","E"," 4"
"US1WASG0047","02"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","02","99","99","    7.12"," ","E"," 5"
"US1WASG0047","03"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","03","99","99","    8.88"," ","E"," 5"
"US1WASG0047","04"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","04","99","99","    5.33"," ","E"," 6"
"US1WASG0047","05"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","05","99","99","    4.17"," ","E"," 5"
"US1WASG0047","06"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","06","99","99","    2.83"," ","E"," 5"
"US1WASG0047","07"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","07","99","99","    1.08"," ","E"," 5"
"US1WASG0047","08"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","08","99","99","    1.35"," ","E"," 6"
"US1WASG0047","09"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","09","99","99","    3.76"," ","E"," 7"
"US1WASG0047","10"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","10","99","99","    7.45"," ","E"," 7"
"US1WASG0047","11"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","11","99","99","   12.31"," ","E"," 7"
"US1WASG0047","12"," 48.5370","-121.7970","  50.6","CONCRETE 2.2 W, WA US","12","99","99","    9.67"," ","E"," 7"
