"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1INAL0039","01"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","01","99","99","    2.63"," ","E"," 9"
"US1INAL0039","02"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","02","99","99","    2.63"," ","E"," 9"
"US1INAL0039","03"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","03","99","99","    3.08"," ","E"," 7"
"US1INAL0039","04"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","04","99","99","    4.06"," ","E"," 9"
"US1INAL0039","05"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","05","99","99","    4.77"," ","E","11"
"US1INAL0039","06"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","06","99","99","    4.38"," ","E","11"
"US1INAL0039","07"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","07","99","99","    3.24"," ","E","10"
"US1INAL0039","08"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","08","99","99","    4.22"," ","E","10"
"US1INAL0039","09"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","09","99","99","    2.84"," ","E"," 9"
"US1INAL0039","10"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","10","99","99","    3.00"," ","E"," 9"
"US1INAL0039","11"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","11","99","99","    3.05"," ","E"," 9"
"US1INAL0039","12"," 41.1338"," -85.0307"," 241.1","FORT WAYNE 7.0 NE, IN US","12","99","99","    2.77"," ","E"," 8"
