"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1IDAD0007","01"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","01","99","99","    1.32"," ","E"," 5"
"US1IDAD0007","02"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","02","99","99","    0.95"," ","E"," 8"
"US1IDAD0007","03"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","03","99","99","    1.29"," ","E"," 5"
"US1IDAD0007","04"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","04","99","99","    1.13"," ","E"," 5"
"US1IDAD0007","05"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","05","99","99","    1.44"," ","E"," 3"
"US1IDAD0007","06"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","06","99","99","    1.25"," ","E"," 2"
"US1IDAD0007","07"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","07","99","99","    0.25"," ","E"," 2"
"US1IDAD0007","08"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","08","99","99","    0.16"," ","E"," 2"
"US1IDAD0007","09"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","09","99","99","    0.63"," ","E"," 8"
"US1IDAD0007","10"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","10","99","99","    0.83"," ","E"," 4"
"US1IDAD0007","11"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","11","99","99","    1.08"," ","E"," 7"
"US1IDAD0007","12"," 43.4704","-116.4037"," 835.8","KUNA 1.5 SSE, ID US","12","99","99","    1.34"," ","E"," 3"
