"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1TNDV0047","01"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","01","99","99","    4.25"," ","E"," 5"
"US1TNDV0047","02"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","02","99","99","    5.33"," ","E"," 8"
"US1TNDV0047","03"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","03","99","99","    4.73"," ","E"," 8"
"US1TNDV0047","04"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","04","99","99","    5.99"," ","E"," 7"
"US1TNDV0047","05"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","05","99","99","    5.47"," ","E"," 8"
"US1TNDV0047","06"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","06","99","99","    3.98"," ","E"," 5"
"US1TNDV0047","07"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","07","99","99","    5.13"," ","E"," 4"
"US1TNDV0047","08"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","08","99","99","    4.36"," ","E"," 6"
"US1TNDV0047","09"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","09","99","99","    3.91"," ","E"," 9"
"US1TNDV0047","10"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","10","99","99","    4.35"," ","E"," 9"
"US1TNDV0047","11"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","11","99","99","    3.62"," ","E"," 7"
"US1TNDV0047","12"," 36.1260"," -86.7954"," 193.9","BERRY HILL 1.6 WNW, TN US","12","99","99","    5.16"," ","E"," 6"
