"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1MABA0001","01"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","01","99","99","    4.48"," ","E"," 3"
"US1MABA0001","02"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","02","99","99","    4.23"," ","E"," 6"
"US1MABA0001","03"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","03","99","99","    4.81"," ","E"," 5"
"US1MABA0001","04"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","04","99","99","    4.19"," ","E"," 4"
"US1MABA0001","05"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","05","99","99","    3.60"," ","E"," 8"
"US1MABA0001","06"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","06","99","99","    3.80"," ","E"," 5"
"US1MABA0001","07"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","07","99","99","    3.60"," ","E"," 5"
"US1MABA0001","08"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","08","99","99","    3.14"," ","E"," 5"
"US1MABA0001","09"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","09","99","99","    3.86"," ","E"," 7"
"US1MABA0001","10"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","10","99","99","    5.03"," ","E"," 5"
"US1MABA0001","11"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","11","99","99","    4.58"," ","E"," 2"
"US1MABA0001","12"," 41.6818"," -70.2048","  12.5","YARMOUTH 2.3 SSE, MA US","12","99","99","    5.22"," ","E"," 4"
