"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1FLBV0059","01"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","01","99","99","    2.80"," ","E"," 2"
"US1FLBV0059","02"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","02","99","99","    2.31"," ","E"," 2"
"US1FLBV0059","03"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","03","99","99","    2.19"," ","E"," 4"
"US1FLBV0059","04"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","04","99","99","    2.80"," ","E"," 2"
"US1FLBV0059","05"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","05","99","99","    4.76"," ","E"," 4"
"US1FLBV0059","06"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","06","99","99","    7.71"," ","E"," 5"
"US1FLBV0059","07"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","07","99","99","    7.78"," ","E"," 4"
"US1FLBV0059","08"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","08","99","99","    6.83"," ","E"," 5"
"US1FLBV0059","09"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","09","99","99","    7.84"," ","E"," 5"
"US1FLBV0059","10"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","10","99","99","    5.00"," ","E"," 4"
"US1FLBV0059","11"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","11","99","99","    2.71"," ","E"," 4"
"US1FLBV0059","12"," 27.9501"," -80.6421","   8.2","PALM BAY 2.7 SSE, FL US","12","99","99","    2.64"," ","E"," 5"
