"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1NMBR0127","01"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","01","99","99","    0.45"," ","E"," 9"
"US1NMBR0127","02"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","02","99","99","    0.39"," ","E"," 7"
"US1NMBR0127","03"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","03","99","99","    0.31"," ","E"," 9"
"US1NMBR0127","04"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","04","99","99","    0.51"," ","E"," 8"
"US1NMBR0127","05"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","05","99","99","    0.54"," ","E"," 7"
"US1NMBR0127","06"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","06","99","99","    0.44"," ","E"," 9"
"US1NMBR0127","07"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","07","99","99","    1.91"," ","E"," 7"
"US1NMBR0127","08"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","08","99","99","    1.64"," ","E"," 7"
"US1NMBR0127","09"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","09","99","99","    1.40"," ","E"," 7"
"US1NMBR0127","10"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","10","99","99","    0.95"," ","E"," 7"
"US1NMBR0127","11"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","11","99","99","    0.45"," ","E"," 9"
"US1NMBR0127","12"," 35.0972","-106.6016","1580.4","ALBUQUERQUE 1.9 SE, NM US","12","99","99","    0.82"," ","E"," 7"
