"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"US1COBO0298","01"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","01","99","99","    0.71"," ","E"," 7"
"US1COBO0298","02"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","02","99","99","    1.25"," ","E"," 7"
"US1COBO0298","03"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","03","99","99","    1.77"," ","E"," 7"
"US1COBO0298","04"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","04","99","99","    2.50"," ","E"," 8"
"US1COBO0298","05"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","05","99","99","    3.51"," ","E"," 9"
"US1COBO0298","06"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","06","99","99","    1.55"," ","E"," 6"
"US1COBO0298","07"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","07","99","99","    1.97"," ","E"," 7"
"US1COBO0298","08"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","08","99","99","    1.09"," ","E"," 6"
"US1COBO0298","09"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","09","99","99","    2.26"," ","E"," 9"
"US1COBO0298","10"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","10","99","99","    1.78"," ","E"," 8"
"US1COBO0298","11"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","11","99","99","    0.82"," ","E"," 9"
"US1COBO0298","12"," 39.9908","-105.2557","1643.2","BOULDER 2.5 S, CO US","12","99","99","    1.05"," ","E"," 8"
