"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"USC00306376","01"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","01","99","99","    3.94"," ","E","10"
"USC00306376","02"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","02","99","99","    3.81"," ","E","10"
"USC00306376","03"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","03","99","99","    3.14"," ","E"," 7"
"USC00306376","04"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","04","99","99","    3.61"," ","E"," 6"
"USC00306376","05"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","05","99","99","    3.90"," ","E"," 9"
"USC00306376","06"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","06","99","99","    4.48"," ","E","10"
"USC00306376","07"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","07","99","99","    4.02"," ","E","10"
"USC00306376","08"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","08","99","99","    4.02"," ","E","10"
"USC00306376","09"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","09","99","99","    3.63"," ","E"," 9"
"USC00306376","10"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","10","99","99","    6.07"," ","E","10"
"USC00306376","11"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","11","99","99","    4.10"," ","E","10"
"USC00306376","12"," 43.3319"," -76.2692"," 135.6","PALERMO 2SSE, NY US","12","99","99","    5.17"," ","E"," 9"
