City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Aberdeen,Indiana,1698,1348,Chicago-Naperville-Elgin,9607711,$129167,66.81%,39,N/A,N/A,N/A,19,72.26%,$1337,27.09%,N/A,N/A,0.47%,2.63%,69.67%,Porter County,43.00%,49.60%,1.71%,3.24%,89.81%,4.36%,3.71%,Central Standard Time,86,34,52,65,19,60%,56%,39,59,89,52%,65%,39%,43.44,13.71,8.02,38.38%,37.58%,37.56%,30.8,21,N/A,38.4,77,708,3.7,1.26,IN-00140,41.4417936,-87.1166183
Abington,Indiana,898,43,Richmond,66588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,85,37,48,64,20,60%,55%,41,61,88,53%,66%,41%,44.37,12.07,9.52,32.36%,33.52%,30.22%,24.9,15,8.3,38.6,80,918,3.8,20.88,IN-00172,39.7489035,-84.9925524
Aboite,Indiana,37133,1114,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.71,12.56,7.76,37.59%,33.74%,42.44%,33.8,32,8.3,36.1,72,723,3.6,33.33,IN-00208,41.0470894,-85.2832859
Adams township (Allen Cnty),Indiana,32944,1006,Fort Wayne,415887,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allen County,37.30%,56.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,64,19,61%,55%,40,60,88,60%,75%,47%,40.14,12.66,7.77,37.59%,33.74%,42.44%,33.8,32,7.6,36.1,69,744,3.6,32.75,IN-00298,41.0466027,-85.0535495
Adams township (Carroll Cnty),Indiana,696,27,Lafayette-West Lafayette,223366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Carroll County,21.90%,72.60%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,33,52,64,18,60%,57%,42,63,89,51%,64%,41%,43.62,13.78,7.69,32.88%,34.07%,32.44%,20.9,17,N/A,41.0,81,627,3.9,25.78,IN-00316,40.7052708,-86.6066997
Adams township (Cass Cnty),Indiana,1110,39,Logansport,37918,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cass County,26.50%,68.30%,N/A,N/A,N/A,N/A,N/A,N/A,85,33,52,64,18,61%,56%,40,60,88,60%,75%,47%,41.64,12.54,7.83,33.23%,32.42%,33.22%,21.1,10,8.3,41.1,82,699,3.5,28.46,IN-00334,40.8551812,-86.2064647
Adams township (Decatur Cnty),Indiana,1987,60,Greensburg,26466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decatur County,19.00%,76.00%,N/A,N/A,N/A,N/A,N/A,N/A,84,37,47,66,22,60%,57%,42,63,87,51%,64%,41%,48.68,14.05,10.32,33.32%,32.42%,34.78%,20.6,17,8.3,41.0,76,858,4,33.12,IN-00370,39.4163363,-85.569083
Adams township (Hamilton Cnty),Indiana,5145,107,Indianapolis-Carmel-Anderson,2089990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hamilton County,36.70%,56.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,35,50,62,18,60%,57%,42,63,89,51%,64%,41%,45.12,13.48,8.93,37.37%,34.84%,38.56%,21.8,7,8.3,41.0,74,864,4,48.08,IN-00388,40.1585683,-86.1851488
Adams township (Madison Cnty),Indiana,3856,107,Indianapolis-Carmel-Anderson,2089990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Madison County,34.20%,59.50%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,35,49,65,21,60%,57%,42,63,87,51%,64%,41%,46.98,13.36,9.5,30.99%,30.77%,31.33%,24.9,15,8.3,41.0,77,813,3.8,36.04,IN-00406,39.9966515,-85.6246393
Adams township (Morgan Cnty),Indiana,1180,40,Indianapolis-Carmel-Anderson,2089990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Morgan County,19.20%,75.30%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,84,37,47,63,19,60%,57%,42,63,87,51%,64%,41%,47.59,13.24,9.97,35.26%,33.52%,37.0%,16.0,11,7.8,41.0,75,816,3.8,29.5,IN-00442,39.556825,-86.6162901
