State,Population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Alabama,3176680,968,$54302,30%,37,$263125,1897,$136,39,64%,$849,53%,133,2243,17%,5%,58%,36%,59%,1%,32%,58%,4%,4%,Central Standard Time,91,56,35,58,1,6,44,5,32.98606355061003,-86.73592285760954,58%,62%,49%,55%,57%,60,51,68,71,35,15.06,17.06,31%,36%,36%,0,102
Alaska,692916,281,$74653,25%,35,$359152,1771,$204,32,69%,$1189,48%,1187,4125,9%,8%,63%,36%,51%,3%,2%,69%,5%,5%,Alaska Standard Time,67,16,51,25,68,5,60,1,62.08399565515738,-149.25336115913666,N/A%,N/A%,N/A%,63%,60%,4,23,46,49,2,7.96,5.7,34%,44%,31%,44,66
Arizona,7062684,5486,$63065,30%,37,$435851,1693,$254,31,63%,$1122,52%,244,2306,14%,5%,61%,45%,47%,3%,4%,52%,33%,13%,Mountain Standard Time,103,64,39,9,1,6,58,6,33.279418717533176,-111.8267270856149,84%,87%,79%,24%,21%,30,38,49,76,39,3.22,2.89,10%,13%,13%,0,103
Arkansas,2020848,1115,$49929,25%,36,$239185,1748,$134,36,59%,$777,51%,715,3737,17%,5%,60%,35%,58%,1%,20%,63%,9%,6%,Central Standard Time,91,49,41,54,4,7,50,4,35.206785892521744,-92.74772822637425,64%,76%,53%,56%,55%,55,49,67,70,29,12.0,12.09,28%,26%,28%,0,101
California,36904231,5845,$83272,34%,36,$857260,1621,$526,46,55%,$1662,51%,434,2411,12%,6%,64%,61%,31%,15%,5%,35%,39%,27%,Pacific Standard Time,88,63,25,14,0,5,51,5,35.428797162557466,-119.38019017583558,71%,77%,64%,56%,53%,4,49,55,62,42,0.18,8.15,12%,1%,23%,0,95
Colorado,4599207,2966,$77054,42%,36,$554278,2024,$282,37,65%,$1385,50%,463,3073,10%,4%,69%,49%,41%,3%,4%,66%,22%,9%,Mountain Standard Time,88,43,45,16,55,7,58,5,39.559936202785984,-105.11473721826377,70%,73%,69%,41%,35%,39,28,46,58,16,5.44,2.15,23%,29%,18%,26,87
Connecticut,3236828,2626,$69327,33%,38,$369920,1839,$194,60,56%,$1259,57%,226,1665,14%,7%,66%,54%,40%,4%,15%,53%,24%,18%,Eastern Standard Time,84,37,46,49,42,7,63,3,41.5036654324357,-72.87323379752536,57%,62%,56%,55%,55%,20,39,59,65,21,13.34,11.84,34%,36%,34%,13,87
Delaware,401213,3100,$66257,33%,37,$342260,1867,$181,43,60%,$1206,56%,774,3690,14%,6%,63%,54%,40%,4%,29%,52%,10%,10%,Eastern Standard Time,87,42,45,49,20,7,61,4,39.418234798311126,-75.57891160807601,54%,61%,49%,54%,55%,29,43,63,69,26,15.34,10.85,33%,33%,34%,8,91
District of Columbia,701974,11483,$90842,59%,34,$650000,1285,$506,66,45%,$1607,69%,977,4245,15%,7%,70%,92%,5%,4%,45%,36%,11%,13%,Eastern Standard Time,90,45,45,47,13,7,27,4,38.9047747,-77.0163024,55%,61%,52%,53%,53%,26,43,63,72,28,14.03,9.43,32%,32%,33%,7,96
Florida,15872009,3819,$60209,31%,41,$411015,1588,$259,35,62%,$1294,52%,433,2730,13%,5%,60%,50%,45%,2%,17%,49%,28%,23%,Eastern Standard Time,91,72,19,56,0,7,61,6,27.660133973831996,-81.50345153711619,68%,68%,64%,58%,62%,76,62,72,75,53,24.27,7.94,33%,53%,24%,0,105
Georgia,4802648,1827,$61331,36%,35,$341761,1910,$176,35,55%,$1077,55%,329,2803,16%,6%,63%,50%,44%,4%,36%,45%,9%,10%,Eastern Standard Time,90,55,35,51,1,7,46,5,33.28758074412669,-83.77177939151987,60%,63%,53%,54%,56%,52,50,67,70,34,14.14,14.49,31%,37%,34%,0,100
