City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Altoona,Florida,77,171,Orlando-Kissimmee-Sanford,2639374,$46713,71.19%,30,N/A,N/A,N/A,20,93.51%,N/A,18.64%,N/A,N/A,0.0%,0.0%,71.19%,Lake County,36.60%,59.50%,0.0%,0.0%,100.0%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,119,N/A,7.0,65,106,6.3,0.45,FL-01050,28.9681169,-81.6480842,69%,67%,65%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Astatula,Florida,2266,724,Orlando-Kissimmee-Sanford,2639374,$49750,15.96%,35,N/A,N/A,N/A,29,73.52%,$868,56.82%,143,478,16.73%,10.88%,61.11%,Lake County,36.60%,59.50%,0.0%,3.13%,73.3%,23.61%,7.86%,Eastern Standard Time,N/A,N/A,N/A,N/A,112,N/A,7.7,69,106,6.3,3.13,FL-02250,28.7065256,-81.7345979,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Astor,Florida,1242,531,Orlando-Kissimmee-Sanford,2639374,$62321,20.8%,57,N/A,N/A,N/A,37,81.96%,N/A,54.96%,N/A,N/A,6.6%,9.85%,41.66%,Lake County,36.60%,59.50%,0.0%,0.0%,81.0%,9.9%,7.17%,Eastern Standard Time,N/A,N/A,N/A,N/A,114,N/A,7.0,65,106,6.3,2.34,FL-02275,29.1634597,-81.5349238,64%,65%,59%,60%,64%,73.4,61,71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Clermont,Florida,36757,2042,Orlando-Kissimmee-Sanford,2639374,$71726,33.99%,44,$430000,1903,$226,16,73.76%,$1460,43.8%,208,1792,8.03%,4.6%,57.43%,Lake County,36.60%,59.50%,6.01%,12.06%,55.16%,20.96%,18.28%,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,7.7,66,106,6.3,18.0,FL-12925,28.5325274,-81.7207543,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Eustis,Florida,21010,1924,Orlando-Kissimmee-Sanford,2639374,$52074,19.03%,41,$330000,1719,$192,35,63.61%,$797,45.7%,247,2500,15.98%,5.16%,61.37%,Lake County,36.60%,59.50%,0.55%,21.86%,57.5%,17.19%,12.21%,Eastern Standard Time,N/A,N/A,N/A,N/A,119,N/A,7.7,64,106,6.3,10.92,FL-21350,28.8563106,-81.6771844,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Ferndale,Florida,518,193,Orlando-Kissimmee-Sanford,2639374,$72122,41.24%,50,$901000,2496,$361,26,100.0%,$1558,31.25%,N/A,N/A,0.0%,0.0%,80.5%,Lake County,36.60%,59.50%,0.0%,0.0%,93.82%,3.67%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,7.7,66,106,6.3,2.68,FL-22225,28.6220133,-81.7013943,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Four Corners,Florida,45946,966,Orlando-Kissimmee-Sanford,2639374,$57980,30.47%,36,$436000,1991,$219,18,53.28%,$1487,50.03%,N/A,N/A,11.74%,5.55%,67.62%,Lake County,36.60%,59.50%,1.62%,10.11%,53.02%,34.82%,14.3%,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,7.7,62,106,6.3,47.54,FL-24581,28.3330247,-81.6472441,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Fruitland Park,Florida,9185,1320,Orlando-Kissimmee-Sanford,2639374,$58566,30.89%,56,$255000,1386,$184,35,75.95%,$973,48.83%,219,1042,13.57%,7.97%,43.6%,Lake County,36.60%,59.50%,0.34%,12.43%,80.85%,5.75%,4.52%,Eastern Standard Time,N/A,N/A,N/A,N/A,115,N/A,7.7,64,106,6.3,6.96,FL-24975,28.8565424,-81.9021625,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Groveland,Florida,15109,768,Orlando-Kissimmee-Sanford,2639374,$65482,33.4%,41,$378000,1862,$203,13,79.2%,$1517,48.68%,165,1499,11.64%,6.75%,57.6%,Lake County,36.60%,59.50%,5.49%,15.6%,50.12%,29.08%,12.48%,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,7.7,67,106,6.3,19.67,FL-27800,28.6098216,-81.8245332,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Howey-in-the-Hills,Florida,1837,581,Orlando-Kissimmee-Sanford,2639374,$67344,28.67%,52,$492000,2982,$165,41,81.22%,$1171,40.32%,253,1265,3.38%,3.93%,54.89%,Lake County,36.60%,59.50%,0.0%,1.8%,80.68%,15.62%,3.38%,Eastern Standard Time,N/A,N/A,N/A,N/A,112,N/A,7.7,68,106,6.3,3.16,FL-32775,28.7097699,-81.7798204,69%,67%,65%,55%,59%,81.8,61,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
