City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Altona,Indiana,509,2545,Auburn,153575,$53672,3.93%,30,N/A,N/A,N/A,N/A,84.09%,$913,54.8%,N/A,N/A,9.74%,5.85%,45.12%,DeKalb County,23.30%,71.30%,0.2%,0.0%,81.14%,0.79%,0.2%,N/A,84,32,52,63,17,61%,55%,40,60,86,60%,75%,47%,39.0,11.57,7.71,36.71%,32.97%,41.44%,29.5,20,7.6,36.1,78,804,3.6,0.2,IN-01288,41.3521599,-85.1525372
Ashley,Indiana,1051,553,Auburn,153575,$46711,7.14%,36,$148000,1973,$75,50,70.31%,$557,51.34%,N/A,N/A,11.97%,2.6%,69.78%,DeKalb County,23.30%,71.30%,0.0%,0.0%,89.72%,5.14%,0.48%,N/A,82,31,51,61,17,61%,55%,40,60,84,60%,75%,47%,39.56,11.35,8.0,36.49%,31.32%,42.78%,39.9,25,N/A,36.1,82,933,3.6,1.9,IN-02458,41.5214946,-85.0613982
Auburn,Indiana,13209,1720,Auburn,153575,$51855,20.67%,36,$221000,1842,$120,42,74.4%,$704,52.41%,N/A,N/A,12.28%,5.72%,69.4%,DeKalb County,23.30%,71.30%,0.13%,0.6%,95.41%,2.76%,0.66%,N/A,81,31,50,61,17,61%,55%,40,60,82,60%,75%,47%,38.01,11.19,7.42,33.04%,29.78%,36.0%,35.3,28,7.6,36.1,73,801,3.6,7.68,IN-02674,41.3666383,-85.0559236
Butler,Indiana,2889,1459,Auburn,153575,$57543,9.95%,31,$60000,1250,$48,67,66.39%,$734,57.66%,N/A,N/A,22.63%,4.65%,60.72%,DeKalb County,23.30%,71.30%,0.0%,0.55%,95.81%,1.8%,0.45%,N/A,86,34,52,60,16,61%,55%,40,60,89,60%,75%,47%,37.9,10.61,7.13,28.82%,28.79%,23.33%,35.3,28,7.6,36.1,82,777,3.6,1.98,IN-09532,41.4274451,-84.8721298
Butler township (De Kalb Cnty),Indiana,2889,1459,Auburn,153575,$57543,9.95%,31,$60000,1250,$48,67,66.39%,$734,57.66%,N/A,N/A,22.63%,4.65%,60.72%,DeKalb County,23.30%,71.30%,0.0%,0.55%,95.81%,1.8%,0.45%,N/A,86,34,52,60,16,61%,55%,40,60,89,60%,75%,47%,37.9,10.61,7.13,28.82%,28.79%,23.33%,35.3,28,7.6,36.1,78,777,3.6,1.98,IN-09532,41.4274451,-84.8721298
Concord township (De Kalb Cnty),Indiana,1225,68,Auburn,153575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DeKalb County,23.30%,71.30%,N/A,N/A,N/A,N/A,N/A,N/A,86,34,52,60,16,61%,55%,40,60,89,60%,75%,47%,37.9,10.61,7.13,28.82%,28.79%,23.33%,35.3,28,7.6,36.1,79,777,3.6,18.01,IN-14824,41.3340824,-84.9067484
Corunna,Indiana,190,1056,Auburn,153575,$56000,12.32%,44,N/A,N/A,N/A,N/A,78.95%,$929,47.59%,N/A,N/A,13.23%,4.46%,67.47%,DeKalb County,23.30%,71.30%,0.0%,4.21%,91.05%,4.74%,0.0%,N/A,84,32,52,63,17,61%,55%,40,60,86,60%,75%,47%,39.0,11.57,7.71,36.71%,32.97%,41.44%,29.5,20,N/A,36.1,82,804,3.6,0.18,IN-15220,41.435859,-85.1441503
Fairfield township (De Kalb Cnty),Indiana,1303,37,Auburn,153575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DeKalb County,23.30%,71.30%,N/A,N/A,N/A,N/A,N/A,N/A,84,32,52,63,17,61%,55%,40,60,86,60%,75%,47%,38.01,11.19,7.42,36.71%,32.97%,41.44%,29.5,20,N/A,36.1,82,801,3.6,35.22,IN-22288,41.4825192,-85.1370478
Franklin township (De Kalb Cnty),Indiana,1268,90,Auburn,153575,N/A,N/A,N/A,$237000,1549,$153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DeKalb County,23.30%,71.30%,N/A,N/A,N/A,N/A,N/A,N/A,82,31,51,61,17,61%,55%,40,60,84,60%,75%,47%,37.9,10.61,7.13,28.82%,28.79%,23.33%,39.9,25,7.6,36.1,82,777,3.6,14.04,IN-25342,41.4856466,-84.9104248
Garrett,Indiana,6507,1560,Auburn,153575,$51096,13.64%,36,$162000,1174,$138,66,75.64%,$714,48.62%,N/A,N/A,10.88%,4.76%,63.31%,DeKalb County,23.30%,71.30%,0.68%,0.72%,94.5%,4.1%,0.35%,N/A,84,32,52,63,17,61%,55%,40,60,86,60%,75%,47%,39.0,11.57,7.71,36.71%,32.97%,41.44%,29.5,20,7.6,36.1,77,804,3.6,4.17,IN-26386,41.3526133,-85.123749
