City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Ashford,Connecticut,4254,110,Worcester,945752,$77250,38.74%,N/A,N/A,N/A,N/A,43,67.60%,$1053,51.60%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,1.1%,1.3%,93.2%,3.6%,N/A,Eastern Standard Time,80,34,46,50,122,195,37,N/A,N/A,N/A,81,470,3.5,38.67,CT-01430
Brooklyn,Connecticut,1128,981,Worcester,945752,$61386,15.51%,42,$370000,2090,$177,44,27.11%,$1305,40.60%,N/A,N/A,9.68%,0.0%,31.93%,Windham County,42.90%,50.70%,0.0%,12.85%,71.19%,15.96%,3.55%,Eastern Standard Time,81,35,46,51,119,198,35,N/A,N/A,N/A,80,470,3.5,1.15,CT-09120
Canterbury,Connecticut,5074,127,Worcester,945752,$81496,22.36%,N/A,N/A,N/A,N/A,38,80.50%,N/A,43.70%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.8%,1.0%,97.0%,0.4%,N/A,Eastern Standard Time,81,35,46,49,119,199,35,N/A,N/A,8,81,470,3.5,39.95,CT-12130
Chaplin,Connecticut,2365,122,Worcester,945752,$78750,26.81%,N/A,N/A,N/A,N/A,50,81.20%,N/A,50.40%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.0%,0.0%,92.8%,6.1%,N/A,Eastern Standard Time,81,35,46,51,117,196,34,N/A,N/A,7,82,470,3.5,19.39,CT-13810
Danielson,Connecticut,3996,3666,Worcester,945752,$51887,14.23%,35,$293000,1866,$157,67,36.34%,$1104,64.40%,N/A,N/A,25.92%,14.7%,77.4%,Windham County,42.90%,50.70%,2.6%,1.8%,78.2%,11.41%,3.1%,Eastern Standard Time,80,34,46,50,124,195,44,58.3,38.3,8,75,470,3.5,1.09,CT-18780
East Brooklyn,Connecticut,2103,828,Worcester,945752,$67005,7.49%,46,$415000,2293,$181,57,76.94%,$746,53.10%,N/A,N/A,10.41%,14.37%,58.46%,Windham County,42.90%,50.70%,12.13%,1.28%,78.22%,5.75%,7.8%,Eastern Standard Time,81,35,46,51,119,194,35,58.3,38.3,8,80,470,3.5,2.54,CT-21160
Eastford,Connecticut,1639,57,Worcester,945752,$73173,37.08%,N/A,N/A,N/A,N/A,37,68.20%,N/A,36.70%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.2%,0.2%,95.1%,3.1%,N/A,Eastern Standard Time,80,34,46,51,129,197,45,N/A,N/A,7,83,470,3.5,28.75,CT-21860
Hampton,Connecticut,1829,73,Worcester,945752,$73929,32.52%,N/A,N/A,N/A,N/A,41,85.20%,N/A,43.80%,N/A,N/A,N/A,3.90%,N/A,Windham County,42.90%,50.70%,0.2%,0.3%,94.5%,2.6%,N/A,Eastern Standard Time,80,35,45,51,117,198,34,N/A,N/A,7,83,470,3.5,25.05,CT-36000
Moosup,Connecticut,3922,1607,Worcester,945752,$56430,8.47%,30,$320000,2857,$112,76,61.01%,$958,55.10%,N/A,N/A,14.54%,8.5%,70.59%,Windham County,42.90%,50.70%,5.97%,0.0%,90.21%,3.24%,3.95%,Eastern Standard Time,81,35,46,49,119,198,35,58.3,38.3,8,76,470,3.5,2.44,CT-49180
North Grosvenor Dale,Connecticut,1180,520,Worcester,945752,$52708,11.68%,35,$265000,1305,$203,78,37.29%,$803,49.40%,N/A,N/A,15.68%,9.95%,61.1%,Windham County,42.90%,50.70%,0.0%,0.0%,89.49%,5.76%,7.97%,Eastern Standard Time,81,34,47,50,124,200,40,58.3,38.3,N/A,81,470,3.5,2.27,CT-54730
