City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Antrim,Pennsylvania,15370,219,Chambersburg-Waynesboro,155637,$68966,19.85%,N/A,N/A,N/A,N/A,38,79.20%,N/A,39.80%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,0.9%,0.6%,90.7%,6.8%,N/A,Eastern Standard Time,85,38,47,41,119,196,29,N/A,N/A,N/A,71,614,3.9,70.18,PA-02696
Blue Ridge Summit,Pennsylvania,680,919,Chambersburg-Waynesboro,155637,$34408,23.22%,51,N/A,N/A,N/A,76,71.91%,$725,57.22%,N/A,N/A,1.76%,0.0%,53.3%,Franklin County,24.80%,70.60%,0.0%,4.12%,95.88%,0.0%,0.0%,Eastern Standard Time,83,38,45,46,125,196,31,60.2,41.4,7,76,614,3.9,0.74,PA-07312
Chambersburg,Pennsylvania,21017,3033,Chambersburg-Waynesboro,155637,$46924,23.2%,40,$230000,1933,$119,61,45.22%,$845,58.73%,N/A,N/A,12.5%,3.76%,60.56%,Franklin County,24.80%,70.60%,1.26%,12.41%,66.06%,18.42%,12.76%,Eastern Standard Time,85,37,48,41,120,200,31,61,42.1,6,41,614,3.9,6.93,PA-12536
Fannett,Pennsylvania,2584,38,Chambersburg-Waynesboro,155637,$48618,13.76%,N/A,N/A,N/A,N/A,46,58.90%,N/A,38.60%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,0.0%,0.2%,98.3%,0.0%,N/A,Eastern Standard Time,84,37,47,42,125,196,30,N/A,N/A,6,82,614,3.9,68.0,PA-25176
Fayetteville,Pennsylvania,2855,876,Chambersburg-Waynesboro,155637,$53932,16.38%,50,$197000,1449,$136,60,69.16%,$984,46.67%,N/A,N/A,1.73%,7.78%,60.07%,Franklin County,24.80%,70.60%,0.0%,0.49%,90.37%,5.22%,0.42%,Eastern Standard Time,86,38,48,43,120,194,31,60.2,41.4,6,72,614,3.9,3.26,PA-25464
Fort Loudon,Pennsylvania,1168,274,Chambersburg-Waynesboro,155637,$98264,23.74%,26,$80000,1290,$62,29,90.24%,N/A,21.88%,N/A,N/A,4.54%,0.0%,61.05%,Franklin County,24.80%,70.60%,0.0%,0.0%,95.89%,0.0%,0.0%,Eastern Standard Time,85,38,47,41,119,196,29,60.2,41.4,6,77,614,3.9,4.26,PA-26824
Greencastle,Pennsylvania,4008,2521,Chambersburg-Waynesboro,155637,$63936,29.81%,41,$278000,2014,$138,54,68.85%,$894,39.2%,N/A,N/A,4.04%,1.55%,62.13%,Franklin County,24.80%,70.60%,0.6%,5.01%,88.9%,1.05%,4.74%,Eastern Standard Time,85,38,47,41,119,197,29,60.2,41.4,6,53,614,3.9,1.59,PA-30896
Greene township (Franklin Cnty),Pennsylvania,17465,305,Chambersburg-Waynesboro,155637,$56301,N/A,N/A,N/A,N/A,N/A,35,66.40%,N/A,41.80%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,1.7%,3.4%,88.1%,6.6%,N/A,Eastern Standard Time,85,38,47,42,120,196,31,N/A,N/A,N/A,74,614,3.9,57.26,PA-30944
Guilford,Pennsylvania,3571,2304,Chambersburg-Waynesboro,155637,$105341,41.84%,48,$312000,2182,$143,28,97.34%,N/A,25.19%,N/A,N/A,4.2%,1.64%,70.66%,Franklin County,24.80%,70.60%,3.58%,3.67%,89.95%,2.44%,2.63%,Eastern Standard Time,85,37,48,41,120,198,31,60.2,41.4,6,69,614,3.9,1.55,PA-31716
Guilford township,Pennsylvania,3571,2304,Chambersburg-Waynesboro,155637,$105341,41.84%,48,$312000,2182,$143,28,97.34%,N/A,25.19%,N/A,N/A,4.2%,1.64%,70.66%,Franklin County,24.80%,70.60%,3.58%,3.67%,89.95%,2.44%,2.63%,Eastern Standard Time,85,38,47,41,120,196,31,N/A,N/A,N/A,73,614,3.9,1.55,PA-31716
Hamilton township (Franklin Cnty),Pennsylvania,11049,311,Chambersburg-Waynesboro,155637,$57550,N/A,N/A,N/A,N/A,N/A,26,79.10%,N/A,38.60%,N/A,N/A,N/A,4.00%,N/A,Franklin County,24.80%,70.60%,2.0%,2.7%,90.4%,4.6%,N/A,Eastern Standard Time,85,37,48,41,120,196,31,N/A,N/A,N/A,73,614,3.9,35.53,PA-32152
