City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Bairdstown,Ohio,102,378,Toledo,253998,$45625,10.13%,46,N/A,N/A,N/A,75,91.18%,N/A,34.57%,N/A,N/A,11.76%,0.0%,66.67%,Wood County,42.10%,50.10%,5.88%,0.0%,74.51%,2.94%,5.88%,Eastern Standard Time,84,34,50,39.1,33.6,7.6,80,702,3.5,0.27,OH-03646,41.1711843,-83.6072888,60%,75%,47%,63%,58%,36.1,40,60,65,20,12.38,7.48,36.63%,32.64%,39.11%,22,87
Bloom township (Wood Cnty),Ohio,2656,75,Toledo,253998,$54659,N/A,N/A,N/A,N/A,N/A,65,78.30%,N/A,42.80%,N/A,N/A,N/A,4.20%,N/A,Wood County,42.10%,50.10%,N/A,N/A,N/A,2.90%,N/A,Eastern Standard Time,84,34,50,39.1,33.6,7.6,80,702,3.5,35.41,OH-07020,41.2104229,-83.5923199,60%,75%,47%,63%,58%,36.1,40,60,65,20,12.38,7.48,36.63%,32.64%,39.11%,22,87
Bloomdale,Ohio,693,1034,Toledo,253998,$54200,16.57%,48,$135000,1098,$123,67,83.98%,$852,42.58%,N/A,N/A,5.17%,2.48%,65.05%,Wood County,42.10%,50.10%,0.29%,0.0%,96.68%,2.6%,2.89%,Eastern Standard Time,84,34,50,39.1,33.6,7.6,80,702,3.5,0.67,OH-07062,41.1715711,-83.5534365,60%,75%,47%,63%,58%,36.1,40,60,65,20,12.38,7.48,36.63%,32.64%,39.11%,22,87
Bowling Green,Ohio,31638,2474,Toledo,253998,$39210,42.7%,23,$288000,1946,$148,41,39.13%,$737,77.16%,N/A,N/A,32.77%,6.5%,71.66%,Wood County,42.10%,50.10%,1.39%,6.22%,81.84%,6.62%,3.39%,Eastern Standard Time,85,34,51,39.71,35.4,7.6,65,618,3.5,12.79,OH-07972,41.3775622,-83.6495005,52%,67%,39%,63%,58%,32.7,39,59,64,20,11.84,7.73,30.27%,28.68%,30.33%,26,88
Bradner,Ohio,1152,1858,Toledo,253998,$51570,9.4%,32,N/A,N/A,N/A,65,71.35%,$591,58.84%,N/A,N/A,9.03%,5.25%,65.16%,Wood County,42.10%,50.10%,0.0%,0.26%,90.63%,7.29%,0.0%,Eastern Standard Time,85,34,51,37.71,35.4,7.6,80,618,3.5,0.62,OH-08112,41.3236722,-83.4363158,52%,67%,39%,63%,58%,32.7,39,59,64,20,11.72,7.29,30.27%,28.68%,30.33%,26,88
Center township (Wood Cnty),Ohio,1151,46,Toledo,253998,$72976,N/A,N/A,N/A,N/A,N/A,37,85.10%,N/A,46.60%,N/A,N/A,N/A,4.20%,N/A,Wood County,42.10%,50.10%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,85,34,51,37.71,35.4,7.6,78,618,3.5,25.02,OH-13015,41.3828579,-83.5929775,52%,67%,39%,63%,58%,32.7,39,59,64,20,11.72,7.29,30.27%,28.68%,30.33%,26,88
Custar,Ohio,261,1044,Toledo,253998,$47188,8.43%,37,N/A,N/A,N/A,78,90.8%,$717,43.14%,N/A,N/A,14.56%,6.54%,76.12%,Wood County,42.10%,50.10%,0.0%,0.0%,87.36%,11.49%,0.0%,Eastern Standard Time,85,34,51,38.86,14.2,7.6,81,624,3.5,0.25,OH-19750,41.2845959,-83.8438097,60%,75%,47%,61%,55%,36.1,40,60,64,20,11.77,7.66,30.27%,28.68%,30.33%,8,88
Cygnet,Ohio,575,1742,Toledo,253998,$66875,10.85%,33,$148000,1156,$128,66,61.22%,$942,44.06%,N/A,N/A,21.22%,2.19%,74.07%,Wood County,42.10%,50.10%,0.0%,0.0%,85.22%,14.43%,0.52%,Eastern Standard Time,85,34,51,37.71,35.4,7.6,80,618,3.5,0.33,OH-19820,41.2406825,-83.6437437,60%,75%,47%,63%,58%,36.1,40,60,64,20,11.72,7.29,30.27%,28.68%,30.33%,26,88
Freedom township (Wood Cnty),Ohio,2797,93,Toledo,253998,$56583,N/A,N/A,N/A,N/A,N/A,64,75.60%,N/A,43.60%,N/A,N/A,N/A,4.20%,N/A,Wood County,42.10%,50.10%,N/A,N/A,N/A,2.80%,N/A,Eastern Standard Time,85,34,51,37.71,35.4,7.6,80,618,3.5,30.08,OH-28756,41.3799562,-83.4669254,52%,67%,39%,63%,58%,32.7,39,59,64,20,11.72,7.29,30.27%,28.68%,30.33%,26,88
Grand Rapids,Ohio,885,1006,Toledo,253998,$59286,28.46%,37,$43000,1162,$37,58,74.0%,$711,56.01%,N/A,N/A,6.89%,1.57%,71.27%,Wood County,42.10%,50.10%,0.0%,0.56%,94.12%,3.84%,2.94%,Eastern Standard Time,87,35,52,38.86,35.4,7.6,80,624,3.5,0.88,OH-31206,41.4077582,-83.8679299,60%,75%,47%,61%,55%,36.1,40,60,64,20,11.77,7.66,37.51%,32.31%,43.78%,26,91
