City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Aldan,Pennsylvania,4146,6910,Philadelphia-Camden-Wilmington,6249225,$80769,23.86%,46,$268000,1696,$158,69,85.26%,$902,43.15%,N/A,N/A,4.34%,3.95%,71.79%,Delaware County,59.30%,37.00%,2.05%,38.11%,54.58%,2.07%,12.57%,Eastern Standard Time,89,42,47,47.62,25.2,7.4,49,9,3.8,0.6,PA-00676,39.9224103,-75.2881191,55%,62%,50%,54%,53%,28.3,42,62,71,27,14.67,10.58,33.42%,33.3%,36.56%,10,94
Aston,Pennsylvania,16715,2862,Philadelphia-Camden-Wilmington,6249225,$78956,32.34%,N/A,N/A,N/A,N/A,50,85.70%,$1080,49.40%,N/A,N/A,N/A,4.30%,N/A,Delaware County,59.30%,37.00%,2.84%,4.67%,N/A,N/A,N/A,Eastern Standard Time,85,38,47,50.38,25.2,7.4,64,300,3.8,5.84,PA-03336,39.8718568,-75.4348411,55%,62%,50%,55%,55%,29.3,43,63,68,25,15.33,11.26,28.88%,29.01%,30.44%,10,88
Bethel township (Delaware Cnty),Pennsylvania,9112,9112,Philadelphia-Camden-Wilmington,6249225,$123349,N/A,N/A,$325000,1425,$228,22,93.60%,N/A,37.60%,N/A,N/A,N/A,4.30%,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,1.10%,N/A,Eastern Standard Time,85,38,47,50.38,22.0,7.4,60,300,3.8,1.0,PA-06024,39.8460413,-75.4885995,55%,62%,50%,55%,55%,29.3,43,63,68,25,15.33,11.26,28.88%,29.01%,30.44%,9,88
Boothwyn,Pennsylvania,5525,4420,Philadelphia-Camden-Wilmington,6249225,$83075,22.11%,42,$315000,1641,$192,50,75.39%,$1141,42.2%,N/A,N/A,5.36%,0.62%,66.16%,Delaware County,59.30%,37.00%,3.67%,4.13%,85.39%,6.73%,5.12%,Eastern Standard Time,85,38,47,50.38,25.2,7.4,62,300,3.8,1.25,PA-07616,39.8356562,-75.445332,55%,62%,50%,55%,55%,29.3,43,63,68,25,15.33,11.26,28.88%,29.01%,30.44%,10,88
Brookhaven,Pennsylvania,8045,4705,Philadelphia-Camden-Wilmington,6249225,$76638,30.6%,43,$300000,1571,$191,53,87.86%,$1382,51.9%,N/A,N/A,3.96%,4.34%,71.01%,Delaware County,59.30%,37.00%,1.33%,8.61%,85.98%,1.22%,7.33%,Eastern Standard Time,89,42,47,47.62,25.2,7.4,59,9,3.8,1.71,PA-09080,39.8715276,-75.3918232,55%,62%,50%,55%,55%,29.3,43,63,71,27,14.67,10.58,33.42%,33.3%,36.56%,10,95
Broomall,Pennsylvania,10608,3346,Philadelphia-Camden-Wilmington,6249225,$95992,44.26%,45,$515000,2085,$247,63,81.44%,$1421,42.87%,N/A,N/A,5.03%,3.0%,63.3%,Delaware County,59.30%,37.00%,7.43%,1.81%,86.52%,0.77%,10.12%,Eastern Standard Time,89,42,47,50.29,25.2,7.4,52,357,3.8,3.17,PA-09248,39.9688233,-75.3541278,55%,62%,50%,54%,53%,28.3,42,62,71,27,15.12,11.31,32.27%,31.87%,33.56%,10,94
Chadds Ford,Pennsylvania,1523,677,Philadelphia-Camden-Wilmington,6249225,$128929,78.97%,43,$790000,4225,$187,36,90.41%,$1917,27.15%,N/A,N/A,2.69%,2.95%,67.62%,Delaware County,59.30%,37.00%,9.91%,0.59%,81.16%,0.79%,9.98%,Eastern Standard Time,87,40,47,50.56,22.0,7.4,68,321,3.8,2.25,PA-12440,39.874223,-75.6040153,55%,62%,50%,55%,55%,29.3,43,63,65,21,15.41,11.1,28.88%,29.01%,30.44%,9,91
Chester,Pennsylvania,34102,7060,Philadelphia-Camden-Wilmington,6249225,$28607,12.26%,N/A,$105000,1296,$81,68,29.60%,$974,80.10%,N/A,N/A,28.3%,8.00%,N/A,Delaware County,59.30%,37.00%,N/A,68.92%,N/A,11.90%,4.4%,Eastern Standard Time,89,42,47,50.38,25.2,7.4,55,300,3.8,4.83,PA-13272,39.8505221,-75.399911,55%,62%,50%,55%,55%,29.3,43,63,71,27,15.33,11.26,33.42%,33.3%,36.56%,10,95
Chester Heights,Pennsylvania,2654,1201,Philadelphia-Camden-Wilmington,6249225,$86850,49.52%,42,$383000,1798,$213,34,61.75%,$1897,49.49%,N/A,N/A,4.32%,5.63%,68.13%,Delaware County,59.30%,37.00%,3.81%,4.07%,88.36%,2.56%,6.1%,Eastern Standard Time,85,38,47,51.19,25.2,7.4,62,324,3.8,2.21,PA-13232,39.892629,-75.4697592,55%,62%,50%,55%,55%,29.3,43,63,68,25,15.93,10.95,28.88%,29.01%,30.44%,10,88
Chester township,Pennsylvania,4097,848,Philadelphia-Camden-Wilmington,6249225,$44675,N/A,N/A,$105000,1296,$81,50,49.20%,N/A,69.00%,N/A,N/A,N/A,4.30%,N/A,Delaware County,59.30%,37.00%,N/A,N/A,N/A,2.50%,N/A,Eastern Standard Time,89,42,47,50.38,25.2,7.4,61,300,3.8,4.83,PA-13272,39.8505221,-75.399911,55%,62%,50%,55%,55%,29.3,43,63,71,27,15.33,11.26,33.42%,33.3%,36.56%,10,95
