City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year
Allendale,California,1429,233,Vallejo-Fairfield,446935,$103611,38.38%,58,$935000,1434,$652,40,92.89%,$2331,39.24%,N/A,N/A,4.41%,5.07%,55.0%,Solano County,60.90%,30.90%,0.91%,15.05%,79.22%,3.99%,0.84%,Pacific Standard Time,95,56,39,26,62,0,6.3,73,15,5.1,6.14,CA-00996,38.4426589,-121.9814112,77%,96%,51%,45%,30%,4.5
Benicia,California,28158,2198,Vallejo-Fairfield,446935,$106989,42.69%,46,$773000,1737,$445,40,72.08%,$1995,43.2%,56,1324,6.8%,3.42%,65.05%,Solano County,60.90%,30.90%,11.52%,3.22%,63.9%,13.86%,13.18%,Pacific Standard Time,84,57,27,22,64,0,7.7,59,15,5.1,12.81,CA-05290,38.0724984,-122.1525429,67%,69%,60%,69%,69%,2.9
Dixon,California,20106,2832,Vallejo-Fairfield,446935,$79465,18.74%,32,$613000,1977,$310,36,59.17%,$1452,50.2%,259,1872,7.79%,5.81%,70.91%,Solano County,60.90%,30.90%,4.28%,2.12%,49.06%,41.31%,17.73%,Pacific Standard Time,94,55,39,23,67,0,6.3,52,15,5.1,7.1,CA-19402,38.4469156,-121.8249797,77%,96%,51%,45%,30%,4.5
Elmira,California,234,442,Vallejo-Fairfield,446935,$62010,27.78%,48,N/A,N/A,N/A,28,15.38%,$1245,81.62%,N/A,N/A,21.37%,5.45%,70.51%,Solano County,60.90%,30.90%,0.0%,0.0%,77.35%,22.65%,0.0%,Pacific Standard Time,94,56,38,25,66,0,6.3,64,15,5.1,0.53,CA-22146,38.3523287,-121.9077191,77%,96%,51%,45%,30%,4.5
Fairfield,California,116544,2802,Vallejo-Fairfield,446935,$86204,27.87%,35,$598000,1738,$344,35,59.92%,$1734,47.68%,373,3194,8.65%,5.98%,66.12%,Solano County,60.90%,30.90%,16.17%,16.73%,29.86%,29.81%,21.95%,Pacific Standard Time,90,55,35,25,65,0,6.3,64,15,5.1,41.59,CA-23182,38.258285,-122.0334568,77%,96%,51%,45%,30%,4.5
Green Valley (Solano Cnty),California,1583,189,Vallejo-Fairfield,446935,$108393,43.48%,62,$398000,1031,$386,47,91.72%,N/A,23.05%,N/A,N/A,2.4%,0.0%,53.37%,Solano County,60.90%,30.90%,6.57%,2.65%,76.94%,9.85%,5.18%,Pacific Standard Time,84,56,28,24,66,0,6.3,72,15,5.1,8.37,CA-31099,38.2606663,-122.1622095,67%,69%,60%,69%,69%,2.9
Hartley,California,2655,410,Vallejo-Fairfield,446935,$123173,22.72%,50,$1070000,1715,$624,42,86.83%,$1080,44.03%,N/A,N/A,4.79%,2.69%,60.32%,Solano County,60.90%,30.90%,5.39%,7.98%,60.75%,17.66%,9.3%,Pacific Standard Time,95,56,39,26,62,0,6.3,67,15,5.1,6.47,CA-32340,38.4202701,-121.9522227,77%,96%,51%,45%,30%,4.5
Rio Vista,California,9407,1425,Vallejo-Fairfield,446935,$69883,31.82%,64,$465000,1545,$301,21,81.08%,$1427,42.46%,115,1473,10.57%,10.77%,40.04%,Solano County,60.90%,30.90%,4.86%,11.98%,64.44%,16.94%,14.02%,Pacific Standard Time,91,55,36,20,58,0,7.7,63,15,5.1,6.6,CA-60984,38.176484,-121.7024255,77%,96%,51%,45%,28%,3.7
Suisun City,California,29459,7346,Vallejo-Fairfield,446935,$82325,19.9%,35,$499000,1334,$374,35,62.2%,$1737,50.94%,380,2219,10.08%,5.57%,67.72%,Solano County,60.90%,30.90%,18.77%,20.3%,25.64%,27.03%,20.74%,Pacific Standard Time,92,55,37,25,64,0,6.3,63,15,5.1,4.01,CA-75630,38.2472669,-122.0091367,77%,96%,51%,45%,30%,4.5
Vacaville,California,99958,3346,Vallejo-Fairfield,446935,$93291,24.93%,38,$600000,1813,$331,36,66.69%,$1757,48.09%,327,2414,6.54%,4.64%,59.52%,Solano County,60.90%,30.90%,9.33%,9.48%,49.78%,24.43%,12.33%,Pacific Standard Time,93,55,38,25,65,0,6.3,68,15,5.1,29.87,CA-81554,38.358679,-121.9673363,77%,96%,51%,45%,30%,4.5
Vallejo,California,121275,3987,Vallejo-Fairfield,446935,$73869,26.67%,39,$510000,1453,$351,46,58.58%,$1624,53.09%,845,4028,11.74%,7.41%,64.27%,Solano County,60.90%,30.90%,24.47%,18.48%,23.23%,27.47%,26.16%,Pacific Standard Time,84,56,28,21,65,0,7.7,53,15,5.1,30.42,CA-81666,38.10707,-122.2627486,67%,69%,60%,69%,69%,2.9
