City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Brenton,Illinois,997,28,Champaign-Urbana,225547,$39907,7.01%,N/A,N/A,N/A,N/A,70,56.80%,N/A,53.10%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,0.4%,0.0%,90.1%,7.2%,N/A,Central Standard Time,85,32,53,38,109,190,19,N/A,N/A,N/A,85,662,3.9,35.61,IL-07978,40.7192404,-88.1812045
Button,Illinois,267,8,Champaign-Urbana,225547,$63750,N/A,N/A,N/A,N/A,N/A,52,89.00%,N/A,35.50%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,0.0%,0.0%,97.8%,0.0%,N/A,Central Standard Time,85,33,52,39,104,190,16,N/A,N/A,N/A,84,662,3.9,33.38,IL-10214,40.4431013,-87.9873681
Cabery,Illinois,260,765,Champaign-Urbana,225547,$52344,8.43%,37,N/A,N/A,N/A,66,64.23%,$742,46.5%,N/A,N/A,17.69%,8.66%,66.15%,Ford County,22.10%,70.00%,0.0%,0.0%,95.77%,3.46%,1.54%,Central Standard Time,85,32,53,38,113,194,25,61.6,42.4,8,84,662,3.9,0.34,IL-10292,40.9957515,-88.203692
Dix township,Illinois,458,221,Champaign-Urbana,225547,$64000,N/A,N/A,N/A,N/A,N/A,62,72.50%,N/A,33.00%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,0.0%,0.0%,98.3%,0.0%,N/A,Central Standard Time,84,32,52,38,106,190,18,N/A,N/A,N/A,84,662,3.9,2.07,IL-20110,40.4645783,-88.290421
Drummer,Illinois,3911,73,Champaign-Urbana,225547,$42120,26.39%,N/A,N/A,N/A,N/A,60,64.70%,N/A,48.20%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,0.0%,0.7%,97.3%,0.3%,N/A,Central Standard Time,84,31,53,38,107,190,18,N/A,N/A,N/A,78,662,3.9,53.58,IL-20799,40.464113,-88.4032077
Elliott,Illinois,310,620,Champaign-Urbana,225547,$46667,8.0%,46,N/A,N/A,N/A,68,73.55%,$693,42.02%,N/A,N/A,15.96%,1.96%,59.77%,Ford County,22.10%,70.00%,0.0%,0.0%,99.03%,0.0%,0.0%,Central Standard Time,85,32,53,38,106,187,18,61.6,42.4,9,84,662,3.9,0.5,IL-23425,40.466198,-88.2769419
Gibson City,Illinois,3340,1440,Champaign-Urbana,225547,$44544,22.85%,44,N/A,N/A,N/A,64,73.67%,$588,48.32%,N/A,N/A,11.16%,4.67%,64.22%,Ford County,22.10%,70.00%,0.0%,1.62%,95.6%,1.83%,0.0%,Central Standard Time,84,31,53,38,107,190,18,61.6,42.4,9,77,662,3.9,2.32,IL-29125,40.4664479,-88.3788219
Kempton,Illinois,317,1865,Champaign-Urbana,225547,$60703,9.74%,36,N/A,N/A,N/A,78,83.28%,$1068,67.74%,N/A,N/A,28.08%,10.46%,61.69%,Ford County,22.10%,70.00%,0.0%,0.0%,96.85%,0.32%,0.0%,Central Standard Time,85,32,53,37,103,191,20,61.6,42.4,8,85,662,3.9,0.17,IL-39441,40.9354691,-88.2362525
Lyman,Illinois,591,14,Champaign-Urbana,225547,$49028,21.02%,N/A,N/A,N/A,N/A,78,56.10%,N/A,48.20%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,0.0%,0.7%,85.6%,11.0%,N/A,Central Standard Time,85,32,53,39,111,190,21,N/A,N/A,N/A,84,662,3.9,42.21,IL-45252,40.6252672,-88.1774209
Melvin,Illinois,397,1134,Champaign-Urbana,225547,$46071,13.44%,36,N/A,N/A,N/A,74,70.28%,$697,49.49%,N/A,N/A,22.31%,4.6%,59.39%,Ford County,22.10%,70.00%,0.0%,0.0%,90.18%,4.79%,4.79%,Central Standard Time,84,31,53,38,111,188,21,61.6,42.4,9,84,662,3.9,0.35,IL-48268,40.5709645,-88.2469996
Mona,Illinois,287,8,Champaign-Urbana,225547,$54375,11.43%,N/A,N/A,N/A,N/A,78,60.40%,N/A,44.80%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,2.1%,0.0%,91.3%,3.5%,N/A,Central Standard Time,85,32,53,37,103,190,20,N/A,N/A,N/A,85,662,3.9,35.88,IL-49919,40.8940747,-88.1865585
Patton,Illinois,5102,83,Champaign-Urbana,225547,$49358,21.69%,N/A,N/A,N/A,N/A,58,65.80%,N/A,51.00%,N/A,N/A,N/A,4.40%,N/A,Ford County,22.10%,70.00%,0.9%,1.8%,93.1%,3.8%,N/A,Central Standard Time,85,32,53,40,105,190,18,N/A,N/A,8,77,662,3.9,61.47,IL-58122,40.4438894,-88.1372656
