City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Alcester,South Dakota,1019,1396,Sioux City,152349,$39861,20.73%,N/A,N/A,N/A,N/A,53,70.20%,N/A,49.00%,0,1478,10.3%,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,1.70%,1%,Central Standard Time,86,27,59,31.79,87,31.5,N/A,89,1089,3.5,0.73,SD-00740,43.0405389,-96.6280839,56%,63%,56%,60%,56%,44.4,35,58,63,8,12.05,3.13,23.97%,28.9%,18.11%,15
Alcester township,South Dakota,356,488,Sioux City,152349,$61250,N/A,N/A,N/A,N/A,N/A,75,95.60%,N/A,19.60%,0,1478,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,86,27,59,31.79,87,31.5,N/A,89,1089,3.5,0.73,SD-00740,43.0405389,-96.6280839,56%,63%,56%,60%,56%,44.4,35,58,63,8,12.05,3.13,23.97%,28.9%,18.11%,15
Beresford,South Dakota,2371,1332,Sioux Falls,254499,$61447,18.25%,41,N/A,N/A,N/A,54,72.37%,$686,41.19%,0,603,4.43%,3.74%,70.57%,Union County,28.20%,67.00%,0.0%,0.0%,87.85%,9.03%,2.61%,Central Standard Time,85,28,57,27.59,87,33.3,N/A,89,1167,3.5,1.78,SD-04980,43.0805446,-96.773655,56%,63%,56%,60%,56%,44.4,35,58,62,8,10.74,2.04,27.15%,33.19%,19.56%,18
Big Sioux,South Dakota,3537,298,Sioux City,152349,$94889,47.23%,N/A,N/A,N/A,N/A,17,65.60%,N/A,36.70%,N/A,N/A,N/A,3.00%,N/A,Union County,28.20%,67.00%,4.48%,1.52%,N/A,7.40%,N/A,Central Standard Time,87,30,57,31.85,84,38.1,N/A,85,1005,3.5,11.87,SD-05380,42.5228206,-96.5090265,60%,71%,54%,60%,59%,42.1,37,61,63,9,12.77,2.96,28.3%,33.08%,24.11%,22
Big Springs,South Dakota,267,7,Sioux City,152349,$80417,N/A,N/A,N/A,N/A,N/A,77,88.60%,N/A,42.70%,N/A,N/A,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,86,27,59,31.79,87,31.5,N/A,89,1089,3.5,38.14,SD-05460,42.9528396,-96.6275055,60%,71%,54%,60%,59%,42.1,37,61,63,8,12.05,3.13,23.97%,28.9%,18.11%,15
Brule township (Union Cnty),South Dakota,172,5,Sioux City,152349,$53264,N/A,N/A,N/A,N/A,N/A,78,100.00%,N/A,17.10%,N/A,N/A,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,86,31,55,27.67,77,33.3,N/A,87,1041,3.5,34.4,SD-07860,42.7790772,-96.7471888,60%,71%,54%,60%,59%,42.1,37,61,64,11,10.88,2.4,22.08%,26.92%,16.33%,18
Civil Bend,South Dakota,277,9,Sioux City,152349,$51750,N/A,N/A,N/A,N/A,N/A,42,73.20%,N/A,33.20%,N/A,N/A,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,86,31,55,30.96,81,38.1,N/A,85,1230,3.5,30.78,SD-11980,42.5969652,-96.6469711,60%,71%,54%,60%,59%,42.1,37,61,64,11,11.83,2.9,23.32%,27.14%,18.44%,22
Dakota Dunes,South Dakota,3231,1308,Sioux City,152349,$103466,50.66%,37,N/A,N/A,N/A,18,71.96%,$1057,34.05%,N/A,N/A,5.76%,0.46%,68.97%,Union County,28.20%,67.00%,5.85%,2.1%,83.81%,4.39%,8.33%,Central Standard Time,87,30,57,31.85,84,38.1,N/A,85,1005,3.5,2.47,SD-15256,42.4920626,-96.4872242,60%,71%,54%,60%,59%,42.1,37,61,63,9,12.77,2.96,28.3%,33.08%,24.11%,22
Elk Point,South Dakota,2231,1439,Sioux City,152349,$48487,32.47%,N/A,N/A,N/A,N/A,40,73.30%,N/A,39.90%,215,53,7.4%,3.00%,N/A,Union County,28.20%,67.00%,N/A,1.93%,N/A,N/A,0.3%,Central Standard Time,86,31,55,30.96,77,31.5,N/A,87,1230,3.5,1.55,SD-18660,42.6924502,-96.6909029,60%,71%,54%,60%,59%,42.1,37,61,64,11,11.83,2.9,23.32%,27.14%,18.44%,15
Elk Point township,South Dakota,214,138,Sioux City,152349,$79643,N/A,N/A,N/A,N/A,N/A,78,54.60%,N/A,28.80%,215,53,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,4.70%,N/A,Central Standard Time,86,31,55,30.96,77,31.5,N/A,87,1230,3.5,1.55,SD-18660,42.6924502,-96.6909029,60%,71%,54%,60%,59%,42.1,37,61,64,11,11.83,2.9,23.32%,27.14%,18.44%,15
Emmet,South Dakota,189,5,Sioux City,152349,$69500,12.08%,N/A,N/A,N/A,N/A,78,57.80%,N/A,43.90%,N/A,N/A,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,85,28,57,27.59,87,33.3,N/A,89,1167,3.5,37.8,SD-19500,42.9533594,-96.7463055,60%,71%,54%,60%,59%,42.1,37,61,62,8,10.74,2.04,27.15%,33.19%,19.56%,18
Jefferson,South Dakota,622,1220,Sioux City,152349,$53235,16.99%,N/A,N/A,N/A,N/A,47,79.10%,N/A,40.00%,N/A,N/A,11.1%,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,3.20%,1.1%,Central Standard Time,87,30,57,31.85,84,38.1,N/A,85,1005,3.5,0.51,SD-32740,42.5851617,-96.5618007,60%,71%,54%,60%,59%,42.1,37,61,63,9,12.77,2.96,28.3%,33.08%,24.11%,22
Jefferson township (Union Cnty),South Dakota,786,1541,Sioux City,152349,$131250,N/A,N/A,N/A,N/A,N/A,15,82.50%,N/A,17.40%,N/A,N/A,N/A,3.00%,N/A,Union County,28.20%,67.00%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,87,30,57,31.85,84,38.1,N/A,85,1005,3.5,0.51,SD-32740,42.5851617,-96.5618007,60%,71%,54%,60%,59%,42.1,37,61,63,9,12.77,2.96,28.3%,33.08%,24.11%,22
North Sioux City,South Dakota,2868,1070,Sioux City,152349,$52964,22.63%,36,N/A,N/A,N/A,26,54.25%,$887,51.31%,204,1875,12.33%,3.82%,65.39%,Union County,28.20%,67.00%,0.31%,0.8%,89.96%,2.23%,1.88%,Central Standard Time,87,30,57,31.85,84,38.1,N/A,85,1005,3.5,2.68,SD-45700,42.5350092,-96.4996824,60%,71%,54%,60%,59%,42.1,37,61,63,9,12.77,2.96,28.3%,33.08%,24.11%,22
