City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Bakersfield,Vermont,431,414,Burlington-South Burlington,231329,$65104,34.64%,52,N/A,N/A,N/A,73,94.66%,N/A,44.02%,N/A,N/A,0.0%,0.0%,55.98%,Franklin County,43.70%,40.90%,0.0%,0.0%,85.61%,9.05%,1.62%,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,1.04,VT-02425,44.7820218,-72.8032772,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30,83
Berkshire,Vermont,1711,41,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,41.73,VT-05425,44.9698828,-72.7582703,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30,83
Enosburg Falls,Vermont,1350,381,Burlington-South Burlington,231329,$44167,13.13%,37,$275000,3313,$83,77,73.54%,$775,53.7%,N/A,N/A,24.88%,10.9%,58.3%,Franklin County,43.70%,40.90%,1.85%,3.93%,70.44%,0.3%,1.26%,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,3.54,VT-24025,44.9083299,-72.8026176,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30,83
Enosburgh,Vermont,2758,57,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,48.39,VT-24050,44.8806038,-72.7477918,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30,83
Fairfax,Vermont,1145,606,Burlington-South Burlington,231329,$53605,55.78%,35,$375000,1847,$203,53,42.97%,$1129,23.98%,N/A,N/A,10.83%,8.88%,74.73%,Franklin County,43.70%,40.90%,0.0%,0.0%,100.0%,0.0%,1.75%,Eastern Standard Time,70,22,48,50.16,48.8,8.2,89,855,2.9,1.89,VT-24850,44.6694853,-73.0106664,49%,60%,42%,58%,54%,23.6,35,57,56,7,14.98,9.53,52.96%,50.99%,60.78%,30,69
Fairfield,Vermont,1899,28,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,90,390,2.9,67.82,VT-25225,44.808435,-72.9325282,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30,83
Fletcher,Vermont,1424,38,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,76,26,50,50.16,48.8,8.2,89,855,2.9,37.47,VT-26500,44.7108816,-72.9009983,49%,60%,42%,58%,54%,23.6,35,57,57,7,14.98,9.53,52.96%,50.99%,60.78%,30,76
Franklin,Vermont,1414,37,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,88,390,2.9,38.22,VT-27100,44.9765314,-72.8980543,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,52.96%,50.99%,60.78%,30,83
Georgia,Vermont,4691,119,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,29,54,36.54,48.8,8.2,86,102,2.9,39.42,VT-27700,44.7282388,-73.1276314,49%,60%,42%,58%,54%,23.6,35,57,63,13,12.05,6.22,36.74%,40.22%,36.33%,30,84
Highgate,Vermont,3627,71,Burlington-South Burlington,231329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin County,43.70%,40.90%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,82,28,54,42.23,48.8,8.2,88,390,2.9,51.08,VT-33025,44.9655727,-73.0561906,49%,60%,42%,58%,54%,23.6,35,57,56,5,12.67,8.08,36.74%,40.22%,36.33%,30,83
