City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Avenue B and C,Arizona,3847,5199,Yuma,202944,$24082,7.64%,29,N/A,N/A,N/A,37,31.27%,$574,51.96%,N/A,N/A,35.77%,27.32%,52.39%,Yuma County,46.40%,47.50%,0.0%,5.07%,17.78%,76.68%,38.21%,Mountain Standard Time,110,69,41,77,43,63%,67%,41,55,187,69%,66%,74%,3.75,0.79,1.28,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,63,147,6.4,0.74,AZ-04710,32.7192722,-114.6597127
Drysdale,Arizona,389,2431,Yuma,202944,$31010,0.0%,27,N/A,N/A,N/A,29,61.44%,N/A,20.66%,N/A,N/A,56.81%,0.0%,45.02%,Yuma County,46.40%,47.50%,0.0%,0.0%,0.0%,100.0%,39.07%,Mountain Standard Time,107,68,39,83,47,63%,67%,41,55,171,69%,66%,74%,2.87,0.48,0.96,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,72,195,6.4,0.16,AZ-20570,32.6452345,-114.7067816
El Prado Estates,Arizona,590,608,Yuma,202944,$47143,0.0%,24,N/A,N/A,N/A,35,43.56%,$849,81.62%,N/A,N/A,6.44%,0.0%,67.27%,Yuma County,46.40%,47.50%,0.0%,0.0%,4.58%,95.42%,30.34%,Mountain Standard Time,110,69,41,77,43,N/A,N/A,41,55,N/A,N/A,N/A,N/A,3.52,0.65,1.21,4.14%,2.86%,6.56%,0.0,0,N/A,7.7,69,192,6.4,0.97,AZ-22400,32.7062136,-114.5214813
Fortuna Foothills,Arizona,29297,731,Yuma,202944,$49129,14.18%,61,$323000,1576,$205,22,79.16%,$1134,36.87%,N/A,N/A,10.86%,5.48%,35.02%,Yuma County,46.40%,47.50%,0.87%,1.68%,67.92%,27.44%,14.29%,Mountain Standard Time,107,67,40,83,44,23%,19%,41,55,110,85%,89%,80%,4.27,0.99,1.34,4.38%,3.63%,7.0%,0.0,0,6.1,7.7,67,363,6.4,40.08,AZ-25030,32.6615827,-114.3973801
Gadsden,Arizona,873,448,Yuma,202944,$36311,11.18%,24,N/A,N/A,N/A,46,42.27%,$427,67.18%,N/A,N/A,25.09%,7.21%,73.88%,Yuma County,46.40%,47.50%,0.0%,0.0%,0.0%,100.0%,44.9%,Mountain Standard Time,107,68,39,83,47,63%,67%,41,55,171,69%,66%,74%,2.87,0.48,0.96,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,71,195,6.4,1.95,AZ-26070,32.5563595,-114.7810323
Martinez Lake,Arizona,47,31,Yuma,202944,N/A,0.0%,74,$999000,1982,$504,27,100.0%,N/A,19.15%,N/A,N/A,0.0%,0.0%,80.85%,Yuma County,46.40%,47.50%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,107,67,40,83,44,23%,19%,41,55,110,85%,89%,80%,3.11,0.49,1.19,4.38%,3.63%,7.0%,0.0,0,6.1,7.7,71,297,6.4,1.53,AZ-44830,32.9843059,-114.4722197
Orange Grove Mobile Manor,Arizona,387,6450,Yuma,202944,N/A,0.0%,35,N/A,N/A,N/A,34,53.75%,N/A,57.37%,N/A,N/A,7.24%,0.0%,72.1%,Yuma County,46.40%,47.50%,0.0%,0.0%,0.0%,100.0%,37.47%,Mountain Standard Time,107,68,39,83,47,63%,67%,41,55,171,69%,66%,74%,2.87,0.48,0.96,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,73,195,6.4,0.06,AZ-51465,32.5984513,-114.6605882
Padre Ranchitos,Arizona,51,176,Yuma,202944,N/A,0.0%,56,N/A,N/A,N/A,42,100.0%,N/A,41.18%,N/A,N/A,0.0%,0.0%,50.98%,Yuma County,46.40%,47.50%,0.0%,0.0%,23.53%,76.47%,60.78%,Mountain Standard Time,107,68,39,83,47,63%,67%,41,55,171,69%,66%,74%,2.87,0.48,0.96,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,66,195,6.4,0.29,AZ-51800,32.6495916,-114.6415844
Rancho Mesa Verde,Arizona,861,7827,Yuma,202944,$25960,0.0%,27,N/A,N/A,N/A,35,88.15%,N/A,43.7%,N/A,N/A,35.31%,11.15%,44.24%,Yuma County,46.40%,47.50%,0.0%,0.0%,0.0%,100.0%,48.78%,Mountain Standard Time,107,68,39,83,47,63%,67%,41,55,171,69%,66%,74%,2.87,0.48,0.96,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,73,195,6.4,0.11,AZ-58870,32.5943851,-114.6550836
San Luis,Arizona,33875,995,Yuma,202944,$41648,8.42%,31,$233000,1183,$197,21,70.02%,$649,46.76%,96,1228,23.11%,10.18%,56.22%,Yuma County,46.40%,47.50%,0.0%,1.69%,2.81%,95.09%,46.65%,Mountain Standard Time,107,68,39,83,47,63%,67%,41,55,171,69%,66%,74%,2.87,0.48,0.96,4.14%,2.86%,6.56%,0.0,0,6.3,7.7,64,195,6.4,34.03,AZ-63470,32.4668274,-114.677187
