City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Amesbury Town,Massachusetts,17218,1401,Boston-Cambridge-Newton,4848879,$76463,41.13%,N/A,$600000,1881,$319,49,67.10%,$1492,47.90%,142,750,3.6%,2.90%,N/A,Essex County,57.70%,35.40%,1.08%,N/A,N/A,2.70%,3.9%,Eastern Standard Time,83,36,47,51.82,60.2,6.0,63,51,3.2,12.29,MA-01220,42.8565677,-70.928135,58%,66%,54%,57%,57%,17.7,39,59,61,18,12.66,13.02,35.75%,36.81%,35.89%,18,85
Andover,Massachusetts,8821,2391,Boston-Cambridge-Newton,4848879,$113684,71.23%,45,$772000,2325,$332,78,79.02%,$1063,50.08%,21,588,6.93%,5.04%,66.48%,Essex County,57.70%,35.40%,8.19%,1.85%,84.89%,3.08%,12.9%,Eastern Standard Time,84,36,48,50.34,47.3,6.0,64,189,3.2,3.69,MA-01430,42.6553902,-71.1418334,58%,66%,54%,57%,57%,17.7,39,59,66,21,12.58,12.51,34.03%,34.51%,33.11%,14,87
Beverly,Massachusetts,42062,2787,Boston-Cambridge-Newton,4848879,$84354,49.4%,41,$535000,1375,$389,64,66.86%,$1308,51.49%,N/A,N/A,10.28%,2.58%,67.47%,Essex County,57.70%,35.40%,2.35%,3.05%,87.07%,5.35%,8.94%,Eastern Standard Time,81,37,44,48.72,47.3,6.0,64,60,3.2,15.09,MA-05595,42.5582768,-70.8434612,58%,66%,54%,57%,57%,17.7,39,59,62,19,12.25,11.9,32.14%,31.32%,31.11%,14,83
Boxford,Massachusetts,2925,546,Boston-Cambridge-Newton,4848879,$222153,78.54%,47,$914000,3067,$298,51,100.0%,N/A,27.14%,N/A,N/A,0.0%,3.15%,65.31%,Essex County,57.70%,35.40%,3.52%,0.0%,90.56%,2.29%,8.07%,Eastern Standard Time,82,36,46,48.48,47.3,6.0,69,45,3.2,5.36,MA-07385,42.6694146,-70.9831122,58%,66%,54%,57%,57%,17.7,39,59,62,17,12.2,12.0,35.29%,35.71%,35.33%,14,84
Danvers,Massachusetts,27549,2074,Boston-Cambridge-Newton,4848879,$99269,44.74%,45,$612000,1925,$318,56,76.76%,$1620,51.34%,N/A,N/A,6.14%,4.38%,68.37%,Essex County,57.70%,35.40%,2.07%,1.88%,87.73%,5.77%,9.9%,Eastern Standard Time,83,37,46,50.18,47.3,6.0,60,42,3.2,13.28,MA-16285,42.5740579,-70.9494553,58%,66%,54%,57%,57%,17.7,39,59,63,21,11.99,13.14,36.77%,35.93%,36.67%,14,85
Essex,Massachusetts,1697,824,Boston-Cambridge-Newton,4848879,$126328,62.52%,46,$978000,2601,$376,57,94.4%,$483,46.37%,N/A,N/A,9.42%,2.56%,69.28%,Essex County,57.70%,35.40%,0.0%,0.0%,100.0%,0.0%,1.24%,Eastern Standard Time,81,37,44,48.72,47.3,6.0,76,60,3.2,2.06,MA-21815,42.633296,-70.7743117,58%,66%,54%,57%,57%,17.7,39,59,62,19,12.25,11.9,36.77%,35.93%,36.67%,14,83
Georgetown,Massachusetts,8569,666,Boston-Cambridge-Newton,4848879,$106898,53.43%,N/A,$558000,1656,$337,43,79.20%,$2158,35.10%,N/A,N/A,N/A,2.90%,N/A,Essex County,57.70%,35.40%,1.23%,N/A,N/A,3.80%,N/A,Eastern Standard Time,84,36,48,49.58,64.9,6.0,67,27,3.2,12.87,MA-25625,42.7240056,-70.9821141,58%,66%,54%,57%,57%,17.7,39,59,63,19,12.22,12.49,35.95%,34.62%,38.0%,24,87
Gloucester,Massachusetts,30291,1156,Boston-Cambridge-Newton,4848879,$76260,39.19%,51,$530000,1440,$368,79,67.36%,$1233,46.73%,N/A,N/A,9.6%,5.54%,64.36%,Essex County,57.70%,35.40%,1.91%,2.21%,91.4%,2.91%,8.44%,Eastern Standard Time,81,37,44,48.72,47.3,6.0,75,60,3.2,26.2,MA-26150,42.6306123,-70.6835946,58%,66%,54%,57%,57%,17.7,39,59,62,19,12.25,11.9,36.77%,35.93%,36.67%,14,83
Groveland,Massachusetts,6697,754,Boston-Cambridge-Newton,4848879,$92898,48.75%,N/A,$501000,1627,$308,55,85.10%,N/A,42.20%,N/A,N/A,N/A,2.90%,N/A,Essex County,57.70%,35.40%,N/A,N/A,N/A,4.00%,N/A,Eastern Standard Time,84,36,48,49.58,64.9,6.0,67,27,3.2,8.88,MA-27620,42.751985,-71.0148715,58%,66%,54%,57%,57%,17.7,39,59,63,19,12.22,12.49,35.95%,34.62%,38.0%,24,87
Hamilton,Massachusetts,7991,563,Boston-Cambridge-Newton,4848879,$108558,69.29%,N/A,$659000,1721,$383,59,74.50%,N/A,35.70%,N/A,N/A,N/A,2.90%,N/A,Essex County,57.70%,35.40%,5.95%,N/A,N/A,1.10%,N/A,Eastern Standard Time,81,37,44,48.72,47.3,6.0,73,60,3.2,14.19,MA-27900,42.626694,-70.8579622,58%,66%,54%,57%,57%,17.7,39,59,62,19,12.25,11.9,36.77%,35.93%,36.67%,14,83
