City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Adell,Wisconsin,541,966,Sheboygan,114061,$63309,13.68%,45,N/A,N/A,N/A,51,82.99%,$623,36.34%,N/A,N/A,2.41%,0.0%,69.34%,Sheboygan County,38.50%,54.40%,0.0%,0.0%,89.28%,8.87%,0.18%,Central Standard Time,81,27,54,61,13,63%,61%,37,58,83,53%,66%,44%,36.83,11.58,6.61,34.27%,37.36%,31.67%,50.5,27,8.1,34.2,85,699,3.4,0.56,WI-00450,43.6214041,-87.9482072
Cascade,Wisconsin,614,749,Sheboygan,114061,$74583,23.89%,44,$220000,1642,$134,54,80.62%,$715,41.47%,0,289,5.21%,2.28%,69.37%,Sheboygan County,38.50%,54.40%,0.0%,0.0%,95.6%,1.3%,2.28%,Central Standard Time,81,27,54,61,13,63%,61%,37,58,83,53%,66%,44%,36.83,11.58,6.61,34.27%,37.36%,31.67%,50.5,27,8.1,34.2,85,699,3.4,0.82,WI-12825,43.659768,-88.007072
Cedar Grove,Wisconsin,2231,1023,Sheboygan,114061,$68393,21.83%,41,$198000,2041,$97,46,79.4%,$846,37.13%,N/A,N/A,1.08%,0.95%,72.27%,Sheboygan County,38.50%,54.40%,0.13%,0.67%,85.97%,10.58%,4.39%,Central Standard Time,80,28,52,60,12,63%,61%,37,58,82,53%,66%,44%,33.99,10.95,5.12,34.27%,37.36%,31.67%,50.5,27,8.1,34.2,86,669,3.4,2.18,WI-13475,43.5681926,-87.8242727
Elkhart Lake,Wisconsin,1117,873,Sheboygan,114061,$65625,44.26%,48,$491000,2372,$207,46,70.55%,$799,46.94%,0,785,4.3%,6.97%,50.76%,Sheboygan County,38.50%,54.40%,0.0%,0.0%,96.42%,3.58%,0.36%,Central Standard Time,82,27,55,61,12,63%,61%,37,58,84,53%,66%,44%,35.34,11.75,5.48,33.01%,35.71%,29.78%,50.5,27,8.1,34.2,87,756,3.4,1.28,WI-23275,43.8333269,-88.0178729
Gibbsville,Wisconsin,493,580,Sheboygan,114061,$81458,29.55%,36,N/A,N/A,N/A,28,84.99%,N/A,35.22%,N/A,N/A,0.81%,0.0%,75.32%,Sheboygan County,38.50%,54.40%,4.67%,2.43%,87.63%,1.62%,3.65%,Central Standard Time,81,27,54,61,13,63%,61%,37,58,83,53%,66%,44%,35.45,11.83,5.53,34.27%,37.36%,31.67%,50.5,27,8.1,34.2,86,621,3.4,0.85,WI-28925,43.6520811,-87.8317977
Glenbeulah,Wisconsin,422,603,Sheboygan,114061,$72500,29.35%,43,N/A,N/A,N/A,59,87.91%,$658,37.18%,N/A,N/A,5.93%,0.39%,76.11%,Sheboygan County,38.50%,54.40%,0.0%,0.0%,99.05%,0.0%,0.95%,Central Standard Time,82,27,55,61,12,63%,61%,37,58,84,53%,66%,44%,36.36,12.44,5.64,33.01%,35.71%,29.78%,50.5,27,8.1,34.2,88,1023,3.4,0.7,WI-29350,43.7981825,-88.0465141
Greenbush,Wisconsin,194,252,Sheboygan,114061,$41921,18.75%,37,N/A,N/A,N/A,N/A,65.46%,$859,52.14%,N/A,N/A,29.38%,2.52%,86.23%,Sheboygan County,38.50%,54.40%,6.19%,0.0%,93.81%,0.0%,2.06%,Central Standard Time,82,27,55,61,12,63%,61%,37,58,84,53%,66%,44%,36.36,12.44,5.64,33.01%,35.71%,29.78%,50.5,27,8.1,34.2,88,1023,3.4,0.77,WI-31075,43.777824,-88.0906413
Herman (Sheboygan Cnty),Wisconsin,2166,64,Sheboygan,114061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sheboygan County,38.50%,54.40%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,81,28,53,59,13,63%,59%,35,57,83,55%,67%,48%,31.15,10.44,3.76,33.95%,38.35%,25.89%,50.5,27,8.1,31.6,86,681,3.4,33.84,WI-34050,43.8497393,-87.8641032
Hingham,Wisconsin,800,299,Sheboygan,114061,$90000,28.32%,33,N/A,N/A,N/A,41,94.0%,N/A,36.47%,N/A,N/A,4.73%,1.84%,72.5%,Sheboygan County,38.50%,54.40%,0.75%,0.0%,92.88%,1.0%,1.63%,Central Standard Time,81,27,54,61,13,63%,61%,37,58,83,53%,66%,44%,36.83,11.58,6.61,34.27%,37.36%,31.67%,50.5,27,8.1,34.2,86,699,3.4,2.68,WI-35000,43.6464938,-87.9150883
Howards Grove,Wisconsin,3253,1459,Sheboygan,114061,$82522,27.68%,48,$368000,1804,$204,41,91.18%,$702,31.48%,N/A,N/A,3.72%,1.6%,68.51%,Sheboygan County,38.50%,54.40%,0.0%,1.2%,98.62%,0.18%,0.77%,Central Standard Time,81,28,53,59,13,63%,61%,37,58,83,53%,66%,44%,35.98,11.69,5.96,33.95%,38.35%,25.89%,50.5,27,8.1,34.2,86,621,3.4,2.23,WI-36025,43.8260553,-87.8232295
Kohler,Wisconsin,2016,379,Sheboygan,114061,$98500,68.15%,43,$298000,1552,$192,57,90.87%,$1125,29.42%,0,1696,1.49%,4.73%,60.04%,Sheboygan County,38.50%,54.40%,1.88%,0.0%,91.12%,6.05%,8.43%,Central Standard Time,78,28,50,61,13,63%,61%,37,58,78,53%,66%,44%,35.8,11.83,5.71,31.97%,33.85%,29.0%,50.5,27,8.1,34.2,81,636,3.4,5.32,WI-40275,43.7363883,-87.7794831
