City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Andover township,Minnesota,91,3,Grand Forks,100381,81,16,65,23,96,197,40,N/A,N/A,N/A,4,10,N/A,N/A,$69500,N/A,N/A,N/A,$450000,2432,$185,37,68.60%,-2%,12%,32%,91,18 mins,4.60%,0.60%,-48.30%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,9.00%,0,N/A,25,N/A,0.00,0,2,0,N/A,N/A,MN-01504,33.89,N/A
Angus,Minnesota,45,1,Grand Forks,100381,81,16,65,22,92,197,42,N/A,N/A,9,6,15,N/A,N/A,$65000,N/A,N/A,N/A,N/A,N/A,N/A,72,68.30%,-2%,12%,33%,91,18 mins,4.60%,0.60%,-37.50%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,36.40%,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-01648,45.0,N/A
Badger township,Minnesota,95,71,Grand Forks,100381,80,16,64,25,94,197,43,N/A,N/A,N/A,8,18,N/A,N/A,$40938,N/A,N/A,N/A,N/A,N/A,N/A,40,43.60%,-2%,13%,34%,92,18 mins,4.60%,0.60%,-12.80%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,46.60%,1,N/A,30,N/A,0.00,0,1,0,N/A,N/A,MN-03142,1.34,N/A
Belgium,Minnesota,105,3,Grand Forks,100381,81,16,65,22,96,197,41,N/A,N/A,N/A,10,22,N/A,N/A,$55625,N/A,N/A,N/A,N/A,N/A,N/A,39,92.00%,-2%,12%,34%,91,18 mins,4.60%,0.60%,61.50%,Polk County,31.80%,60.70%,0.0%,0.0%,86.7%,1.9%,N/A,Central Standard Time,840,3.1,43.80%,2,N/A,25,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-04726,35.0,N/A
Beltrami,Minnesota,96,48,Grand Forks,100381,81,17,64,23,87,195,40,54.6,32.2,9,8,18,46,12.68%,$58125,16.67%,N/A,N/A,N/A,N/A,N/A,78,86.46%,-2%,12%,33%,91,18 mins,12.9%,0.60%,117.00%,Polk County,31.80%,60.70%,0.0%,0.0%,98.96%,0.0%,0.0%,Central Standard Time,840,3.1,43.80%,0,N/A,N/A,13.3%,0.00,N/A,1,0,N/A,N/A,MN-05014,2.0,77.5%
Brandsvold,Minnesota,293,9,Grand Forks,100381,80,17,63,25,90,197,42,N/A,N/A,N/A,7,17,N/A,38.06%,$54375,N/A,N/A,N/A,N/A,N/A,N/A,40,59.20%,-2%,12%,34%,92,18 mins,4.60%,0.60%,31.40%,Polk County,31.80%,60.70%,0.0%,1.7%,94.2%,0.0%,N/A,Central Standard Time,840,3.1,42.00%,0,N/A,28,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-07390,32.56,N/A
Brandt,Minnesota,79,2,Grand Forks,100381,81,16,65,22,94,197,42,N/A,N/A,8,6,15,N/A,N/A,$63125,N/A,N/A,N/A,N/A,N/A,N/A,41,36.40%,-2%,12%,34%,91,18 mins,4.60%,0.60%,54.90%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,16.90%,0,N/A,25,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-07408,39.5,N/A
Brislet,Minnesota,26,1,Grand Forks,100381,81,16,65,21,91,197,42,N/A,N/A,N/A,8,18,N/A,N/A,$63250,N/A,N/A,N/A,N/A,N/A,N/A,58,73.30%,-2%,12%,32%,91,18 mins,4.60%,0.60%,-55.20%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,61.10%,0,N/A,25,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-07768,26.0,N/A
Bygland,Minnesota,254,9,Grand Forks,100381,81,16,65,22,96,197,42,N/A,N/A,N/A,6,13,N/A,25.72%,$79583,N/A,N/A,N/A,N/A,N/A,N/A,51,82.00%,-2%,12%,34%,91,18 mins,4.60%,0.60%,-1.60%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,35.10%,0,N/A,19,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-09118,28.22,N/A
Chester township (Polk Cnty),Minnesota,66,2,Grand Forks,100381,80,16,64,25,89,197,42,N/A,N/A,N/A,5,12,N/A,N/A,$75500,N/A,N/A,N/A,N/A,N/A,N/A,56,60.00%,-2%,12%,33%,92,18 mins,4.60%,0.60%,-37.10%,Polk County,31.80%,60.70%,0.0%,0.0%,100.0%,0.0%,N/A,Central Standard Time,840,3.1,12.50%,0,N/A,28,N/A,N/A,N/A,1,N/A,N/A,N/A,MN-11224,33.0,N/A
