City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Auburn,Michigan,1990,1877,Bay City,147121,$49861,34.52%,45,$136000,1115,$122,51,68.5%,$647,51.32%,N/A,N/A,6.58%,0.93%,63.24%,Bay County,40.60%,53.20%,0.05%,0.0%,94.82%,2.41%,2.26%,Eastern Standard Time,83,31,52,32.28,51.8,8.1,80,552,3.3,1.06,MI-04080,43.6021025,-84.0756064,50%,66%,39%,61%,55%,32.3,38,58,59,16,10.49,5.56,35.92%,34.95%,38.33%,28,85
Bangor charter township,Michigan,14248,8050,Bay City,147121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1097,1316,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,32.28,51.8,8.1,73,552,3.3,1.77,MI-05120,43.6523577,-83.8950682,50%,66%,39%,61%,55%,32.3,38,58,59,16,10.49,5.56,35.92%,34.95%,38.33%,28,85
Bay City,Michigan,32892,3234,Bay City,147121,$38014,16.23%,39,$123000,1309,$94,N/A,70.89%,$635,61.03%,826,1994,24.71%,7.94%,60.84%,Bay County,40.60%,53.20%,0.5%,2.86%,83.86%,9.17%,1.34%,Eastern Standard Time,83,31,52,32.28,51.8,8.1,65,552,3.3,10.17,MI-06020,43.5902482,-83.8886292,50%,66%,39%,61%,55%,32.3,38,58,59,16,10.49,5.56,35.92%,34.95%,38.33%,28,85
Beaver township (Bay Cnty),Michigan,2822,80,Bay City,147121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,35.64,51.8,8.1,83,552,3.3,35.28,MI-06540,43.696916,-84.1074957,50%,66%,39%,61%,55%,32.3,38,58,59,16,10.42,6.45,35.92%,34.95%,38.33%,28,85
Essexville,Michigan,3294,2534,Bay City,147121,$59961,24.51%,41,$148000,1465,$101,69,89.84%,$1048,51.32%,0,637,10.6%,3.78%,57.26%,Bay County,40.60%,53.20%,0.0%,0.88%,90.1%,7.71%,0.0%,Eastern Standard Time,83,31,52,32.28,51.8,8.1,72,552,3.3,1.3,MI-26420,43.6122596,-83.8423256,50%,66%,39%,61%,55%,32.3,38,58,59,16,10.49,5.56,35.92%,34.95%,38.33%,28,85
Frankenlust,Michigan,3525,167,Bay City,147121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,32.28,51.8,8.1,80,603,3.3,21.11,MI-30180,43.5441641,-83.9734378,50%,66%,39%,61%,55%,32.3,38,58,62,17,10.49,5.56,35.92%,34.95%,38.33%,28,85
Fraser township,Michigan,3116,753,Bay City,147121,N/A,N/A,N/A,$216000,1333,$162,N/A,N/A,N/A,N/A,226,1509,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,35.64,51.8,8.1,85,552,3.3,4.14,MI-30400,43.7829466,-83.9802482,50%,66%,39%,62%,55%,31.4,35,55,59,16,10.42,6.45,35.92%,34.95%,38.33%,28,85
Garfield township (Bay Cnty),Michigan,1890,53,Bay City,147121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,35.64,51.8,8.1,85,552,3.3,35.66,MI-31540,43.7827936,-84.1068597,50%,66%,39%,62%,55%,31.4,35,55,59,16,10.42,6.45,35.92%,34.95%,38.33%,28,85
Gibson,Michigan,1140,32,Bay City,147121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,29,52,33.13,51.8,8.1,87,564,3.3,35.63,MI-32040,43.9542722,-84.105478,48%,63%,35%,62%,55%,31.4,35,55,59,15,9.96,5.63,35.15%,32.31%,37.89%,28,82
Hampton charter township,Michigan,9484,347,Bay City,147121,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,169,806,N/A,N/A,N/A,Bay County,40.60%,53.20%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,83,31,52,32.28,51.8,8.1,79,552,3.3,27.33,MI-36260,43.6252566,-83.7711083,50%,66%,39%,61%,55%,32.3,38,58,59,16,10.49,5.56,35.92%,34.95%,38.33%,28,85
