City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code
Alto,Wisconsin,171,216,Fond du Lac,102902,$64375,9.92%,39,N/A,N/A,N/A,61,90.36%,N/A,33.10%,N/A,N/A,6.25%,2.06%,72.39%,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,98.25%,1.75%,0.0%,Central Standard Time,81,26,55,33,107,187,37,N/A,N/A,N/A,86,750,3.4,0.79,WI-01500
Ashford,Wisconsin,1693,48,Fond du Lac,102902,$57563,15.59%,N/A,N/A,N/A,N/A,46,78.20%,N/A,32.90%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,96.3%,2.5%,N/A,Central Standard Time,81,27,54,34,112,187,44,N/A,N/A,N/A,86,750,3.4,35.27,WI-03150
Auburn (Fond du Lac Cnty),Wisconsin,2409,69,Fond du Lac,102902,$71731,N/A,N/A,N/A,N/A,N/A,39,82.40%,N/A,37.00%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,97.4%,0.8%,N/A,Central Standard Time,81,27,54,34,112,187,44,N/A,N/A,N/A,86,750,3.4,34.91,WI-03750
Brandon,Wisconsin,882,1161,Fond du Lac,102902,$65313,17.07%,38,$422000,2972,$142,78,64.78%,$664,42.50%,N/A,N/A,7.82%,5.35%,77.71%,Fond du Lac County,33.60%,59.90%,2.27%,0.23%,84.58%,12.59%,5.78%,Central Standard Time,81,26,55,32,107,190,36,57.7,37.1,9,86,750,3.4,0.76,WI-09300
Byron (Fond du Lac Cnty),Wisconsin,1749,48,Fond du Lac,102902,$71458,N/A,N/A,N/A,N/A,N/A,42,77.90%,N/A,34.40%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.3%,0.7%,95.6%,2.5%,N/A,Central Standard Time,81,26,55,31,108,187,36,N/A,N/A,N/A,86,750,3.4,36.44,WI-11600
Calumet,Wisconsin,1668,55,Fond du Lac,102902,$60417,21.56%,N/A,N/A,N/A,N/A,56,64.60%,N/A,34.80%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.0%,0.0%,97.8%,1.9%,N/A,Central Standard Time,81,26,55,31,111,187,39,N/A,N/A,9,86,750,3.4,30.33,WI-12075
Campbellsport,Wisconsin,1830,1366,Fond du Lac,102902,$61016,13.77%,44,$360000,1572,$229,54,73.49%,$690,49.50%,0,660,5.83%,1.95%,71.97%,Fond du Lac County,33.60%,59.90%,0.05%,0.71%,93.99%,1.97%,0.05%,Central Standard Time,81,27,54,34,112,187,44,57.9,37.2,9,86,750,3.4,1.34,WI-12325
Eden (Fond du Lac Cnty),Wisconsin,1046,1743,Fond du Lac,102902,$71625,N/A,N/A,N/A,N/A,N/A,46,80.30%,N/A,33.40%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.4%,0.8%,92.4%,4.9%,N/A,Central Standard Time,81,26,55,32,112,187,41,N/A,N/A,N/A,86,750,3.4,0.6,WI-22500
Eldorado,Wisconsin,1571,44,Fond du Lac,102902,$68750,18.53%,N/A,N/A,N/A,N/A,44,90.60%,N/A,36.30%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,0.4%,0.0%,96.9%,2.4%,N/A,Central Standard Time,81,26,55,30,107,186,35,N/A,N/A,9,86,750,3.4,35.7,WI-23150
Empire,Wisconsin,2808,98,Fond du Lac,102902,$95682,36.93%,N/A,N/A,N/A,N/A,37,84.60%,N/A,28.60%,N/A,N/A,N/A,3.20%,N/A,Fond du Lac County,33.60%,59.90%,1.5%,0.0%,95.9%,2.2%,N/A,Central Standard Time,81,26,55,30,108,187,36,N/A,N/A,N/A,84,750,3.4,28.65,WI-24050
