City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Bradford,Vermont,925,974,Claremont-Lebanon,217783,$57125,28.21%,37,$442000,2232,$198,44,73.93%,$875,52.41%,0,815,17.02%,6.38%,63.51%,Orange County,51.50%,34.20%,0.43%,0.65%,93.51%,5.19%,2.38%,N/A,77,27,50,40,132,69,6.0,83,N/A,3.1,0.95,VT-07225,43.9924743,-72.1250678,55%,62%,53%,53%,51%,17.7,35,57
Braintree,Vermont,1105,29,Claremont-Lebanon,217783,$43688,24.30%,N/A,N/A,N/A,N/A,42,69.10%,N/A,41.60%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,0.0%,0.0%,97.2%,2.8%,N/A,N/A,80,30,50,45,136,94,8.2,89,N/A,3.1,38.1,VT-07600,43.9693067,-72.7202174,49%,60%,42%,58%,54%,23.6,35,57
Brookfield,Vermont,1462,36,Claremont-Lebanon,217783,$61042,42.24%,N/A,N/A,N/A,N/A,41,63.40%,N/A,37.30%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,0.0%,0.8%,91.4%,1.1%,N/A,N/A,82,30,52,42,147,98,8.2,89,N/A,3.1,40.61,VT-09325,44.0286909,-72.5920797,49%,60%,42%,58%,54%,23.6,35,57
Chelsea,Vermont,463,520,Claremont-Lebanon,217783,$38631,21.6%,34,$235000,2304,$102,45,68.53%,$709,51.98%,N/A,N/A,22.14%,8.02%,51.1%,Orange County,51.50%,34.20%,0.0%,0.0%,86.18%,3.89%,0.43%,N/A,77,27,50,43,144,99,8.2,88,N/A,3.1,0.89,VT-13450,43.990237,-72.4485435,49%,60%,42%,58%,54%,23.6,35,57
Corinth,Vermont,1376,28,Claremont-Lebanon,217783,$56719,32.38%,N/A,N/A,N/A,N/A,37,65.50%,N/A,49.80%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,0.0%,1.6%,95.8%,0.4%,N/A,N/A,77,27,50,42,143,91,8.2,90,N/A,3.1,49.14,VT-15700,44.0375438,-72.2898809,49%,60%,42%,58%,54%,23.6,35,57
Fairlee,Vermont,163,276,Claremont-Lebanon,217783,$49886,25.37%,52,N/A,N/A,N/A,56,66.87%,$882,55.07%,N/A,N/A,17.79%,4.23%,51.45%,Orange County,51.50%,34.20%,1.23%,0.0%,98.77%,0.0%,4.91%,N/A,83,29,54,42,141,86,6.0,86,N/A,3.1,0.59,VT-25600,43.8987403,-72.1549285,55%,62%,53%,53%,51%,17.7,35,57
Newbury,Vermont,397,80,Claremont-Lebanon,217783,$54844,37.02%,49,$450000,1875,$240,45,70.03%,$825,38.54%,N/A,N/A,15.62%,3.16%,50.97%,Orange County,51.50%,34.20%,0.0%,0.5%,98.49%,1.01%,1.51%,N/A,77,27,50,40,142,70,6.0,86,N/A,3.1,4.97,VT-48100,44.080928,-72.0599473,55%,62%,53%,53%,51%,17.7,35,57
Newbury village,Vermont,397,80,Claremont-Lebanon,217783,$54844,37.02%,49,$450000,1875,$240,78,70.03%,$825,38.54%,N/A,N/A,15.62%,3.16%,50.97%,Orange County,51.50%,34.20%,0.0%,0.5%,98.49%,1.01%,1.51%,N/A,77,27,50,39,143,71,6.0,86,N/A,3.1,4.97,VT-48100,44.080928,-72.0599473,55%,62%,53%,53%,51%,17.7,35,57
Orange,Vermont,1003,26,Claremont-Lebanon,217783,$59583,12.62%,N/A,N/A,N/A,N/A,33,80.20%,N/A,40.50%,N/A,N/A,N/A,2.10%,N/A,Orange County,51.50%,34.20%,0.0%,0.0%,97.8%,1.0%,N/A,N/A,81,26,55,42,146,94,8.2,91,N/A,3.1,38.58,VT-53425,44.1560068,-72.374686,49%,60%,42%,58%,54%,23.6,35,57
Randolph,Vermont,2044,455,Claremont-Lebanon,217783,$44620,35.97%,45,$315000,2143,$147,55,59.02%,$910,56.28%,N/A,N/A,17.31%,7.03%,66.69%,Orange County,51.50%,34.20%,0.0%,0.0%,96.43%,1.27%,1.27%,N/A,80,30,50,44,140,95,8.2,84,N/A,3.1,4.49,VT-58000,43.9262157,-72.671576,49%,60%,42%,58%,54%,23.6,35,57
