City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi)
Aberdeen,North Carolina,7265,742,Pinehurst-Southern Pines,103352,90,52,38,47,110,213,2,66.7,49.6,6,17,59,33,35.17%,$38721,4%,N/A,N/A,$280000,2058,$136,23,53.50%,5%,20%,9%,62,20 mins,4.40%,2.30%,23.50%,Moore County,33.50%,62.60%,4.1%,20.3%,65.7%,3.8%,5.7%,N/A,N/A,4.9,45.60%,52,N/A,48,20.8%,34.86,52,1,0,519,3813,NC-00160,10.15
Cameron,North Carolina,333,275,Pinehurst-Southern Pines,103352,90,53,37,46,106,216,2,66.8,49.7,6,19,95,42,25.37%,$36875,9.3%,N/A,N/A,$240000,2222,$108,37,66.10%,4%,13%,2%,67,24 mins,4.40%,2.30%,-0.60%,Moore County,33.50%,62.60%,0.0%,21.0%,65.8%,13.2%,0.5%,N/A,N/A,4.9,43.90%,24,N/A,11,23.4%,1,52,1,0,N/A,N/A,NC-09800,1.21
Carthage,North Carolina,2518,391,Pinehurst-Southern Pines,103352,90,52,38,47,107,220,3,66.3,49.1,6,19,51,44,19.23%,$41731,10.49%,N/A,N/A,$290000,2101,$138,37,55.50%,6%,18%,5%,67,24 mins,4.40%,2.30%,84.00%,Moore County,33.50%,62.60%,0.0%,15.41%,77.52%,3.02%,2.03%,N/A,N/A,4.9,54.80%,38,N/A,25,22.1%,234.79,50,1,0,158,2852,NC-10680,6.65
Foxfire,North Carolina,1757,171,Pinehurst-Southern Pines,103352,90,52,38,47,110,219,2,66.3,49.2,6,15,43,39,32.66%,$62750,1.71%,N/A,N/A,$279000,2384,$117,28,67.50%,6%,18%,6%,68,25 mins,4.40%,2.30%,54.60%,Moore County,33.50%,62.60%,4.38%,12.01%,71.03%,1.65%,3.93%,N/A,N/A,4.9,32.70%,9,N/A,20,18.2%,0.00,48,1,0,N/A,N/A,NC-24570,7.06
Pinebluff,North Carolina,1694,516,Pinehurst-Southern Pines,103352,90,52,38,47,110,219,2,66.7,49.7,7,7,20,41,21.15%,$61023,4.66%,N/A,N/A,$260000,1870,$139,32,65.60%,7%,17%,6%,67,23 mins,4.40%,2.30%,-11.80%,Moore County,33.50%,62.60%,0.0%,18.42%,73.97%,4.49%,2.54%,N/A,N/A,4.9,51.80%,27,N/A,32,19.4%,26.25,53,1,0,N/A,N/A,NC-51840,2.62
Pinehurst,North Carolina,16382,937,Pinehurst-Southern Pines,103352,90,52,38,47,109,213,3,65.9,48.8,7,8,15,60,60.69%,$87609,4.23%,N/A,N/A,$375000,2300,$163,24,66.70%,3%,14%,0%,63,21 mins,4.40%,2.30%,24.40%,Moore County,33.50%,62.60%,2.38%,2.61%,90.1%,2.58%,5.77%,N/A,N/A,4.9,28.80%,61,N/A,45,16.0%,7.14,51,1,0,66,683,NC-51940,16.71
Robbins,North Carolina,1615,1247,Pinehurst-Southern Pines,103352,89,51,38,47,107,219,2,66.1,48.7,6,6,44,26,4.86%,$42743,27.51%,N/A,N/A,$78700,N/A,N/A,52,49.50%,6%,17%,5%,67,38 mins,4.40%,2.30%,54.20%,Moore County,33.50%,62.60%,1.18%,8.36%,49.35%,40.06%,27.49%,N/A,N/A,4.9,58.00%,34,N/A,35,14.9%,37.28,43,1,1,N/A,N/A,NC-57000,1.59
Seven Lakes,North Carolina,4438,538,Pinehurst-Southern Pines,103352,90,52,38,47,109,213,2,66.2,49.1,6,15,43,64,49.07%,$75430,4.24%,N/A,N/A,$239000,1695,$141,23,72.70%,6%,17%,5%,68,24 mins,4.40%,2.30%,-3.20%,Moore County,33.50%,62.60%,0.0%,4.48%,89.7%,0.0%,0.77%,N/A,N/A,4.9,31.30%,0,N/A,19,13.2%,18.07,48,1,0,N/A,N/A,NC-60515,8.39
Southern Pines,North Carolina,14347,806,Pinehurst-Southern Pines,103352,90,52,38,47,109,213,3,65.9,48.9,7,24,50,39,55.02%,$70549,13.01%,N/A,N/A,$372000,2188,$170,29,48.10%,8%,25%,11%,61,22 mins,4.40%,2.30%,10.80%,Moore County,33.50%,62.60%,3.42%,13.37%,73.96%,6.59%,6.06%,N/A,N/A,4.9,51.40%,75,N/A,54,16.7%,8.84,51,1,0,316,2519,NC-63120,17.14
Taylortown,North Carolina,1054,728,Pinehurst-Southern Pines,103352,90,52,38,47,109,220,2,66.3,49.1,N/A,26,64,50,19.9%,$52917,9.58%,N/A,N/A,$137700,N/A,N/A,26,55.10%,6%,17%,6%,65,24 mins,4.40%,2.30%,-4.50%,Moore County,33.50%,62.60%,3.98%,49.05%,41.27%,2.85%,2.28%,N/A,N/A,4.9,63.10%,32,N/A,N/A,23.3%,0.00,50,1,0,N/A,N/A,NC-66980,1.35
