City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Belgium,Wisconsin,1591,740,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$340000,2024,$168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,28,52,60,12,63%,61%,37,58,82,53%,66%,44%,33.99,10.95,5.12,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,86,669,3.4,2.15,WI-06175,43.4996005,-87.8885613
Cedarburg,Wisconsin,11499,2376,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$490000,2269,$216,N/A,N/A,N/A,N/A,17,770,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,30,52,63,16,63%,61%,37,58,84,53%,66%,44%,37.78,12.23,6.01,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,76,678,3.4,4.84,WI-13400,43.3274119,-88.0195536
Cedarburg town,Wisconsin,5871,1213,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$490000,2269,$216,N/A,N/A,N/A,N/A,17,770,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,30,52,63,16,63%,61%,37,58,84,53%,66%,44%,37.78,12.23,6.01,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,82,678,3.4,4.84,WI-13400,43.3274119,-88.0195536
Fredonia,Wisconsin,2121,996,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$175000,1750,$100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,80,28,52,60,12,63%,61%,37,58,82,53%,66%,44%,36.02,11.75,5.39,32.9%,32.97%,29.33%,50.5,27,8.1,34.2,85,816,3.4,2.13,WI-27575,43.5005111,-87.9826908
Grafton,Wisconsin,4124,810,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$521000,2435,$214,N/A,N/A,N/A,N/A,67,1195,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,82,30,52,63,16,63%,61%,37,58,84,53%,66%,44%,37.78,12.23,6.01,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,81,678,3.4,5.09,WI-30025,43.3180213,-87.9029415
Mequon,Wisconsin,25259,546,Milwaukee-Waukesha-West Allis,1571784,$147391,69.47%,47,$590000,2719,$217,38,85.86%,$2271,36.06%,57,716,3.19%,2.11%,61.71%,Ozaukee County,37.00%,55.80%,3.46%,2.53%,85.87%,4.69%,8.31%,Central Standard Time,82,28,54,60,12,63%,61%,37,58,84,53%,66%,44%,37.54,12.54,5.83,35.1%,36.59%,31.56%,50.9,32,8.1,34.2,79,810,3.4,46.28,WI-51150,43.2356682,-88.0219147
Port Washington,Wisconsin,11589,1978,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$299000,1410,$212,N/A,N/A,N/A,N/A,243,738,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,79,28,51,59,13,63%,61%,37,58,81,53%,66%,44%,36.94,12.28,6.16,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,80,603,3.4,5.86,WI-64475,43.4269103,-87.8799853
Port Washington town,Wisconsin,1534,262,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$299000,1410,$212,N/A,N/A,N/A,N/A,243,738,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,79,28,51,59,13,63%,61%,37,58,81,53%,66%,44%,36.94,12.28,6.16,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,83,603,3.4,5.86,WI-64475,43.4269103,-87.8799853
Saukville,Wisconsin,1915,544,Milwaukee-Waukesha-West Allis,1571784,N/A,N/A,N/A,$250000,1634,$153,N/A,N/A,N/A,N/A,22,1309,N/A,N/A,N/A,Ozaukee County,37.00%,55.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,79,28,51,59,13,63%,61%,37,58,81,53%,66%,44%,37.46,11.8,6.01,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,83,702,3.4,3.52,WI-71725,43.4140125,-87.9842754
Thiensville,Wisconsin,3277,3151,Milwaukee-Waukesha-West Allis,1571784,$93208,57.26%,47,$300000,1435,$209,54,72.25%,$1218,48.63%,0,732,4.55%,1.46%,66.85%,Ozaukee County,37.00%,55.80%,5.07%,0.0%,86.36%,4.03%,5.61%,Central Standard Time,82,30,52,63,16,63%,61%,37,58,84,53%,66%,44%,37.78,12.23,6.01,35.1%,36.59%,31.56%,50.9,32,8.1,34.2,75,678,3.4,1.04,WI-79475,43.236142,-87.9784604
Waubeka,Wisconsin,560,229,Milwaukee-Waukesha-West Allis,1571784,$64943,16.67%,47,N/A,N/A,N/A,67,84.06%,N/A,37.47%,N/A,N/A,14.34%,7.0%,71.54%,Ozaukee County,37.00%,55.80%,0.0%,5.36%,84.29%,14.46%,5.71%,Central Standard Time,79,28,51,59,13,63%,61%,37,58,81,53%,66%,44%,36.02,11.75,5.39,32.9%,32.97%,29.33%,50.9,32,8.1,34.2,85,816,3.4,2.45,WI-84150,43.4707938,-87.9926264
