City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Bexley,Ohio,13805,5644,Columbus,2138946,86,37,49,40,125,175,23,60.8,42.8,7,12,42,35,74.38%,$109805,6.05%,$1000,920,$499000,2207,$226,74,79.41%,6%,44%,53%,41,18 mins,3.76%,0.90%,4.90%,Franklin County,59.80%,33.90%,2.63%,8.15%,82.53%,2.94%,6.5%,Eastern Standard Time,833,5.6,47.10%,28,N/A,48,18.0%,0.00,9,2,0,N/A,N/A,OH-06278,2.42,69.54%
Blacklick Estates,Ohio,10097,5124,Columbus,2138946,86,37,49,40,125,174,23,60.8,42.8,N/A,11,36,34,9.9%,$58253,15.4%,$803,878,$159000,1272,$125,48,58.53%,10%,71%,33%,52,23 mins,5.54%,0.90%,11.30%,Franklin County,59.80%,33.90%,0.77%,33.89%,60.3%,2.51%,5.97%,Eastern Standard Time,833,5.6,56.60%,45,0,32,19.1%,0.00,9,2,0,N/A,N/A,OH-06670,1.89,66.62%
Blendon,Ohio,9199,1536,Columbus,2138946,85,36,49,40,136,175,22,N/A,N/A,N/A,9,33,33,37.94%,$60851,N/A,N/A,N/A,$169400,N/A,N/A,47,71.60%,6%,43%,35%,46,22 mins,3.90%,0.90%,1.30%,Franklin County,59.80%,33.90%,0.7%,9.2%,79.0%,5.2%,N/A,Eastern Standard Time,833,5.6,49.10%,3,N/A,45,N/A,N/A,N/A,2,N/A,N/A,N/A,OH-06922,5.99,N/A
Brice,Ohio,189,1011,Columbus,2138946,86,37,49,40,125,174,23,60.9,42.9,7,8,27,40,36.15%,$46466,11.23%,N/A,N/A,$115100,N/A,N/A,78,70.37%,6%,43%,34%,55,21 mins,47.25%,0.90%,-18.00%,Franklin County,59.80%,33.90%,0.0%,11.11%,84.66%,2.12%,0.0%,Eastern Standard Time,833,5.6,48.80%,1,N/A,52,19.5%,0.00,9,2,0,N/A,N/A,OH-08532,0.09,67.41%
Brown township (Franklin Cnty),Ohio,2376,111,Columbus,2138946,85,36,49,39,132,175,22,N/A,N/A,N/A,5,19,45,N/A,$102589,N/A,N/A,N/A,$389700,N/A,N/A,33,83.10%,6%,43%,35%,69,26 mins,3.90%,0.90%,9.50%,Franklin County,59.80%,33.90%,5.6%,0.4%,92.0%,1.4%,N/A,Eastern Standard Time,833,5.6,30.40%,0,N/A,25,N/A,N/A,N/A,2,N/A,N/A,N/A,OH-09442,21.41,N/A
Canal Winchester,Ohio,9148,1196,Columbus,2138946,86,37,49,40,125,174,23,60.8,42.8,7,7,23,45,38.58%,$99418,3.88%,$1114,1001,$239900,1803,$133,19,85.82%,7%,36%,33%,65,26 mins,2.68%,0.90%,17.70%,Franklin County,59.80%,33.90%,0.51%,6.86%,86.93%,1.95%,1.84%,Eastern Standard Time,833,5.6,40.10%,47,N/A,59,18.6%,60.57,10,2,0,N/A,N/A,OH-11332,7.65,64.0%
Clinton township (Franklin Cnty),Ohio,4086,1138,Columbus,2138946,85,36,49,40,134,175,22,N/A,N/A,N/A,39,63,32,N/A,$32056,N/A,N/A,N/A,$102900,N/A,N/A,60,52.40%,6%,41%,35%,45,21 mins,3.90%,0.90%,-1.80%,Franklin County,59.80%,33.90%,3.7%,9.3%,65.7%,12.5%,N/A,Eastern Standard Time,833,5.6,71.40%,66,N/A,49,N/A,N/A,N/A,2,N/A,N/A,N/A,OH-16112,3.59,N/A
Columbus,Ohio,889079,4041,Columbus,2138946,85,37,48,40,130,178,22,60.9,42.8,7,29,57,32,36.85%,$54902,19.11%,$1064,883,$220000,1506,$146,41,46.93%,6%,44%,32%,46,21 mins,5.42%,0.90%,10.60%,Franklin County,59.80%,33.90%,5.93%,29.18%,54.35%,6.32%,12.78%,Eastern Standard Time,833,5.6,61.40%,40,33,50,18.6%,N/A,N/A,2,N/A,N/A,N/A,OH-18000,220.04,70.26%
Darbydale,Ohio,695,695,Columbus,2138946,85,37,48,40,125,175,22,60.8,42.8,7,9,33,50,6.05%,$82721,2.3%,$1051,931,$139600,N/A,N/A,46,100.0%,6%,41%,34%,72,21 mins,8.14%,0.90%,20.10%,Franklin County,59.80%,33.90%,0.0%,0.0%,97.7%,2.3%,0.0%,Eastern Standard Time,833,5.6,43.20%,7,N/A,54,23.3%,0.00,10,1,0,N/A,N/A,OH-20198,1.0,66.39%
Dublin,Ohio,47824,1939,Columbus,2138946,85,36,49,39,134,176,23,60.5,42.4,7,7,19,39,73.78%,$138372,2.38%,$1271,1026,$416700,2637,$158,24,80.42%,3%,28%,29%,59,24 mins,1.88%,0.90%,13.20%,Franklin County,59.80%,33.90%,19.88%,2.2%,70.04%,4.99%,20.17%,Eastern Standard Time,833,5.6,31.50%,17,N/A,46,17.6%,10.55,9,2,0,N/A,N/A,OH-22694,24.66,71.21%
